ablation_type,variant,feature_set,feature_count,sort_strategy,weighting_scheme,max_turnover,backend,rmse_mean,mae_mean,rank_ic_mean,top5_mean_return_mean,rmse_std,mae_std,rank_ic_std,top5_mean_return_std,profile_name,prediction_source,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost
feature,base,base,16,risk_adjusted,risk_adjusted,0.65,lightgbm,0.500544079012423,0.4977581626922478,-0.04107398912388388,0.005441968321049769,0.0037203900092118245,0.003957939493043865,0.025393384461358796,0.007550744830404047,feature_base,walk_forward_base,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,60,0.1030401325457091,0.060901983305579055,0.0016801931974171041,0.0010301931974169857,0.009486288891954759,0.009486288891954674,-0.0599006211625277,-0.07929623327382351,1.277216579628081,0.7831122242273972,0.55,0.48333333333333334,5.0,5.0,0.013955567855613324,0.6500000000001187,1.7854557203483132,0.36968566998525587,0.03900000000000711
feature,base_technical,base_technical,36,risk_adjusted,risk_adjusted,0.65,lightgbm,0.49929330876682415,0.49637483656247167,-0.022570832833723593,-0.004138036909181486,0.0042719586103382,0.004429959698886502,0.024750890172093098,0.006119262206600792,feature_base_technical,walk_forward_base_technical,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,60,0.04005047929934058,0.00028038518433071147,0.0006999653647490432,4.996536474891969e-05,0.009541695414295942,0.00954169541429589,-0.07241300705066411,-0.08622701625960238,0.5289963479383923,0.037761147632018564,0.5,0.45,5.0,5.0,0.01073413594036443,0.6500000000001235,1.6071565877250769,0.41428197368045416,0.03900000000000742
feature,base_technical_risk,base_technical_risk,45,risk_adjusted,risk_adjusted,0.65,lightgbm,0.49912483147573505,0.4961112194726674,-0.028079520883123987,-0.0009439015887825042,0.004915464734502179,0.0051048971716200365,0.027168992203367468,0.004600046223513203,feature_base_technical_risk,walk_forward_base_technical_risk,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,60,0.1598323556458816,0.11556141699918254,0.0025085295319446166,0.0018585295319445058,0.008298415579202833,0.008298415579202847,-0.04855182902834665,-0.06314537920400254,2.1798454818554283,1.6150127600704494,0.55,0.5166666666666667,5.0,5.0,0.00802821821118943,0.6500000000001117,1.5891021631256903,0.4210782357036274,0.0390000000000067
feature,base_technical_risk_alpha,base_technical_risk_alpha,56,risk_adjusted,risk_adjusted,0.65,lightgbm,0.49915807792542455,0.4961538996369474,-0.02331562155908486,-0.001297046244009589,0.0045399539347793505,0.004749068281913119,0.02702875943943101,0.004426649917143068,feature_base_technical_risk_alpha,walk_forward_base_technical_risk_alpha,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,60,0.0921735284490024,0.05044403583961099,0.0015073641271909153,0.0008573641271908013,0.008584191258761587,0.008584191258761531,-0.064158245030563,-0.06844857261789639,1.2662529264675166,0.7202240092623126,0.5333333333333333,0.5,5.0,5.0,0.010207360691737614,0.6500000000001134,1.5992965322372006,0.4160818465493418,0.03900000000000681
sort_strategy,pure_prediction,base_technical_risk,45,pure_prediction,risk_adjusted,0.65,reused_full_feature_predictions,,,,,,,,,sort_pure_prediction,walk_forward_base_technical_risk,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,60,0.14955356402102593,0.10566853308009239,0.0023610495069763104,0.0017110495069761957,0.00846066492226383,0.008460664922263838,-0.046430680338840236,-0.060003251463602414,2.012344216330046,1.4583432363633486,0.55,0.48333333333333334,5.0,5.0,0.008047337036481363,0.6500000000001137,1.6365666240988648,0.4103204591414821,0.039000000000006835
sort_strategy,risk_adjusted,base_technical_risk,45,risk_adjusted,risk_adjusted,0.65,reused_full_feature_predictions,,,,,,,,,sort_risk_adjusted,walk_forward_base_technical_risk,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,60,0.1598323556458816,0.11556141699918254,0.0025085295319446166,0.0018585295319445058,0.008298415579202833,0.008298415579202847,-0.04855182902834665,-0.06314537920400254,2.1798454818554283,1.6150127600704494,0.55,0.5166666666666667,5.0,5.0,0.00802821821118943,0.6500000000001117,1.5891021631256903,0.4210782357036274,0.0390000000000067
weighting,equal,base_technical_risk,45,risk_adjusted,equal,0.65,reused_full_feature_predictions,,,,,,,,,weight_equal,walk_forward_base_technical_risk,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,60,0.1648252285981302,0.12036673084061933,0.0025826893760888597,0.0019326893760887524,0.00858427855213654,0.008584278552136585,-0.050464795603217816,-0.06519901323991006,2.169551912261005,1.6235285476140797,0.5333333333333333,0.5166666666666667,5.0,5.0,0.008263920102662395,0.6500000000001077,1.596973271773306,0.4186380088036129,0.03900000000000647
weighting,pred,base_technical_risk,45,risk_adjusted,pred,0.65,reused_full_feature_predictions,,,,,,,,,weight_pred,walk_forward_base_technical_risk,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,60,0.16868661038576516,0.1240831148873236,0.002638730335004802,0.001988730335004695,0.008671537798434463,0.008671537798434534,-0.05043925874857458,-0.06517385575312729,2.194323024619631,1.6537941395411053,0.5333333333333333,0.5166666666666667,5.0,5.0,0.008168373905648714,0.6500000000001069,1.593953181631535,0.419696359987182,0.03900000000000642
weighting,risk_adjusted,base_technical_risk,45,risk_adjusted,risk_adjusted,0.65,reused_full_feature_predictions,,,,,,,,,weight_risk_adjusted,walk_forward_base_technical_risk,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,60,0.1598323556458816,0.11556141699918254,0.0025085295319446166,0.0018585295319445058,0.008298415579202833,0.008298415579202847,-0.04855182902834665,-0.06314537920400254,2.1798454818554283,1.6150127600704494,0.55,0.5166666666666667,5.0,5.0,0.00802821821118943,0.6500000000001117,1.5891021631256903,0.4210782357036274,0.0390000000000067
turnover,max_turnover_1.0,base_technical_risk,45,risk_adjusted,risk_adjusted,1.0,reused_full_feature_predictions,,,,,,,,,turnover_1_0,walk_forward_base_technical_risk,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,60,0.1767185825706803,0.10876132140762862,0.0027826030750296156,0.0017890132783991409,0.0115982172391443,0.01159655713802105,-0.07771059465566232,-0.09966639023094992,1.7300621051349192,1.1124645066604295,0.55,0.5333333333333333,5.0,5.0,2.8485547254319954e-13,0.9935897966304739,1.50709777373121,0.684957585493203,0.05961538779782844
