profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.013623258625277654,0.0008,0.012823258625277653,0.8,1.0,0.8,1.0136232586252776,1.0128232586252777,"601111,300316,600426,000301,000858","0.162653,0.162207,0.159476,0.158248,0.157416","0.203316,0.202759,0.199345,0.197810,0.196770","0.566860,0.565307,0.555790,0.551510,0.548609","0.027160,-0.006916,0.054961,0.023158,-0.013356",300,40,18,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.0609035201506154,0.0021912395834637072,0.0008000000000000001,0.001391239583463707,0.8000000000000002,1.1502807272567213,0.6954823992469231,1.015844350032297,1.0142323384337297,"600905,601111,300316,001979,601012","0.140101,0.189236,0.188251,0.138642,0.138177","0.201444,0.200876,0.199655,0.199347,0.198678","0.556720,0.555149,0.551776,0.550923,0.549076","0.004796,0.040943,-0.002259,-0.008439,-0.033532",300,40,18,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.031584436091043444,0.004138620298981715,0.0008,0.0033386202989817153,0.8,1.6618123547616586,0.48140212564175944,1.0200485440799465,1.0176184751067083,"688012,601059,000651,001979,002027","0.104203,0.094978,0.094325,0.166099,0.093697","0.216457,0.197295,0.195937,0.195677,0.194634","0.589555,0.537364,0.533667,0.532957,0.530118","0.018676,0.000000,0.012865,0.017391,-0.020380",300,40,16,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.01104942786207408,-0.00817206478937613,0.0008000000000000001,-0.00897206478937613,0.8000000000000002,1.2304620768151884,0.6501622561750496,1.0117126412894164,1.0084883362171848,"688012,601111,601059,601012,000002","0.172303,0.165569,0.161533,0.152667,0.127172","0.208947,0.201852,0.197345,0.196256,0.195600","0.576655,0.557075,0.544635,0.541630,0.539820","0.042137,-0.010740,0.000000,-0.035389,-0.064885",300,40,17,False,-0.008172064789376154,-0.008972064789376177
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0023486075780861926,0.010372474398385921,0.0008000000000000001,0.00957247439838592,0.8000000000000002,1.015943554876849,0.7874453222915271,1.0222066047597143,1.0181420649966946,"688012,601012,601059,600547,300408","0.204948,0.188434,0.189274,0.154191,0.154007","0.213759,0.198088,0.196762,0.195812,0.195578","0.594760,0.551158,0.547467,0.544825,0.544172","0.045554,-0.013115,0.000000,-0.035685,0.058503",300,40,20,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0002628686375097944,0.0006784431460406673,0.0008,-0.0001215568539593327,0.8,0.9008251348798906,0.8880746873328154,1.022900113824551,1.01801830285039,"688012,002459,600547,601059,002493","0.207295,0.182536,0.191860,0.195438,0.172327","0.207591,0.205541,0.196608,0.196215,0.194045","0.584161,0.578393,0.553255,0.552150,0.546044","0.062720,0.000000,-0.038462,0.000000,-0.028689",300,40,20,False,0.0,-0.00012155685395931481
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,9.65233607587157e-05,0.012620007112040907,0.0008,0.011820007112040906,0.8,1.264207280874242,0.6328076195280042,1.0358091205359243,1.0300512864302693,"002493,601059,600183,002916,600588","0.191419,0.198827,0.126705,0.125566,0.125331","0.202497,0.200793,0.200226,0.198427,0.198056","0.557366,0.552676,0.551114,0.546164,0.545141","-0.016649,0.000000,0.084238,0.034058,0.006839",300,40,19,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,2.617795436166137e-05,0.01364941339617155,0.0008000000000000001,0.01284941339617155,0.8000000000000002,1.0977076196149567,0.7287915157959971,1.049947307421644,1.0432868412288703,"601059,002916,601995,600183,600570","0.201938,0.182754,0.145306,0.178140,0.142995","0.203095,0.204036,0.199379,0.197281,0.196209","0.559207,0.561796,0.548974,0.543199,0.540245","0.000000,0.015684,0.000000,0.074671,-0.017615",300,40,24,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,9.65243216854983e-06,0.003003783470948506,0.0008,0.0022037834709485063,0.8,1.2672739320795818,0.6312763008446085,1.053101121789044,1.0455860195250286,"601059,601995,600547,300059,600795","0.204002,0.181042,0.132617,0.124732,0.123965","0.205208,0.201915,0.198918,0.197587,0.196371","0.558014,0.549061,0.540911,0.537291,0.533985","0.000000,0.000000,0.016949,-0.025214,0.031469",300,40,28,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,1.786946560611291e-06,0.003387606745975307,0.0008,0.0025876067459753072,0.8,0.9817506660927696,0.8148708502372483,1.0566686142534107,1.048291584962649,"601059,601995,600795,000002,000596","0.204613,0.197457,0.185474,0.162339,0.159240","0.204752,0.201187,0.199448,0.199196,0.195418","0.562710,0.552911,0.548132,0.547439,0.537057","0.000000,0.000000,0.017361,0.025210,-0.024648",300,40,30,False,0.0,0.0
