profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.004773757446668397,0.0008,0.003973757446668396,0.8,1.0,0.8,1.0047737574466684,1.0039737574466685,"600941,601728,601939,600050,600803","0.160792,0.160626,0.160390,0.158239,0.159953","0.200990,0.200782,0.200488,0.197799,0.199941","0.541521,0.540962,0.540169,0.532923,0.538696","-0.011328,0.019034,-0.017490,0.000000,0.039656",300,40,36,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.06189158209330503,0.003363493522051006,0.0007999999999999999,0.002563493522051006,0.7999999999999999,1.1585101214329665,0.6905420895334745,1.0081533074709672,1.0065474376701924,"600803,600941,001979,002714,000333","0.190035,0.187404,0.137746,0.137541,0.137073","0.203516,0.199330,0.199475,0.199178,0.198500","0.547967,0.536695,0.537087,0.536288,0.534462","0.034128,-0.012588,-0.008439,-0.026195,0.029198",300,40,31,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.023298458832016533,-0.019105958316287756,0.0008000000000000001,-0.019905958316287754,0.8000000000000002,1.2829556535091124,0.6235601346093744,0.9888915724019992,0.9865111463325633,"600803,300347,300498,000651,002714","0.198916,0.125323,0.124346,0.122884,0.175404","0.204277,0.200980,0.199412,0.197068,0.198262","0.549443,0.540575,0.536358,0.530054,0.533266","-0.011014,-0.041569,-0.048998,0.012865,-0.041013",300,40,31,False,-0.019105958316287808,-0.01990595831628772
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.004264864130677726,-0.0043924540264403695,0.0008,-0.00519245402644037,0.8,0.9792562759730407,0.8169465130106803,0.9845479116330891,0.9813887325586604,"600803,000651,601838,000333,300347","0.201774,0.186295,0.163580,0.171638,0.184953","0.202415,0.200503,0.200233,0.198535,0.198314","0.544075,0.538936,0.538210,0.533647,0.533051","-0.026661,0.000734,-0.012238,0.036205,-0.018178",300,40,28,False,-0.023414490299192847,-0.024995051569318583
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.002119597283608332,0.0009248301204965595,0.0008,0.0001248301204965595,0.8,1.5904274609022255,0.5030094233572728,0.9854584511968393,0.9815112394323997,"603501,002074,601728,688012,600803","0.101276,0.100863,0.102033,0.100325,0.200494","0.201340,0.200520,0.199461,0.199450,0.199229","0.533396,0.531221,0.528417,0.528389,0.527801","-0.000826,0.007499,-0.021552,0.045554,-0.010570",300,40,24,False,-0.022511314604581112,-0.024873341584121245
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0010568116221683077,0.0130351266493255,0.0008,0.0122351266493255,0.8,1.59550310886665,0.5014092392262853,0.9983040269158383,0.9935201537545916,"600522,600104,688012,601456,002074","0.101754,0.101214,0.150513,0.099074,0.149165","0.202935,0.201860,0.200419,0.197591,0.197195","0.550596,0.547677,0.543768,0.536094,0.535021","0.010278,-0.018831,0.062720,-0.001908,0.031135",300,40,24,False,-0.009769625792169112,-0.01294254341926937
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.00045069374644657323,0.005081758098104929,0.0008,0.004281758098104929,0.8,1.394859534092888,0.5735344530732696,1.0033771664889886,0.9977741667185608,"600104,600522,000630,002493,601456","0.159664,0.158781,0.114574,0.113556,0.155770","0.203126,0.201185,0.199769,0.197993,0.197928","0.556290,0.550974,0.547095,0.542231,0.542053","-0.006502,0.039663,-0.012478,-0.016649,0.020173",300,40,27,False,-0.004737514569049028,-0.008716202161260012
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,9.432448845536623e-05,-0.0031596327883598612,0.0008000000000000001,-0.003959632788359861,0.8000000000000002,1.011745511354186,0.7907126752944306,1.0002068630946583,0.9938233474126436,"600104,000538,600522,000651,601456","0.192066,0.158018,0.191741,0.161729,0.190525","0.200643,0.199843,0.200465,0.199325,0.199725","0.548969,0.546780,0.548483,0.545363,0.546457","-0.004513,-0.001430,0.010101,-0.003914,-0.017691",300,40,32,False,-0.007882178551041119,-0.012641321989752097
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,3.5618139086923684e-05,0.005189999245059165,0.0008000000000000001,0.004389999245059164,0.8000000000000002,1.285373585244566,0.622387148128445,1.0053979359590226,0.9981862311575072,"601816,600522,000333,600023,000651","0.124331,0.199244,0.125268,0.123737,0.184716","0.199764,0.203797,0.198967,0.198811,0.198662","0.547468,0.558519,0.545282,0.544854,0.544448","-0.015326,0.041617,-0.022209,0.005848,0.004666",300,40,31,False,-0.0027330878067113318,-0.008306818138684613
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,1.2517136147915942e-05,0.013553419994800732,0.0008,0.012753419994800732,0.8,1.233475072260979,0.6485741122709416,1.0190245164469809,1.0109165193964862,"600522,601298,600741,601816,000538","0.200771,0.129653,0.129645,0.173231,0.149957","0.201597,0.199904,0.199892,0.199727,0.198879","0.540510,0.535971,0.535938,0.535495,0.533223","0.047876,0.019837,0.018936,-0.009690,0.003956",300,40,34,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-10,5,5,6.62697049591543e-06,-0.002816867594295524,0.0008,-0.003616867594295524,0.8,1.7000725463356292,0.470568154120444,1.0161540593088088,1.007260168196943,"600030,600999,000538,600176,600406","0.094870,0.094150,0.173291,0.094086,0.093564","0.201607,0.200077,0.199543,0.199941,0.198832","0.537074,0.532998,0.531573,0.532634,0.529681","-0.002452,-0.003601,0.004313,-0.037084,0.005307",300,40,39,False,-0.002816867594295447,-0.0036168675942954698
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-11,5,5,3.3086420919703485e-06,0.010381236353725893,0.0008,0.009581236353725892,0.8,1.5976647731403544,0.5007308250450612,1.0267029947702915,1.0169109659381317,"600030,600276,601066,600795,600522","0.148471,0.100599,0.099773,0.099731,0.152591","0.201916,0.200903,0.199255,0.199172,0.198753","0.536176,0.533488,0.529112,0.528889,0.527779","0.022647,-0.051043,0.034496,0.017153,0.045882",300,40,36,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-12,5,5,1.2762978753855236e-06,-0.0027648765822394093,0.0008,-0.0035648765822394093,0.8,1.3023943739757171,0.6142532676626227,1.023864287703136,1.0132858038494363,"000408,600030,600276,600196,600795","0.123477,0.180736,0.162118,0.122038,0.160432","0.201019,0.200998,0.200752,0.198678,0.198552","0.535915,0.535860,0.535204,0.529672,0.529338","0.048951,0.011323,-0.041640,-0.053691,0.015254",300,40,35,False,-0.0027648765822393395,-0.0035648765822394735
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-15,5,5,5.244744781807142e-07,0.0017633927045236852,0.0008,0.0009633927045236851,0.8,1.3580826348349928,0.5890657751449713,1.0256697625184943,1.0142619960004622,"600795,300628,600196,601066,603195","0.184710,0.118143,0.167761,0.133136,0.117209","0.201646,0.200560,0.199656,0.199163,0.198975","0.533513,0.530641,0.528250,0.526944,0.526448","0.003413,0.026442,-0.017639,0.019556,-0.013953",300,40,36,False,-0.0010063594409095433,-0.0026049182538077087
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-16,5,5,3.1446214843189324e-07,0.002908024233795574,0.0008,0.002108024233795574,0.8,1.99788070989903,0.40042430763568004,1.0286524350437694,1.016400084867449,"601456,601633,601607,000975,601018","0.081763,0.080121,0.079597,0.080081,0.079497","0.202605,0.200090,0.198782,0.199990,0.198532","0.546262,0.539484,0.535956,0.539214,0.535283","-0.024345,-0.005788,0.007291,0.057023,0.002710",300,40,32,False,0.0,-0.0005023852508182491
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-17,5,5,1.0783249382306792e-07,-0.01169936830096846,0.0008000000000000001,-0.01249936830096846,0.8000000000000002,1.2174908747930568,0.6570891138185986,1.0166178513525042,1.0036957258655552,"601607,601456,601018,601633,603195","0.158433,0.162138,0.158254,0.158202,0.154229","0.199574,0.204082,0.199355,0.198949,0.198040","0.547173,0.559534,0.546572,0.545459,0.542968","0.000000,-0.031835,-0.005391,-0.018708,-0.017668",300,40,39,False,-0.011699368300968516,-0.01299547405350776
