profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,-0.002835297934769142,0.0008,-0.003635297934769142,0.8,0.9999999999999999,0.8000000000000002,0.9971647020652309,0.9963647020652309,"300832,600050,600036,600941,000538","0.161390,0.160387,0.159441,0.159395,0.159387","0.201737,0.200484,0.199301,0.199244,0.199234","0.553510,0.550072,0.546825,0.546670,0.546643","0.005277,0.000000,0.002084,-0.011328,-0.013889",300,40,28,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.009899572130452117,-0.007387351677961638,0.0008,-0.008187351677961637,0.8,0.8416603886330882,0.9505021393477393,0.9897982957302252,0.9882071138499154,"600941,000538,600050,600519,300803","0.199110,0.198081,0.198076,0.188963,0.189991","0.201178,0.200096,0.200038,0.198803,0.199885","0.552951,0.549976,0.549819,0.546424,0.549399","-0.012588,-0.005884,-0.005525,-0.012029,-0.001832",300,40,24,False,-0.007387351677961673,-0.008187351677961585
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.0,0.011195922929685588,0.0007995688173227918,0.010396354112362796,0.7995688173227917,0.7995688173227917,1.0,1.0008800011651549,0.9984808649418552,"000538,000651,600941,688169,600050","0.201032,0.200084,0.199872,0.199596,0.199415","0.201032,0.200084,0.199872,0.199596,0.199415","0.551076,0.548478,0.547896,0.547138,0.546643","-0.005887,0.012865,-0.004686,0.064899,-0.011091",300,40,30,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0,-0.014042220080994886,0.0008,-0.014842220080994886,0.8,1.2180624452911926,0.6567807776133763,0.9868254239141273,0.983661192197726,"600519,000002,000651,600036,600050","0.128860,0.142799,0.197532,0.128341,0.196365","0.196200,0.217422,0.196198,0.195410,0.194771","0.546840,0.605991,0.546836,0.544639,0.542859","-0.012983,-0.064885,0.000734,0.000000,-0.016544",300,40,29,False,-0.014042220080994872,-0.014842220080994895
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0,-0.0030073772171447903,0.0008,-0.0038073772171447902,0.8,1.3505873195397762,0.5923348964009277,0.9838576676169487,0.9799160229851629,"600036,600900,300408,000895,600050","0.171125,0.118634,0.118440,0.118386,0.198121","0.200570,0.200282,0.199955,0.199863,0.199330","0.545567,0.544783,0.543894,0.543644,0.542193","-0.002080,-0.011327,0.058503,-0.032727,-0.022018",300,40,30,False,-0.017007367045389965,-0.018593087367551497
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0,0.003763386072435651,0.0008,0.002963386072435651,0.8,1.4898982508650667,0.5369494188851507,0.9875603038605174,0.9828198924798336,"000002,300413,002916,300803,600050","0.137181,0.107051,0.107010,0.106972,0.197432","0.205280,0.199368,0.199293,0.199223,0.196837","0.566485,0.550172,0.549964,0.549770,0.543187","-0.040323,-0.005778,0.080858,0.056218,-0.024074",300,40,26,False,-0.01330798626122176,-0.01568479979126447
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0,-0.010707700458883517,0.0008,-0.011507700458883517,0.8,1.6310283775927223,0.49048809388634984,0.9769858039416951,0.9715098955521436,"600900,600036,601838,000651,000538","0.126905,0.138594,0.098009,0.116825,0.104153","0.201668,0.200250,0.199819,0.199446,0.198816","0.548490,0.544634,0.543461,0.542447,0.540733","-0.011331,-0.032139,-0.035088,-0.010503,-0.001435",300,40,27,False,-0.02387318878950906,-0.027012004272392476
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0,-0.001772434815966751,0.0008,-0.002572434815966751,0.8,1.1951881384277898,0.6693506857023865,0.9752541602880835,0.969010749672769,"000651,000538,002916,600900,600905","0.173088,0.168790,0.153188,0.175929,0.131411","0.200882,0.200720,0.201926,0.200146,0.196326","0.550184,0.549740,0.553045,0.548169,0.537706","-0.003914,-0.001430,0.015684,-0.007838,-0.014286",300,40,30,False,-0.02560330993449711,-0.02951495246811997
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,1.1102230246251565e-16,-0.006799846739222023,0.0007999999999999999,-0.0075998467392220225,0.7999999999999999,1.251429857232505,0.6392687495639372,0.9686225814663358,0.9616464164865973,"000538,000651,601995,000333,601838","0.190954,0.191791,0.126783,0.126743,0.138015","0.203460,0.202345,0.198324,0.198262,0.197608","0.553279,0.550247,0.539313,0.539143,0.537365","-0.005348,0.004666,0.000000,-0.022209,-0.027960",300,40,34,False,-0.032229058090147866,-0.036890490092068906
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.0,0.004435372794096694,0.0008000000000000001,0.0036353727940966933,0.8000000000000002,0.980944656484372,0.8155404025209095,0.9729187837119193,0.9651423597066333,"000538,000651,000568,601995,601607","0.199278,0.198688,0.165074,0.185134,0.161354","0.201160,0.200247,0.202411,0.198332,0.197849","0.550676,0.548176,0.554100,0.542933,0.541612","0.003956,0.011911,0.003371,0.000000,0.004487",300,40,37,False,-0.027936633183483606,-0.033389227982013714
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-10,5,5,0.0,-0.00730695244621908,0.0008,-0.00810695244621908,0.8,0.8342061671679742,0.9589955474866605,0.965809712425303,0.95731799649266,"000651,002422,000538,600795,601995","0.201201,0.193293,0.199084,0.191066,0.198261","0.201308,0.201558,0.199075,0.199236,0.198823","0.552586,0.553272,0.546457,0.546898,0.545764","0.008146,-0.054121,0.004313,0.003436,0.000000",300,40,36,False,-0.03503945397952346,-0.04122549554476662
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-11,5,5,1.1102230246251565e-16,0.03920390785274958,0.0008,0.03840390785274958,0.8,0.8231768599350069,0.9718446167973711,1.003673227394515,0.994082748615743,"601995,600795,600027,000538,601059","0.200558,0.200653,0.194211,0.199812,0.193177","0.200625,0.200931,0.199837,0.199833,0.198774","0.549181,0.550019,0.547026,0.547014,0.544115","0.100029,0.017153,0.007663,0.005372,0.068016",300,40,32,False,0.0,-0.0044048078241021305
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-12,5,5,0.0,0.011706133054830647,2.703484185580828e-05,0.01167909821297484,0.02703484185580828,0.02703484185580828,1.0,1.0154223597379666,1.0056927386686503,"601995,601059,000538,600795,600027","0.202502,0.201250,0.199517,0.199020,0.197712","0.202502,0.201250,0.199517,0.199020,0.197712","0.553091,0.549671,0.544937,0.543580,0.540009","0.022643,0.006183,0.016129,0.015254,-0.001908",300,40,29,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-15,5,5,1.1102230246251565e-16,0.008441809900034496,0.0004118349640959369,0.00802997493593856,0.4118349640959369,0.4118349640959369,1.0,1.023994362267119,1.0137684261534148,"300014,600795,601995,601059,000538","0.203878,0.201060,0.200232,0.199431,0.195399","0.203878,0.201060,0.200232,0.199431,0.195399","0.564692,0.556887,0.554595,0.552377,0.541209","-0.004783,0.003413,0.024649,0.006745,0.012538",300,40,27,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-16,5,5,1.1102230246251565e-16,0.01588787917255616,0.0008,0.01508787917255616,0.8,0.8009240186834972,0.9988463091854631,1.0402634609681976,1.0290640416761698,"300014,601995,000651,601059,002459","0.209384,0.198088,0.197437,0.197577,0.197057","0.209390,0.198086,0.197665,0.197574,0.197284","0.588116,0.556365,0.555182,0.554929,0.554114","0.010095,0.031814,0.000735,0.005059,0.032110",300,40,23,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-17,5,5,1.1102230246251565e-16,-0.02282872985892625,0.0008,-0.023628729858926247,0.8,0.8113839504860877,0.98596971202195,1.016515567435643,1.0047485654278687,"601995,601059,601607,601186,300014","0.201615,0.201128,0.197456,0.195466,0.198794","0.201665,0.201178,0.200266,0.198248,0.198643","0.559279,0.557929,0.555399,0.549802,0.550898","-0.075560,-0.064211,0.000000,0.006452,0.020417",300,40,32,False,-0.022828729858926144,-0.02362872985892628
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-18,5,5,0.0,-0.0011044405383527044,0.0008,-0.0019044405383527043,0.8,1.603527466316574,0.49890009170698,1.0153928864351005,1.0028350815290161,"600023,600900,000651,601186,601985","0.100721,0.100172,0.100985,0.197314,0.099044","0.201886,0.200786,0.199633,0.199170,0.198525","0.555742,0.552713,0.549541,0.548265,0.546488","-0.003876,-0.014270,-0.006343,0.005141,0.003448",300,40,32,False,-0.02390795742258356,-0.02548817088626598
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-19,5,5,0.0,-0.0013630440008669004,0.0008,-0.0021630440008669006,0.8,1.0038715398312188,0.7969147129467424,1.0140088612527223,1.0006659051220559,"000651,601985,600023,601186,600905","0.180771,0.180023,0.180064,0.198972,0.158235","0.201104,0.200660,0.200284,0.199394,0.198559","0.553264,0.552043,0.551008,0.548560,0.546263","-0.006320,0.000000,-0.001938,-0.001280,0.002421",300,40,35,False,-0.025238413825512507,-0.02759608285200421
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-22,5,5,0.0,-0.0009215291067790896,0.0008,-0.0017215291067790898,0.8,1.6384571110715658,0.4882642301676074,1.0130744225725459,0.9989432296402267,"000538,300628,000651,600999,601919","0.098040,0.097853,0.190208,0.097621,0.097049","0.200792,0.200410,0.200099,0.199935,0.198764","0.547432,0.546391,0.545543,0.545097,0.541902","0.001944,0.005233,-0.002691,-0.002980,-0.008464",300,40,36,False,-0.02613668499934252,-0.029270104498920646
