profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,risk_penalty,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,300832,0.2017369913459757,0.16138959307678058,0.55350983,0.005277494041539,0.9276785714285715,0.7232142857142857,0.0158589434276184,0.0087177113604896,0.5151,0.137060992031081,-0.2233009708737864
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600050,0.20048390067899274,0.16038712054319423,0.5500717,0.0,0.9153571428571429,0.48928571428571427,0.0072964178870625,0.0132413755214649,0.5092,-0.2572495478149251,-0.3245227606461086
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600036,0.1993007515497044,0.15944060123976356,0.54682547,0.0020842982862435,0.8619642857142857,0.6660714285714285,0.0107039360382764,0.0088568629087808,0.2187,-0.2377666248431619,-0.1227064220183484
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600941,0.19924401471190903,0.15939521176952726,0.5466698,-0.0113280530484434,0.8610714285714286,0.31785714285714284,0.0057043386453258,0.003607903873591,1.0859,-0.1360558830783428,-0.0929878048780491
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,000538,0.19923434171341806,0.15938747337073447,0.54664326,-0.0138888888888888,0.8323214285714285,0.24821428571428575,0.0064795969735138,0.0048394172268252,0.3226,-0.2075657086710881,-0.4
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600941,0.2011776998658494,0.19910955609235292,0.55295056,-0.0125879303961495,0.9741666666666666,0.25833333333333336,0.0059264285834298,0.0037909930464205,0.9458,-0.2068696592843546,-0.2457627118644069
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,000538,0.2000956490846837,0.1980806814757869,0.54997647,-0.0058844507845934,0.9364583333333334,0.21875,0.0064666083021048,0.0040766160776754,0.2421,-0.3704820843517603,-0.4242424242424243
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600050,0.20003821189992377,0.19807556770523832,0.5498186,-0.0055248618784529,0.8708333333333333,0.4583333333333333,0.0072979057007891,0.0111053349342166,0.4232,-0.3353853885294302,-0.337568058076225
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600519,0.1988030704834044,0.1889627438033753,0.54642373,-0.0120290356031799,0.7952083333333334,0.38125,0.0071553337039932,0.0049896664499758,0.178,-0.2298706355730542,-0.2923649906890131
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,300803,0.19988536866613874,0.18999147054147644,0.5493985,-0.0018316543168761,0.786875,0.88125,0.0229212959324104,0.0188547423445614,2.7362,-0.1156031623926099,-0.198008849557522
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,000538,0.2010321693386426,0.2010321693386426,0.5510755,-0.0058865501248661,0.9808333333333333,0.19166666666666668,0.0064134455241541,0.0016051951630752,0.2424,-0.3297201636987058,-0.3946188340807174
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,000651,0.20008443069851667,0.20008443069851667,0.54847753,0.0128649183572488,0.936,0.3066666666666667,0.0067531827199083,0.0036819990353505,0.3706,-0.3848554260863792,-0.2959183673469389
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,600941,0.19987225225717345,0.19987225225717345,0.5478959,-0.0046860356138706,0.904,0.29333333333333333,0.0058670976811083,0.0042577800199718,0.8819,-0.256464517869639,-0.326568265682657
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,688169,0.19959584353512377,0.19959584353512377,0.5471382,0.0648985332529635,0.8125,0.8750000000000001,0.0156660165188863,0.0096759629263714,1.3871,0.3523315557028788,-0.2635350318471335
