profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.0013368272639727825,0.0008,0.0005368272639727825,0.8,1.0000000000000002,0.7999999999999998,1.0013368272639729,1.0005368272639728,"601328,600887,600941,600036,000895","0.165499,0.162664,0.159633,0.156149,0.156055","0.206873,0.203330,0.199542,0.195187,0.195069","0.566572,0.556866,0.546493,0.534565,0.534242","-0.005215,0.003425,-0.011328,0.002084,0.020030",300,40,30,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.0059214846777738694,-0.0011685966440020878,0.0008,-0.0019685966440020877,0.8,0.8244086149069827,0.9703925766111303,1.0001666684081165,0.9985671738236204,"601328,600887,600941,300803,000333","0.204546,0.199350,0.198437,0.191535,0.190967","0.205738,0.200469,0.199621,0.197379,0.196794","0.559904,0.545566,0.543257,0.537155,0.535563","-0.023407,0.004475,-0.012588,-0.001832,0.029198",300,40,28,False,-0.00116859664400204,-0.001968596644002063
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.001997120592831858,0.00936518512040446,0.0008,0.00856518512040446,0.8,1.2071223871393588,0.6627331317214998,1.0095334144090167,1.007120086522579,"000333,601328,688008,002938,600803","0.198967,0.203197,0.132095,0.131039,0.130829","0.203038,0.202511,0.199318,0.197726,0.197408","0.549626,0.548201,0.539557,0.535248,0.534387","0.026190,-0.018494,-0.004167,0.075576,-0.011014",300,40,30,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0006551481021404015,-0.000494484182024773,0.0008,-0.0012944841820247731,0.8,1.190558290388118,0.6719536594375423,1.009034216104366,1.005816385501176,"601328,000333,600690,000895,600795","0.204029,0.199774,0.133733,0.133376,0.133480","0.204435,0.200169,0.199022,0.197729,0.198645","0.538225,0.526992,0.523973,0.520569,0.522981","-0.033810,0.036205,0.000727,-0.015786,0.008834",300,40,26,False,-0.0004944841820248014,-0.0012944841820248243
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.00024672820019178143,0.0018298058404500124,0.0008,0.0010298058404500125,0.8,1.2832834032122848,0.623400877777628,1.0108805528062077,1.0068521810893853,"600795,601328,600887,300408,600036","0.176818,0.202754,0.132520,0.124724,0.122189","0.202999,0.201983,0.199252,0.200071,0.195695","0.547991,0.545249,0.537876,0.540086,0.528275","0.000000,-0.018349,-0.011263,0.058503,-0.002080",300,40,31,False,0.0,-0.0002660114089458876
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.00010205591914369538,0.000525217024430074,0.0008,-0.00027478297556992606,0.8,1.3643426282035762,0.5863629732462119,1.0114114844822069,1.0065755152511064,"000630,600795,600803,601825,300408","0.131324,0.188248,0.121057,0.113025,0.164123","0.223963,0.196312,0.195053,0.192757,0.191916","0.617696,0.541433,0.537961,0.531628,0.529309","-0.029772,0.000000,-0.039331,-0.011616,0.064032",300,40,25,False,0.0,-0.0005407212891094249
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,4.2056291080783126e-05,-0.008396281760121013,0.0008000000000000001,-0.009196281760121014,0.8000000000000002,1.3607540238312836,0.5879093399610553,1.002919388683072,0.9973187632000183,"600795,000630,000651,600926,601838","0.194361,0.187559,0.112665,0.112522,0.112494","0.198646,0.226978,0.191637,0.191393,0.191346","0.557724,0.637268,0.538045,0.537360,0.537228","0.013937,-0.012478,-0.010503,-0.032299,-0.035088",300,40,24,False,-0.008396281760120972,-0.009732030423902027
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,7.903658249874823e-06,-0.01725755244650022,0.0008,-0.01805755244650022,0.8,0.9851373108268698,0.8120695371171398,0.9856114547332621,0.9793096273276553,"000333,000630,000651,600372,600795","0.161588,0.212486,0.179871,0.158639,0.194843","0.196016,0.218254,0.195424,0.195352,0.194955","0.537349,0.598312,0.535727,0.535528,0.534440","-0.043976,-0.063140,-0.003914,-0.000794,0.021016",300,40,26,False,-0.02550893493379025,-0.027613846220611693
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,0.0,-0.017522406135069515,0.0005748234108280214,-0.01809722954589754,0.5748234108280214,0.5748234108280214,1.0,0.9683411705320492,0.9615868362053993,"000630,600372,000333,000651,601816","0.220510,0.199221,0.193577,0.193463,0.193229","0.220510,0.199221,0.193577,0.193463,0.193229","0.602028,0.543904,0.528497,0.528184,0.527545","-0.061404,0.011924,-0.022209,0.004666,-0.015326",300,40,27,False,-0.04258436315087677,-0.04521134165280971
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.0,0.01780985318109459,0.0008,0.017009853181094593,0.8,1.2151012952755147,0.6583813243476185,0.9855871846084343,0.9779432871101263,"600372,601816,002625,601899,000425","0.201980,0.196869,0.133319,0.130143,0.130139","0.203411,0.198758,0.202495,0.197672,0.197665","0.539956,0.527603,0.537523,0.524720,0.524702","0.023387,-0.009690,0.070357,0.013725,0.029412",300,40,32,False,-0.02553293122530964,-0.028970526755349724
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-10,5,5,0.0,0.007352336520252986,0.0008,0.006552336520252985,0.8,1.2131449118283806,0.6594430658694246,0.9928335532597242,0.9843511006249942,"600795,600372,601066,601899,000651","0.146294,0.198824,0.128586,0.172585,0.148768","0.221845,0.197194,0.194992,0.194503,0.191466","0.606916,0.539476,0.533453,0.532115,0.523805","0.003436,0.028846,0.027203,-0.020833,0.008146",300,40,32,False,-0.01836832140777367,-0.02260801487556685
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-11,5,5,0.0,0.005149536717374796,0.0008,0.004349536717374796,0.8,1.4502389486803398,0.5516332330806372,0.9979461860964769,0.9886325718799508,"600795,601066,000408,600276,601058","0.182203,0.169226,0.110768,0.105910,0.106773","0.211389,0.202259,0.200801,0.191994,0.193557","0.590834,0.565313,0.561239,0.536623,0.540993","0.017153,0.034496,0.024725,-0.051043,-0.010734",300,40,27,False,-0.013313373035924725,-0.018356812549000456
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-12,5,5,0.0,0.009593506913175672,0.0008,0.008793506913175672,0.8,0.8637841211262282,0.9261573354195671,1.0075199897317706,0.9973261192353678,"600795,601066,000408,601689,600276","0.207104,0.203040,0.197344,0.177899,0.182721","0.209089,0.205736,0.204247,0.192083,0.188845","0.587933,0.578505,0.574317,0.540114,0.531009","0.015254,0.013253,0.048951,0.009510,-0.041640",300,40,24,False,-0.003847588059006979,-0.009724726393878225
