profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,risk_penalty,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601328,0.20687321200257844,0.16549856960206272,0.5665715,-0.0052151238591915,0.9465,0.535,0.0102530619684781,0.0139479768649001,0.5756,-0.2181897207432359,-0.171245421245421
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600887,0.2033295979508985,0.16266367836071877,0.55686647,0.0034246575342464,0.9168333333333334,0.4983333333333333,0.0122575327968883,0.0074609660910534,0.4562,-0.4723632620487851,-0.0393794749403338
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600941,0.19954180572965902,0.1596334445837272,0.5464927,-0.0113280530484434,0.9058333333333334,0.275,0.0057043386453258,0.003607903873591,1.0859,-0.1360558830783428,-0.0929878048780491
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600036,0.1951866974403067,0.15614935795224533,0.5345652,0.0020842982862435,0.8475,0.525,0.0107039360382764,0.0088568629087808,0.2187,-0.2377666248431619,-0.1227064220183484
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,000895,0.1950686868765575,0.156054949501246,0.534242,0.0200296735905045,0.8258333333333334,0.4083333333333333,0.0077266537932346,0.0039653138594815,0.3122,-0.0666387634906874,0.4854260089686097
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601328,0.20573773720258962,0.20454635913062513,0.559904,-0.0234070221066318,0.9439285714285715,0.5607142857142857,0.0100335127677201,0.0124006728068363,0.6118,-0.1644701801346572,0.0641547861507128
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600887,0.20046930871449334,0.19934998141012603,0.54556626,0.0044750430292598,0.9228571428571428,0.4142857142857143,0.0123648508238935,0.0073099891858737,0.3544,-0.5672665999169699,-0.3796992481203007
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600941,0.19962069346159306,0.19843677405390997,0.5432568,-0.0125879303961495,0.9075,0.21071428571428572,0.0059264285834298,0.0037909930464205,0.9458,-0.2068696592843546,-0.2457627118644069
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,300803,0.19737853927330992,0.1915346692931684,0.5371549,-0.0018316543168761,0.8117857142857143,0.8107142857142857,0.0229212959324104,0.0188547423445614,2.7362,-0.1156031623926099,-0.198008849557522
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,000333,0.19679372134801418,0.19096716631979227,0.53556335,0.0291979949874686,0.7894642857142856,0.6767857142857143,0.0108237072603772,0.0070649527777422,0.4564,0.0610745588542998,0.073147256977863
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,000333,0.20303753611246345,0.19896660029352584,0.54962647,0.0261904761904761,0.9688333333333333,0.3116666666666667,0.0104987528648032,0.006425913354691,0.2614,-0.3729460023508526,-0.4535840188014101
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,601328,0.20251089777164144,0.20319739144968776,0.54820085,-0.0184940554821663,0.8935,0.7316666666666667,0.0107459374811946,0.0146004740552328,0.6396,-0.1076012947873645,-0.0317775571002976
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,688008,0.19931789839924324,0.13209457501427818,0.53955734,-0.0041666666666666,0.8711666666666666,0.6216666666666668,0.0196402949462991,0.0081524674669076,1.5947,-0.1638615366869055,-0.3989234449760765
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,002938,0.19772583717467138,0.13103946329302532,0.5352476,0.0755762411347517,0.8303333333333334,0.6966666666666668,0.0218382841950473,0.0245121283718736,0.7408,-0.2988832102971795,-0.4553706505295009
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,600803,0.19740783054198058,0.13082870976143393,0.53438675,-0.0110142267094996,0.8135,0.5316666666666666,0.0103594350237514,0.0087001950453138,0.3791,-0.1866901227151806,-0.2653061224489795
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,601328,0.20443533393361304,0.20402923143193455,0.53822494,-0.0338101430429127,0.9299999999999999,0.7000000000000001,0.010777269777885,0.0150440606982828,0.7764,0.0573623141036117,-0.0176908752327745
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,000333,0.20016866007139916,0.1997743287601305,0.5269919,0.0362047440699126,0.9182692307692308,0.4326923076923077,0.009824765099858,0.0058193347396266,0.4376,0.034588741518311,-0.2172330097087379
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,600690,0.19902188872623322,0.13373348643776375,0.52397275,0.0007272727272728,0.8776923076923078,0.45384615384615384,0.0094993441130031,0.0084492979607766,0.48,-0.1030719784737276,-0.0410958904109587
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,000895,0.19772902239986687,0.13337593569857512,0.52056897,-0.0157856093979442,0.8157692307692308,0.3038461538461539,0.0075589438605869,0.007643758213056,0.2367,-0.2484044073286127,-0.1730141458106636
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,600795,0.19864509486888773,0.13348029842646686,0.52298075,0.0088339222614841,0.8082692307692307,0.7634615384615384,0.0120540075555059,0.0109594631685568,0.94,0.5305208655583957,0.2377963737796375
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,600795,0.20299886966998162,0.17681823676152053,0.5479908,0.0,0.9398387096774193,0.6016129032258065,0.0120506164369466,0.0118902156162946,0.5348,-0.1466411361097812,-0.4766146993318485
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,601328,0.20198300626443544,0.20275361286638494,0.5452485,-0.0183486238532111,0.9193548387096775,0.48387096774193544,0.0104185203769241,0.0115139789892386,0.3742,-0.477593187212062,-0.1806722689075627
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,600887,0.19925206996569816,0.13252015349710616,0.5378764,-0.0112627986348122,0.8654838709677419,0.3774193548387097,0.0119138080340103,0.0061441779803777,0.3883,-0.39627159226954,-0.2836468885672937
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,300408,0.20007069887720105,0.12472424929763062,0.54008627,0.0585030791094267,0.8598387096774193,0.7564516129032258,0.0276138725602519,0.0112963808131074,0.7899,-0.285203652257323,-0.0700636942675161
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,600036,0.1956953552226837,0.122189288473069,0.52827513,-0.0020799630228795,0.8448387096774194,0.26129032258064516,0.0073068127587007,0.0063829063764087,0.1972,-0.2956388184448334,-0.2142857142857143
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,000630,0.2239628783990414,0.13132353927484172,0.6176958,-0.0297723292469351,0.9064,0.936,0.02568581190205,0.0260489859243912,3.0182,0.3763007414568307,0.2961783439490448
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,600795,0.19631159601158452,0.1882484208499446,0.5414328,0.0,0.9057999999999999,0.542,0.0119213490560506,0.0122009300714075,0.622,-0.0370026319863756,-0.2688499619192687
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,600803,0.19505297916525563,0.12105739212284598,0.5379615,-0.0393309222423148,0.8692000000000001,0.508,0.0121082919943947,0.0151688558799798,0.2207,-0.5434328389085419,-0.1128433556050482
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,601825,0.19275659170343326,0.11302532822403123,0.531628,-0.0116156282998943,0.82,0.6000000000000001,0.012679823607034,0.014998455603733,0.2055,-0.2398461197011172,-0.1074074074074074
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,300408,0.19191595472068515,0.1641229774669765,0.5293095,0.0640323732444655,0.7852,0.548,0.0274844619029325,0.0112210150312707,0.7171,-0.3432608914654138,-0.5272601794340925
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,600795,0.1986461677493959,0.19436135336668312,0.55772376,0.0139372822299651,0.911875,0.4645833333333334,0.0115849037510492,0.006235432521629,0.5498,-0.1648565309191438,-0.2764378478664191
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,000630,0.22697761038562977,0.18755946108617297,0.6372678,-0.0124777183600713,0.9114583333333333,0.8854166666666667,0.0249676693685677,0.0251144794738019,3.3803,0.4310692271218588,-0.1300421432871763
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,000651,0.19163715957043054,0.11266527599506325,0.5380451,-0.0105031753786028,0.8795833333333333,0.37083333333333335,0.0069248917940175,0.0054514932200267,0.4798,-0.2451345951133556,0.1318897637795275
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,600926,0.19139300295068706,0.11252173403790275,0.5373596,-0.0322989233692209,0.8427083333333333,0.3229166666666667,0.0096878704743229,0.0043853890273671,0.3555,-0.2291011601431206,-0.2165492957746477
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,601838,0.19134605934385673,0.11249413545299573,0.5372278,-0.0350877192982455,0.8060416666666667,0.2729166666666667,0.0086184595582792,0.0098363031834196,0.4045,-0.476795322847682,-0.2635658914728682
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,000333,0.19601576664100695,0.1615884956108225,0.5373488,-0.0439759036144578,0.9265384615384615,0.35000000000000003,0.0095523202361685,0.0085781311975805,0.3548,-0.1966671195036906,-0.3296432964329643
