profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.01095098782408692,0.0008,0.01015098782408692,0.8,1.0,0.8,1.010950987824087,1.0101509878240869,"688271,600426,601127,600000,300782","0.161841,0.160794,0.160424,0.159269,0.157672","0.202302,0.200992,0.200530,0.199086,0.197090","0.589132,0.585319,0.583974,0.579769,0.573954","-0.022653,0.054961,0.026859,0.000000,0.009330",300,40,32,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.06252027316556341,-0.003001474696763525,0.0008,-0.003801474696763525,0.8,1.1638079568828645,0.687398634172183,1.007916644014465,1.006310924403963,"300782,600415,300498,300316,601127","0.187031,0.139463,0.136574,0.137168,0.186601","0.200382,0.202885,0.198683,0.199546,0.198505","0.576075,0.583270,0.571191,0.573672,0.570679","0.002157,0.022054,-0.034871,-0.002259,-0.007547",300,40,32,False,-0.0030014746967634842,-0.003801474696763507
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.030528700731519587,0.012783636079766824,0.0008,0.011983636079766824,0.8,1.5634185732998251,0.511699178749989,1.0208014835902857,1.018370188305114,"000333,000630,300782,300979,000651","0.103901,0.102754,0.193601,0.101640,0.101131","0.203050,0.200809,0.199871,0.198632,0.197638","0.563162,0.556945,0.554346,0.550908,0.548152","0.026190,0.058491,0.002026,0.023210,0.012865",300,40,27,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.016665175211828642,0.006242628997968645,0.0008,0.005442628997968645,0.8,1.7616702584437696,0.4541144951307215,1.0271739685329158,1.02391279942265,"300124,000333,000963,300347,600176","0.091328,0.148001,0.090756,0.090216,0.090531","0.201112,0.201014,0.199852,0.198664,0.199357","0.560678,0.560404,0.557166,0.553854,0.555786","0.023126,0.036205,-0.001173,-0.018178,0.005729",300,40,25,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.008442516638764497,0.001974790556498027,0.0008,0.0011747905564980271,0.8,1.6213904603964011,0.49340366774109073,1.029202421985855,1.0251156825100893,"300347,601012,601111,301269,000963","0.145287,0.099209,0.098326,0.098227,0.144035","0.201830,0.201070,0.199280,0.199080,0.198739","0.567147,0.565011,0.559982,0.559419,0.558462","0.012695,-0.013115,0.003606,0.013714,-0.001875",300,40,27,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.004217171579764867,-0.008247544894217845,0.0007999999999999999,-0.009047544894217845,0.7999999999999999,1.5984524853482092,0.500484066516201,1.020714028805289,1.0158409023508126,"002459,601111,301269,600547,002493","0.105798,0.148463,0.148125,0.098256,0.098023","0.211391,0.198503,0.197927,0.196322,0.195857","0.615382,0.577865,0.576188,0.571517,0.570162","0.000000,-0.025030,0.013905,-0.038462,-0.028689",300,40,29,False,-0.008247544894217973,-0.009047544894217774
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0014210100526754754,-0.0035677551503958027,0.0008,-0.004367755150395803,0.8,1.2065602187594608,0.6630419166500695,1.0170723710719376,1.011403958017587,"002493,301269,601111,000786,600938","0.167316,0.183595,0.182326,0.131481,0.131291","0.202531,0.201621,0.199535,0.198299,0.198013","0.570536,0.567972,0.562095,0.558615,0.557809","-0.016649,0.029381,-0.013189,-0.001613,-0.027111",300,40,27,False,-0.011785874823839304,-0.013375782583803453
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0007661654312548505,-0.0050387237937265,0.0008,-0.0058387237937265,0.8,1.7359966088964613,0.4608303932739501,1.0119476243158756,1.0054986496628406,"601298,688009,600023,601868,600938","0.092863,0.092432,0.092066,0.091687,0.162571","0.201511,0.200578,0.199783,0.198960,0.199168","0.569489,0.566851,0.564604,0.562278,0.562866","-0.003472,0.011342,-0.001942,-0.012605,-0.027251",300,40,27,False,-0.016765212849661038,-0.019136408877498234
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,0.0004286216377984431,-0.00173320377192894,0.0008,-0.00253320377192894,0.8,1.8158602139517894,0.4405625465293882,1.0101937128764167,1.0029515166908454,"002236,600795,600372,600585,601868","0.088998,0.088134,0.088523,0.087508,0.138692","0.202011,0.200049,0.200932,0.198627,0.198381","0.573123,0.567558,0.570062,0.563524,0.562826","-0.024569,0.031469,0.011924,-0.025143,-0.008475",300,40,35,False,-0.018469359091441873,-0.02162113622627737
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.00019508181011951287,0.004403114547447804,0.0008,0.003603114547447804,0.8,1.4682605260384798,0.5448624313005836,1.0146417115093231,1.006565265891019,"002049,002236,600522,600795,600372","0.110449,0.149526,0.108475,0.148561,0.148760","0.202711,0.200087,0.199087,0.199037,0.199078","0.582547,0.575007,0.572133,0.571989,0.572109","-0.019833,-0.031151,0.047876,0.017361,0.023387",300,40,38,False,-0.014147567247691617,-0.018095925109298916
