profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,risk_penalty,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,688271,0.20230156909488292,0.16184125527590634,0.5891323,-0.0226532313054018,0.93890625,0.6109375,0.015511193843683,0.0139702031020618,0.3939,-0.1511873464638196,-0.0436241610738257
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600426,0.20099215804532305,0.16079372643625844,0.5853191,0.0549612689044633,0.91796875,0.5078125,0.0262416841248426,0.0065155347033686,0.6199,-0.3825574214625789,-0.2158931082981715
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601127,0.20053040281655377,0.16042432225324302,0.5839744,0.0268585131894484,0.8815625,0.559375,0.0192514116171019,0.0166649780095439,0.8327,-0.3421447644930397,-0.4560487380330721
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600000,0.19908624591158447,0.1592689967292676,0.5797688,0.0,0.858125,0.48124999999999996,0.0117611224609021,0.0117126645683932,0.1828,-0.3319445967181961,-0.0307692307692307
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,300782,0.19708962413165587,0.1576716993053247,0.57395434,0.0093296971436774,0.78578125,0.5796875,0.0156742776926701,0.0076145202678772,1.0594,0.018428616748219,-0.0866209262435675
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,300782,0.2003818182995778,0.1870305767673057,0.57607484,0.0021570319240724,0.925625,0.43125,0.0126967757233757,0.0033451426743635,1.0616,0.0211325182997796,-0.3143365983971503
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600415,0.20288451251096312,0.13946253679472523,0.5832698,0.0220541902961563,0.9196875,0.8031249999999999,0.0209794013737488,0.0120230307071043,0.552,-0.1567111735769499,0.1764705882352937
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,300498,0.19868288471620602,0.13657434358730933,0.5711906,-0.0348706411698536,0.865,0.4125,0.0115569229151524,0.0098325427468512,0.4017,-0.3117332602289082,-0.2200956937799043
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,300316,0.19954588943704052,0.1371675718536951,0.57367164,-0.0022592487997739,0.843125,0.9437500000000001,0.028953787090084,0.0300242462433742,1.7747,0.091377582082393,0.0041551246537396
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601127,0.19850489503621252,0.18660085597275067,0.5706789,-0.0075471698113206,0.80484375,0.7015625,0.019534082463743,0.0137661706450573,0.9787,-0.2033892786794511,-0.1369047619047617
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,000333,0.20305000423524264,0.10390052041235545,0.5631618,0.0261904761904761,0.9777777777777777,0.22222222222222224,0.0104987528648032,0.006425913354691,0.2614,-0.3729460023508526,-0.4535840188014101
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,000630,0.2008086950034596,0.10275364431912731,0.5569455,0.0584905660377358,0.8905555555555555,0.7240740740740741,0.0227427783827057,0.0080202315795494,1.4903,-0.1597553068530995,-0.1207455429497569
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,300782,0.19987132780097755,0.19360117852576866,0.5543457,0.0020257560410939,0.8735185185185185,0.5240740740740741,0.0127160147406867,0.0051301026059323,0.9684,-0.0575916230366491,0.0303030303030307
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,300979,0.19863184193553066,0.10163975039200868,0.55090797,0.0232101994115724,0.8053703703703703,0.8351851851851851,0.0180165307212686,0.014875133568483,0.1969,0.2527836101037093,-0.1193386053199137
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,000651,0.1976381310247895,0.10113126933506751,0.5481519,0.0128649183572488,0.798148148148148,0.16666666666666666,0.0067531827199083,0.0036819990353505,0.3706,-0.3848554260863792,-0.2959183673469389
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,300124,0.20111229318505514,0.09132800748431295,0.5606784,0.0231262190025076,0.9548,0.45199999999999996,0.011599207965216,0.0083282333769119,1.219,0.2756516916250693,0.2209302325581394
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,000333,0.2010137239193812,0.14800103379347546,0.5604036,0.0362047440699126,0.9388,0.212,0.009824765099858,0.0058193347396266,0.4376,0.034588741518311,-0.2172330097087379
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,000963,0.1998522565794142,0.09075580659729608,0.55716556,-0.0011728829462818,0.8496,0.7040000000000001,0.0182151407806981,0.0113594781654115,0.4444,0.2235009085402788,0.4299802761341222
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,300347,0.19866438214578305,0.090216375598589,0.5538539,-0.0181782256471053,0.7959999999999999,0.44000000000000006,0.0191711189774091,0.0041742182667302,1.8503,-0.0092579206356856,0.0412757973733584
