label,feature_set,feature_count,added_columns,rank_ic_mean,top5_mean_return_mean,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,score_self_case_slice,notes,delta_case_slice_score,delta_cumulative_return_after_cost,delta_sharpe_after_cost,delta_max_drawdown_after_cost,retain_candidate,retain_reason
current_mini4_default,base_alpha_v3_rs_crowding_mini4,20,,0.01168002338745768,0.010118703963325768,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.7612811507926904,-0.015835041565090434,当前正式默认 mini4 基线。,0.0,0.0,0.0,0.0,0,baseline
rs_accel,base_alpha_v3_rs_crowding_mini4__rel_strength_accel_5d,21,rel_strength_accel_5d,0.045905250272495535,0.01568962109373756,0.8635390921987021,3.725782009975264,-0.0369252226236347,0.7514150725831464,-0.0010935793435231417,mini4 + rel_strength_accel_5d,0.014741462221567293,-0.07203252723376197,0.09625672516576644,0.005968405463691102,0,local_cumulative_not_worse
trend_persist,base_alpha_v3_rs_crowding_mini4__trend_persistence_score_10d,21,trend_persistence_score_10d,0.04902945427016472,0.016516833793000344,0.8548363421553975,3.479930471561606,-0.0667244327122968,0.7882907613826846,0.0013820762877375901,mini4 + trend_persistence_score_10d,0.017217117852828024,-0.08073527727706653,-0.14959481324789126,-0.023830804624971003,0,local_cumulative_not_worse / drawdown_not_materially_worse
vol_compress_breakout,base_alpha_v3_rs_crowding_mini4__volatility_compression_breakout_20d,21,volatility_compression_breakout_20d,0.04417982879488482,0.01736933719377375,0.8233207735988011,3.731989585893797,-0.068804343564934,0.7929778522187739,-0.01803684804540761,mini4 + volatility_compression_breakout_20d,-0.0022018064803171755,-0.11225084583366296,0.1024643010842996,-0.025910715477608204,0,case_slice_score_up / local_cumulative_not_worse / drawdown_not_materially_worse
crowding_reversal,base_alpha_v3_rs_crowding_mini4__crowding_reversal_risk_5d,21,crowding_reversal_risk_5d,0.05031118930258682,0.01696148185002343,0.7520002947769759,3.683397312813761,-0.0599790044977124,0.7404640633512938,-0.0026460161964095294,mini4 + crowding_reversal_risk_5d,0.013189025368680905,-0.1835713246554881,0.053872028004263495,-0.0170853764103866,0,local_cumulative_not_worse / drawdown_not_materially_worse
rs_accel__trend_persist,base_alpha_v3_rs_crowding_mini4__rel_strength_accel_5d__trend_persistence_score_10d,22,rel_strength_accel_5d|trend_persistence_score_10d,0.030424656466076835,0.005721305056088751,0.3352723328301152,2.569287648224558,-0.074077904221524,0.7901696732595459,0.009024063415940958,mini4 + rel_strength_accel_5d + trend_persistence_score_10d,0.02485910498103139,-0.6002992866023489,-1.0602376365849393,-0.03118427613419819,0,local_cumulative_not_worse / local_sharpe_not_worse / drawdown_not_materially_worse
rs_accel__vol_compress_breakout,base_alpha_v3_rs_crowding_mini4__rel_strength_accel_5d__volatility_compression_breakout_20d,22,rel_strength_accel_5d|volatility_compression_breakout_20d,0.003725245847434781,0.007053410498932618,0.2062108488873504,1.4067501689670936,-0.0916576078297176,0.7995443264435027,0.018587029013440226,mini4 + rel_strength_accel_5d + volatility_compression_breakout_20d,0.03442207057853066,-0.7293607705451136,-2.2227751158424036,-0.0487639797423918,0,local_cumulative_not_worse / local_sharpe_not_worse / drawdown_not_materially_worse
rs_accel__crowding_reversal,base_alpha_v3_rs_crowding_mini4__rel_strength_accel_5d__crowding_reversal_risk_5d,22,rel_strength_accel_5d|crowding_reversal_risk_5d,0.018029708469054627,0.009544871642229245,0.5187253882621594,3.120807661946926,-0.0405819303362545,0.7742391087795151,0.0013742721225633338,mini4 + rel_strength_accel_5d + crowding_reversal_risk_5d,0.017209313687653768,-0.4168462311703046,-0.5087176228625716,0.002311697751071304,0,local_cumulative_not_worse / local_sharpe_not_worse
trend_persist__vol_compress_breakout,base_alpha_v3_rs_crowding_mini4__trend_persistence_score_10d__volatility_compression_breakout_20d,22,trend_persistence_score_10d|volatility_compression_breakout_20d,0.025053043148634626,0.006532660079381961,0.3567776579463271,2.4438751893156527,-0.0816114021371139,0.7951475083383592,0.008486114365260668,mini4 + trend_persistence_score_10d + volatility_compression_breakout_20d,0.024321155930351102,-0.5787939614861369,-1.1856500954938447,-0.0387177740497881,0,local_cumulative_not_worse / local_sharpe_not_worse / drawdown_not_materially_worse
trend_persist__crowding_reversal,base_alpha_v3_rs_crowding_mini4__trend_persistence_score_10d__crowding_reversal_risk_5d,22,trend_persistence_score_10d|crowding_reversal_risk_5d,0.020995532866867905,0.007211994663809379,0.531471564650039,3.3052822347295154,-0.0357638008801038,0.7756526983080695,-0.0007596022923507761,mini4 + trend_persistence_score_10d + crowding_reversal_risk_5d,0.015075439272739658,-0.40410005478242506,-0.324243050079982,0.007129827207222002,0,local_cumulative_not_worse / local_sharpe_not_worse
vol_compress_breakout__crowding_reversal,base_alpha_v3_rs_crowding_mini4__volatility_compression_breakout_20d__crowding_reversal_risk_5d,22,volatility_compression_breakout_20d|crowding_reversal_risk_5d,0.018191339804286163,0.011523783863341576,0.5107267197547993,3.0062101012277385,-0.0552521834004566,0.786659296724613,0.008362643903974752,mini4 + volatility_compression_breakout_20d + crowding_reversal_risk_5d,0.024197685469065186,-0.4248448996776647,-0.623315183581759,-0.0123585553131308,0,local_cumulative_not_worse / local_sharpe_not_worse / drawdown_not_materially_worse
alpha_v4_micro_full,base_alpha_v3_rs_crowding_mini4_alpha_v4_micro,24,rel_strength_accel_5d|trend_persistence_score_10d|volatility_compression_breakout_20d|crowding_reversal_risk_5d,0.044142030167099,0.01376977585709314,0.6014342589037605,3.94866713138338,-0.0542702249349218,0.7776703685446241,0.006276093454130679,mini4 + alpha_v4_micro 全组合,0.022111135019221115,-0.3341373605287036,0.31914184657388267,-0.011376596847595996,0,local_cumulative_not_worse / drawdown_not_materially_worse
