profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999984,0.006456757506228769,0.0008000000000000001,0.005656757506228768,0.8000000000000002,1.0,0.8,1.0064567575062289,1.0056567575062287,"601111,300832,603019,688082,688169","0.162311,0.160629,0.159130,0.158987,0.158944","0.202888,0.200786,0.198912,0.198734,0.198680","0.564944,0.559089,0.553872,0.553376,0.553224","0.027160,0.005277,0.004031,0.009966,-0.006452",300,40,23,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.06175961727306645,0.02552442587589504,0.0008000000000000001,0.024724425875895042,0.8000000000000002,1.1574042030543876,0.6912019136346675,1.0321459884104904,1.0305210434637844,"601111,688082,600029,601059,688126","0.190844,0.188206,0.138105,0.137588,0.135676","0.203592,0.201259,0.199804,0.199055,0.196290","0.569180,0.562659,0.558590,0.556498,0.548766","0.040943,0.013635,0.062038,0.000000,0.048473",300,40,27,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.00728611443034477,0.03446854946303617,0.0008,0.03366854946303617,0.8,0.907004162392591,0.8820246181557491,1.0677225634650918,1.0652171921883444,"601059,688012,601111,688169,600029","0.196323,0.177019,0.197820,0.180852,0.190841","0.204179,0.200696,0.198754,0.198476,0.197895","0.563670,0.554054,0.548692,0.547927,0.546321","0.000000,0.018676,0.041199,0.064899,0.059084",300,40,25,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0006947852326557591,0.012813058363316749,0.0008,0.012013058363316748,0.8,0.8843271773346699,0.9046425582115106,1.0814033549866002,1.0780137084877113,"688012,601059,601995,603392,688169","0.204307,0.202008,0.177759,0.178457,0.194959","0.207184,0.202607,0.196496,0.197268,0.196446","0.578256,0.565483,0.548426,0.550580,0.548286","0.042137,0.000000,0.000000,-0.046170,0.063826",300,40,25,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,2.604547665818746e-05,0.022009583485319867,0.0008,0.021209583485319868,0.8,0.8311576829995855,0.9625129098402367,1.1052045924094827,1.1008779302362006,"688012,601059,601995,300408,002074","0.209760,0.202319,0.196829,0.188969,0.186531","0.209973,0.202331,0.197572,0.196329,0.193796","0.589894,0.568424,0.555054,0.551563,0.544447","0.045554,0.000000,0.000000,0.058503,0.007499",300,40,26,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0,0.011881812035519926,0.0007893260601232701,0.011092485975396655,0.7893260601232701,0.7893260601232701,1.0,1.1183364256372856,1.1130894032379695,"688012,601059,601995,300413,002459","0.207634,0.200861,0.198407,0.197461,0.195637","0.207634,0.200861,0.198407,0.197461,0.195637","0.588582,0.569385,0.562428,0.559746,0.554575","0.062720,0.000000,0.000000,-0.005778,0.000000",300,40,23,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0,0.016143583236209333,0.0007999999999999999,0.015343583236209333,0.7999999999999999,0.8104919113112014,0.987054884614175,1.136390382810646,1.1301681831458938,"601059,601995,300347,300413,300408","0.206497,0.205868,0.194223,0.195511,0.192680","0.206571,0.205966,0.196770,0.195485,0.195207","0.571713,0.570037,0.544588,0.541032,0.540261","0.000000,0.000000,0.022300,0.012976,0.048140",300,40,23,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0,-0.01062184984986251,0.0008,-0.01142184984986251,0.8,1.1865365789819795,0.6742312155992538,1.1243198147936038,1.1172595718529095,"601995,601059,000596,600570,600809","0.204245,0.204322,0.135431,0.132649,0.131920","0.203461,0.203271,0.200867,0.196741,0.195660","0.570818,0.570286,0.563542,0.551965,0.548933","0.000000,0.000000,-0.047955,-0.017615,-0.013574",300,40,26,False,-0.010621849849862364,-0.011421849849862609
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,0.0,-0.009502076426110267,0.0007999999999999999,-0.010302076426110267,0.7999999999999999,1.181215919982037,0.6772682169845509,1.113636441986045,1.1057494783558777,"601995,601059,002916,002459,601816","0.205096,0.204612,0.136692,0.132917,0.130076","0.205501,0.204750,0.201828,0.195861,0.192059","0.572018,0.569929,0.561796,0.545184,0.534602","0.000000,0.000000,-0.031880,-0.023705,-0.015326",300,40,32,False,-0.020022996646912428,-0.021606257505891846
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.0,0.00757856580076751,0.0008000000000000001,0.00677856580076751,0.8000000000000002,1.1805841614628656,0.67763063923263,1.1220762090397687,1.1132448739540775,"601995,601059,600795,000568,600803","0.206742,0.205940,0.132010,0.133222,0.131793","0.207526,0.206572,0.194812,0.196600,0.194490","0.573093,0.570460,0.537983,0.542921,0.537095","0.000000,0.000000,0.017361,0.003371,0.036706",300,40,34,False,-0.012596176443762208,-0.014974151143336334
