profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,risk_penalty,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601111,0.20288832233058185,0.1623106578644655,0.56494355,0.0271604938271603,0.9293478260869565,0.7065217391304347,0.026832142505145,0.0118706545484147,0.7588,0.4139833035181872,-0.0059347181008901
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,300832,0.20078588402324335,0.16062870721859468,0.5590893,0.005277494041539,0.921304347826087,0.3521739130434783,0.0158589434276184,0.0087177113604896,0.5151,0.137060992031081,-0.2233009708737864
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,603019,0.19891212190708182,0.15912969752566547,0.5538718,0.0040314452731303,0.8193478260869564,0.9369565217391305,0.0273947050039063,0.0246493628762434,3.474,0.5266504655976305,0.4867724867724869
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,688082,0.19873405076042583,0.15898724060834069,0.55337596,0.0099663556148035,0.8047826086956522,0.6478260869565217,0.0221152101285045,0.0169717005517994,0.5774,-0.0227141938323008,0.0463697376449057
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,688169,0.19867962097866723,0.1589436967829338,0.5532244,-0.0064516129032257,0.758695652173913,0.6739130434782609,0.0305249029757379,0.0134955276767226,1.039,0.0400816849523502,-0.2111194590533432
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601111,0.20359182306877396,0.19084427825075237,0.5691802,0.0409429280397022,0.932037037037037,0.6796296296296297,0.026831419582463,0.0133747167588397,0.5729,0.0497095846235593,-0.2929613189600507
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,688082,0.20125919913741022,0.18820569923671884,0.5626589,0.0136354782157002,0.8925925925925925,0.7037037037037037,0.0217968705467369,0.0171024057563602,0.5467,-0.0732013290838816,0.2196639701306784
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600029,0.19980385327239258,0.1381048057334581,0.5585902,0.0620384047267356,0.8812962962962962,0.44629629629629625,0.0175662337324112,0.0132948626010749,0.3817,-0.1329729238597127,-0.1671884783969943
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601059,0.1990554627562571,0.1375875167765592,0.55649793,0.0,0.8460185185185185,0.42870370370370375,0.0116053623989348,0.0,2.6044,0.057774709095709,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,688126,0.19628966176516607,0.13567578983878442,0.5487656,0.0484730974309258,0.78,0.7185185185185186,0.0238213709550216,0.0135102685837033,0.9994,0.0542305298579099,-0.0302013422818788
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,601059,0.20417924793007947,0.1963230630195732,0.56367004,0.0,0.9583,0.41700000000000004,0.010804438405129,0.0,2.6044,0.0345512469115203,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,688012,0.20069590318988367,0.17701872737648033,0.5540537,0.0186757215619694,0.8717999999999999,0.8820000000000001,0.028777639245925,0.0126898117843831,1.8046,0.0219151707344698,0.0398344542162441
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,601111,0.19875359059163306,0.19782048644809222,0.54869163,0.0411985018726592,0.8516,0.684,0.0195792261360494,0.0132127577384835,0.4778,-0.1457942254402431,-0.3737373737373737
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,688169,0.19847649408444762,0.18085156372143912,0.54792666,0.0648985332529635,0.8152,0.648,0.0156660165188863,0.0096759629263714,1.3871,0.3523315557028788,-0.2635350318471335
