profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999984,0.00392225889134736,0.0008000000000000001,0.00312225889134736,0.8000000000000002,1.0,0.8,1.0039222588913475,1.0031222588913473,"600036,601186,300316,601229,600905","0.161281,0.159798,0.159704,0.159678,0.159539","0.201601,0.199748,0.199630,0.199597,0.199424","0.545482,0.540468,0.540150,0.540060,0.539592","0.002084,0.007762,-0.006916,0.019211,0.002398",300,40,19,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.11111111111111105,-0.006522113979398499,0.0008,-0.0073221139793985,0.8,1.8000000000000003,0.4444444444444444,0.9973745634924028,0.9957772833764732,"300347,000538,601059,601995,600941","0.091595,0.088355,0.088559,0.088211,0.087724","0.206088,0.198800,0.199258,0.198475,0.197379","0.569685,0.549538,0.550804,0.548639,0.545611","-0.053474,-0.005884,0.000000,0.000000,-0.012588",300,40,27,False,-0.006522113979398503,-0.007322113979398526
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.03548984723459392,-0.006371832822850681,0.0008000000000000001,-0.007171832822850681,0.8000000000000002,1.175448337309419,0.6805913748886543,0.9910194595120656,0.9886357351713047,"000538,300347,000651,601059,601995","0.163147,0.171917,0.134856,0.162565,0.162046","0.198247,0.209614,0.198145,0.197296,0.196698","0.550641,0.582213,0.550359,0.548001,0.546340","-0.005887,-0.041569,0.012865,0.000000,0.000000",300,40,24,False,-0.012852388982320884,-0.014441433824879168
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.006263651992756802,-0.015298415612608862,0.0008,-0.01609841561260886,0.8,0.9714530937996464,0.8235086234281868,0.9758584319402671,0.9727202662170399,"600515,601059,601995,300347,601012","0.166421,0.194003,0.192937,0.194194,0.163587","0.202087,0.200741,0.199558,0.198968,0.198646","0.568988,0.565196,0.561865,0.560205,0.559298","-0.035928,0.000000,0.000000,-0.018178,-0.035389",300,40,26,False,-0.027954183406663224,-0.03030736523373312
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0006144514388956024,-0.00030600222531644886,0.0008,-0.001106002225316449,0.8,0.8870142857258907,0.9019020469837391,0.9755598170884996,0.9716444354379935,"601059,601995,002074,600515,002493","0.204201,0.202216,0.179907,0.194469,0.175393","0.205310,0.203225,0.199475,0.197520,0.194470","0.575673,0.569826,0.559312,0.553828,0.545276","0.000000,0.000000,0.007499,-0.002016,-0.007202",300,40,24,False,-0.028251631589650272,-0.03137984744565747
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,2.220446049250313e-16,0.012535090387033515,0.0004759518737697819,0.012059138513263732,0.4759518737697819,0.4759518737697819,1.0,0.9877885475736619,0.9833616302705822,"601059,601995,002493,002074,688012","0.206983,0.205198,0.198275,0.196573,0.192971","0.206983,0.205198,0.198275,0.196573,0.192971","0.582899,0.577874,0.558377,0.553583,0.543439","0.000000,0.000000,-0.028689,0.031135,0.062720",300,40,24,False,-0.016070677958174184,-0.019699122859266005
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,1.1102230246251565e-16,-0.0011133717424948388,0.00038653511663976097,-0.0014999068591345997,0.386535116639761,0.386535116639761,1.0,0.9866887717172333,0.9818866794163296,"601059,601995,002493,002074,600900","0.206686,0.205367,0.198994,0.197049,0.191904","0.206686,0.205367,0.198994,0.197049,0.191904","0.584879,0.581147,0.563111,0.557608,0.543049","0.000000,0.000000,-0.016649,0.022199,-0.011331",300,40,25,False,-0.017166157061947573,-0.021169482868905076
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0,-0.004718903120705268,0.0007821943740015795,-0.0055010974947068475,0.7821943740015795,0.7821943740015795,1.0,0.9820326829932121,0.9764852250641064,"601059,601995,002493,603392,600515","0.208068,0.207036,0.196849,0.194741,0.193306","0.208068,0.207036,0.196849,0.194741,0.193306","0.587731,0.584814,0.556041,0.550085,0.546033","0.000000,0.000000,-0.049898,0.007710,0.018634",300,40,27,False,-0.021804054750522717,-0.026554124974437543
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,0.0,0.0006481855923699968,0.0008,-0.00015181440763000322,0.8,1.1697923225984352,0.6838820742326097,0.9826692224295647,0.9763369805381038,"601059,601995,000651,601607,000538","0.210071,0.209156,0.132113,0.131902,0.131861","0.210997,0.210136,0.193181,0.192873,0.192813","0.586409,0.584018,0.536896,0.536039,0.535872","0.000000,0.000000,0.004666,0.005587,-0.005348",300,40,29,False,-0.021170002232297258,-0.026701908083314407
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.0,0.0036770927047790176,0.0008,0.0028770927047790176,0.8,1.1629697719457746,0.6878940616500404,0.9862825882585714,0.9791459925422159,"601059,601995,601816,000002,600023","0.209668,0.209069,0.132583,0.135271,0.132146","0.209486,0.209030,0.192738,0.196646,0.192102","0.587153,0.585875,0.540212,0.551165,0.538429","0.000000,0.000000,-0.009690,0.025210,0.011742",300,40,33,False,-0.017570753588286747,-0.02390163924348565
