profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,-0.006554944634017708,0.0008,-0.0073549446340177085,0.8,1.0,0.8,0.9934450553659823,0.9926450553659822,"601186,300347,601668,300316,600036","0.160539,0.160272,0.160220,0.159722,0.159246","0.200674,0.200340,0.200276,0.199653,0.199058","0.543325,0.542422,0.542247,0.540561,0.538950","0.007762,-0.043853,0.000000,-0.006916,0.002084",300,40,21,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.09185212510334817,-0.011988317067612468,0.0008,-0.012788317067612468,0.8,1.4794557928475158,0.5407393744832593,0.981535321053003,0.9799507956623643,"000538,300347,600941,601059,600918","0.107285,0.187215,0.106918,0.106567,0.106360","0.198405,0.210099,0.197725,0.197077,0.196694","0.546166,0.578358,0.544296,0.542512,0.541458","-0.005884,-0.053474,-0.012588,0.000000,0.000000",300,40,25,False,-0.011988317067612497,-0.01278831706761252
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.036148155692821815,-0.007696663758015363,0.0008,-0.008496663758015362,0.8,1.3191465681939853,0.6064527015335851,0.9739807737202424,0.9716244832522216,"300347,000538,000651,002252,601607","0.201805,0.162264,0.119757,0.119530,0.118997","0.211272,0.197941,0.197471,0.197098,0.196218","0.585343,0.548410,0.547107,0.546072,0.543637","-0.041569,-0.005887,0.012865,-0.003021,0.003930",300,40,23,False,-0.019592710780134026,-0.021176322795473435
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.01762957211298355,-0.010883945490178763,0.0008,-0.011683945490178763,0.8,1.5615948395611567,0.5122967748950925,0.9633800200705891,0.9602720757529795,"600515,300347,601012,002493,002074","0.103730,0.201458,0.102139,0.102069,0.101322","0.202480,0.201129,0.199374,0.199238,0.197779","0.567059,0.563273,0.558361,0.557979,0.553893","-0.035928,-0.018178,-0.035389,0.012371,-0.011282",300,40,23,False,-0.030263410274177005,-0.03261284528442754
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.007003119062624186,0.005243432084525557,0.0008,0.0044434320845255565,0.8,1.3272215689985025,0.6027629588657647,0.9684314377774181,0.9645389795042542,"002074,688012,600515,002493,601059","0.163076,0.120770,0.161822,0.160357,0.126863","0.203773,0.200360,0.200106,0.198770,0.196990","0.559516,0.550145,0.549447,0.545778,0.540889","0.007499,0.045554,-0.002016,-0.007202,0.000000",300,40,24,False,-0.025178662326070134,-0.028314326163006553
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0015289666916448175,0.01577477785931973,0.0008,0.01497477785931973,0.8,1.0234452515060335,0.7816734689254492,0.9837082285803386,0.9789827364589853,"002074,002493,688012,002459,601012","0.193403,0.192650,0.182242,0.155412,0.163805","0.201874,0.201670,0.199412,0.198819,0.198224","0.555825,0.555263,0.549044,0.547414,0.545776","0.031135,-0.028689,0.062720,0.000000,0.023503",300,40,24,False,-0.009801072271738986,-0.013763549048214196
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0004843835901684468,-0.0021399034659979306,0.0008000000000000001,-0.002939903465997931,0.8000000000000002,1.170967969505872,0.6831954595116604,0.9816031879324688,0.9761046217189173,"002493,601111,002074,002415,601059","0.200141,0.138320,0.199454,0.133824,0.142535","0.203615,0.202461,0.202259,0.195879,0.195786","0.563129,0.559937,0.559379,0.541734,0.541477","-0.016649,-0.013189,0.022199,-0.010544,0.000000",300,40,24,False,-0.011920002389212092,-0.016662989008660922
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0001026550261856718,-0.009953575572067365,0.0008,-0.010753575572067365,0.8,1.0151372171148811,0.7880708011806306,0.9718327264196007,0.9656080069030187,"002493,603392,601111,601059,600515","0.201930,0.158086,0.186849,0.186635,0.158880","0.202411,0.200599,0.199899,0.198494,0.198596","0.555864,0.550886,0.548964,0.545105,0.545387","-0.049898,0.007710,-0.021713,0.000000,0.018634",300,40,30,False,-0.02175493131667927,-0.027237377869167023
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,5.213913389923164e-05,0.0009278219895719754,0.0008,0.00012782198957197533,0.8,1.6257066287752384,0.4920937061090152,0.9727344141933586,0.9657314328396077,"601059,601995,000002,000538,601298","0.193686,0.098476,0.098706,0.098529,0.097723","0.200963,0.200116,0.200584,0.199749,0.198587","0.543184,0.540895,0.542158,0.539902,0.536760","0.000000,0.000000,0.002045,-0.005348,0.012821",300,40,31,False,-0.020847294030764463,-0.027113037415425034
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,1.1356263016515378e-05,0.0066143535524257144,0.0007999999999999999,0.005814353552425714,0.7999999999999999,1.022765347717942,0.7821931020492727,0.9791684235214452,0.9713465368268279,"601059,000002,601995,601816,601298","0.197643,0.183656,0.176563,0.154999,0.175751","0.198745,0.207310,0.198306,0.198160,0.197478","0.542643,0.566028,0.541444,0.541044,0.539184","0.000000,0.025210,0.000000,-0.009690,0.019837",300,40,35,False,-0.014370831851669541,-0.021456328648412737
