profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.016250502861532828,0.0008,0.015450502861532827,0.8,1.0,0.8,1.0162505028615327,1.0154505028615328,"300316,002493,600183,600426,601186","0.163360,0.160898,0.159445,0.158690,0.157606","0.204200,0.201123,0.199307,0.198362,0.197008","0.558260,0.549847,0.544882,0.542300,0.538597","-0.006916,0.022082,0.024348,0.054961,0.007762",300,40,18,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.06139851820004383,-0.0021354010495133217,0.0008000000000000001,-0.002935401049513322,0.8000000000000002,1.1543888126025108,0.6930074089997813,1.0140804004711537,1.0124697483897043,"300316,001979,600905,600941,600183","0.191489,0.140889,0.137053,0.136784,0.185893","0.203949,0.203300,0.197765,0.197377,0.197608","0.552146,0.550388,0.535403,0.534352,0.534979","-0.002259,-0.008439,0.004796,-0.012588,0.002962",300,40,16,False,-0.0021354010495134856,-0.0029354010495132865
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.03606127636814904,-0.002721297454781876,0.0008,-0.003521297454781876,0.8,1.9386014817999562,0.4126686209159474,1.0113207860584073,1.008904541241656,"688012,300347,000651,601059,300408","0.087623,0.082553,0.081133,0.080959,0.080401","0.212333,0.200046,0.196606,0.196184,0.194831","0.570062,0.537073,0.527837,0.526706,0.523074","0.018676,-0.041569,0.012865,0.000000,-0.024501",300,40,19,False,-0.004850887442854446,-0.006446362084050805
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.01832739534236283,0.0015664853093479106,0.0008,0.0007664853093479106,0.8,1.6267742550302988,0.491770752780385,1.012905005212806,1.009677851751052,"688012,600515,601111,601059,601995","0.145953,0.098290,0.097975,0.138706,0.096525","0.206235,0.199869,0.199230,0.198386,0.196280","0.560703,0.543393,0.541656,0.539362,0.533637","0.042137,-0.035928,-0.010740,0.000000,0.000000",300,40,18,False,-0.003292000977422993,-0.005684817816539067
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.003998786328409776,0.0201426546915648,0.0007999999999999999,0.019342654691564803,0.7999999999999999,1.0232616620086883,0.7818137136395592,1.0333076009681652,1.0292077017871935,"688012,601059,300408,601995,300316","0.192735,0.187120,0.164134,0.176063,0.166318","0.205791,0.200631,0.198536,0.198261,0.196782","0.561533,0.547452,0.541737,0.540986,0.536951","0.045554,0.000000,0.058503,0.000000,0.010585",300,40,23,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0003806523993806765,0.028542676804430074,0.0008,0.027742676804430075,0.8,0.8841654636002615,0.9048080172035385,1.0628009658621607,1.0577606784225058,"688012,601059,601995,300274,002074","0.203806,0.200031,0.197280,0.179264,0.177346","0.204971,0.201389,0.199512,0.198123,0.196004","0.561493,0.551682,0.546540,0.542735,0.536930","0.062720,0.000000,0.000000,0.057114,0.031135",300,40,22,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.00012608481504472469,0.006739741046617746,0.0008000000000000001,0.005939741046617745,0.8000000000000002,1.1962321137581693,0.6687665301733643,1.0699639691561669,1.0640435029416302,"601059,601995,002493,600515,601111","0.202648,0.200915,0.135174,0.131939,0.131144","0.203945,0.202716,0.201973,0.196276,0.195091","0.553419,0.550083,0.548069,0.532608,0.529393","0.000000,0.000000,-0.016649,0.081250,-0.013189",300,40,21,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,4.151710048394541e-05,-0.002310748841421117,0.0008000000000000001,-0.003110748841421117,0.8000000000000002,1.192746576631901,0.6707208519173069,1.067491551154077,1.0607335308476329,"601059,601995,002916,000596,601066","0.203791,0.202679,0.134847,0.131998,0.130291","0.204351,0.203545,0.201048,0.196800,0.194255","0.557454,0.555255,0.548443,0.536855,0.529913","0.000000,0.000000,0.015684,-0.047955,0.014615",300,40,27,False,-0.0023107488414210176,-0.0031107488414210405
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,5.309979685397259e-06,-0.012470795804816148,0.0008,-0.013270795804816148,0.8,0.9173245387832332,0.872101384163498,1.054179081996268,1.0466567527564323,"601059,601995,601816,002916,000333","0.205237,0.204641,0.171038,0.190773,0.169646","0.205449,0.204928,0.196122,0.198975,0.194526","0.560445,0.559024,0.535000,0.542784,0.530647","0.000000,0.000000,-0.015326,-0.031880,-0.022209",300,40,28,False,-0.014752727769279717,-0.01634026253356269
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,1.618949328374697e-06,0.0015821307369736702,0.0007999999999999999,0.0007821307369736703,0.7999999999999999,1.1508937443962068,0.6951119544226073,1.055846931124169,1.0474753751738242,"601059,601995,600795,000596,601298","0.204345,0.203997,0.138409,0.142628,0.135847","0.203953,0.203715,0.199117,0.197783,0.195432","0.557618,0.556965,0.544394,0.540746,0.534321","0.000000,0.000000,0.017361,-0.024648,0.019837",300,40,32,False,-0.013193937776364018,-0.015570912018166738
