profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.017938463995902192,0.0008,0.017138463995902194,0.8,0.9999999999999999,0.8000000000000002,1.0179384639959022,1.0171384639959022,"300316,600309,600426,601668,601186","0.178015,0.156447,0.156346,0.154639,0.154553","0.222519,0.195559,0.195432,0.193299,0.193191","0.613520,0.539186,0.538839,0.532955,0.532659","-0.006916,0.059937,0.054961,0.000000,0.007762",300,40,15,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.005345691286584131,-0.0013701874863792638,0.0008,-0.0021701874863792638,0.8,0.8219699890412578,0.973271543567079,1.0165436974506308,1.0149310828294233,"300316,601012,001979,600309,601186","0.218221,0.196658,0.189396,0.191264,0.190804","0.219325,0.202059,0.194597,0.192220,0.191799","0.607840,0.559989,0.539309,0.532720,0.531555","-0.002259,-0.033532,-0.008439,0.033085,0.005175",300,40,16,False,-0.0013701874863792929,-0.0021701874863792048
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.0026990844399626956,0.004988464711997775,0.0008000000000000001,0.004188464711997774,0.8000000000000002,1.615862603365748,0.4950915989599899,1.021614689813567,1.019182085854964,"688012,300347,002074,688036,001979","0.107383,0.097834,0.097047,0.097042,0.191414","0.216896,0.197607,0.196018,0.196007,0.193472","0.583652,0.531747,0.527470,0.527442,0.520620","0.018676,-0.041569,-0.026443,0.064787,0.017391",300,40,14,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0011155590020009987,-0.005542271981170742,0.0008,-0.006342271981170743,0.8,1.3635824851349085,0.5866898473111809,1.0159526233426608,1.0127181558681349,"688012,300316,600515,601012,601111","0.165122,0.163016,0.117325,0.156690,0.115498","0.205798,0.200237,0.199978,0.197124,0.196863","0.572934,0.557452,0.556733,0.548787,0.548060","0.042137,-0.009197,-0.035928,-0.035389,-0.010740",300,40,18,False,-0.005542271981170743,-0.006342271981170877
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.00017515827991099187,0.019544087692228033,0.0008,0.018744087692228035,0.8,0.9490073546702974,0.8429860907431374,1.0358084905044187,1.0317006337892387,"688012,300316,002074,601012,300408","0.201724,0.195455,0.173823,0.192013,0.162393","0.208541,0.201497,0.198729,0.198592,0.192641","0.578148,0.558619,0.550944,0.550567,0.534066","0.045554,0.010585,0.007499,-0.013115,0.058503",300,40,19,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0,0.02953398575608151,0.000475648083836525,0.029058337672244982,0.475648083836525,0.475648083836525,1.0,1.0664000437090044,1.0616801391825557,"688012,002074,002459,601012,300316","0.204594,0.202034,0.199492,0.199352,0.194528","0.204594,0.202034,0.199492,0.199352,0.194528","0.564633,0.557567,0.550553,0.550166,0.536853","0.062720,0.031135,0.000000,0.023503,0.029437",300,40,20,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0,0.00612028705233636,0.0007999999999999999,0.005320287052336361,0.7999999999999999,1.6018516247238352,0.49942203613141933,1.0729267180891278,1.0673285822807712,"002493,600515,601111,002074,601838","0.101791,0.100037,0.099928,0.200556,0.098243","0.203819,0.200306,0.200087,0.199074,0.196714","0.549641,0.540169,0.539579,0.536847,0.530482","-0.016649,0.081250,-0.013189,0.022199,-0.035088",300,40,19,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,1.1102230246251565e-16,-0.001052357615868876,0.0008,-0.001852357615868876,0.8,1.7999253205161192,0.44446288458823624,1.0717976154860775,1.065351508052749,"000596,601816,002916,600515,601066","0.091086,0.088953,0.088829,0.143603,0.087567","0.204934,0.200135,0.199858,0.198055,0.197018","0.549468,0.536601,0.535857,0.531024,0.528242","-0.047955,-0.022857,0.015684,0.018634,0.014615",300,40,29,False,-0.0010523576158687487,-0.0018523576158688826
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,1.1102230246251565e-16,-0.01620764768256623,0.0008,-0.01700764768256623,0.8,1.6399231774880352,0.48782772936071683,1.0544262973472647,1.047232384945697,"300059,600570,000596,601816,300033","0.097973,0.097672,0.144229,0.142642,0.097522","0.200835,0.200218,0.200025,0.199012,0.199912","0.536727,0.535077,0.534561,0.531854,0.534259","-0.025214,-0.020202,-0.039158,-0.015326,-0.040302",300,40,26,False,-0.017242949056960888,-0.01882850105272238
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.0,-0.003068113553010725,0.0008,-0.0038681135530107247,0.8,1.7115418258535142,0.4674148115551046,1.0511911977337227,1.0431815711643369,"000596,600460,600795,601298,600918","0.171416,0.094379,0.093225,0.092832,0.092377","0.202394,0.201918,0.199447,0.198607,0.197633","0.547755,0.546465,0.539779,0.537506,0.534870","-0.024648,-0.036140,0.017361,0.019837,0.011994",300,40,30,False,-0.02025815928427599,-0.02262378382562813
