profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.012698598424642807,0.0008,0.011898598424642807,0.8,1.0,0.8,1.0126985984246428,1.011898598424643,"600426,601186,601668,601111,600941","0.162392,0.160746,0.160207,0.158819,0.157836","0.202990,0.200932,0.200259,0.198524,0.197295","0.546408,0.540870,0.539058,0.534387,0.531078","0.054961,0.007762,0.000000,0.027160,-0.011328",300,40,21,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.11111111111111105,-0.003244331531953975,0.0008,-0.004044331531953975,0.8,1.8,0.4444444444444445,1.009413068429408,1.0078061450158942,"688082,300413,600905,688008,300803","0.090367,0.089355,0.088089,0.088990,0.087644","0.203325,0.201049,0.198200,0.200228,0.197198","0.554229,0.548025,0.540257,0.545785,0.537527","0.013635,-0.052776,0.004796,-0.000255,-0.001832",300,40,20,False,-0.0032443315319541366,-0.0040443315319539375
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.05923596175549539,-0.0021668194432254463,0.0008,-0.0029668194432254462,0.8,1.7135158162058601,0.46687634420054214,1.0072258525664892,1.004816166149859,"688012,300347,000651,600941,000538","0.095927,0.095291,0.092495,0.138459,0.091453","0.205465,0.204102,0.198115,0.196435,0.195882","0.546010,0.542388,0.526477,0.522014,0.520543","0.018676,-0.041569,0.012865,-0.004686,-0.005887",300,40,18,False,-0.005404121094535919,-0.006999152173755463
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.026995242267573438,0.004726847831646412,0.0008,0.003926847831646411,0.8,1.4698421796123124,0.5442761209989286,1.0119868559036713,1.0087619263331076,"688012,601111,300316,000651,600115","0.156757,0.132294,0.107040,0.149067,0.106423","0.207690,0.203678,0.196665,0.196435,0.195532","0.556307,0.545561,0.526775,0.526160,0.523740","0.042137,-0.010740,-0.009197,0.000734,0.003922",300,40,18,False,-0.0007028177209672526,-0.003099788947646176
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.012054029045029946,0.02070431070535456,0.0008,0.01990431070535456,0.8,1.4454109912222106,0.5534757967514389,1.0329393461980358,1.0288406371425736,"688012,300408,688041,300316,603019","0.184276,0.111501,0.109862,0.157173,0.108456","0.206477,0.201455,0.198494,0.197619,0.195955","0.568375,0.554552,0.546402,0.543991,0.539410","0.045554,0.058503,0.030790,0.010585,0.006826",300,40,21,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0039008660766280956,0.00571314827580113,0.0008,0.004913148275801129,0.8,1.1827585531402849,0.6763848782796446,1.0388406818427742,1.0338954837450247,"002459,688012,603019,688041,601012","0.141001,0.195797,0.170057,0.167843,0.131973","0.208463,0.201309,0.199530,0.195583,0.195115","0.581927,0.561956,0.556990,0.545973,0.544665","0.000000,0.062720,-0.071024,0.014353,0.023503",300,40,18,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0023069401159079295,-0.004453719139322477,0.0008000000000000001,-0.005253719139322478,0.8000000000000002,1.957865633791809,0.4086082242787191,1.0342139772153442,1.0284636872540145,"002493,002916,601111,601838,000333","0.084723,0.081116,0.092410,0.081098,0.080566","0.207345,0.198518,0.198489,0.198474,0.197173","0.551230,0.527763,0.527686,0.527646,0.524186","-0.016649,0.034058,-0.013189,-0.035088,-0.021614",300,40,19,False,-0.004453719139322465,-0.005253719139322377
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0013014420507869717,-0.002605269722580127,0.0008000000000000001,-0.0034052697225801275,0.8000000000000002,1.835460610761548,0.4358578960014148,1.0315195708538358,1.0249614909990352,"002916,600570,601298,600027,601816","0.137109,0.086751,0.086722,0.085525,0.085512","0.209581,0.199035,0.198969,0.196223,0.196191","0.562667,0.534355,0.534177,0.526803,0.526719","0.015684,-0.017615,-0.003472,-0.011364,-0.022857",300,40,28,False,-0.007047385722276145,-0.008641098531186553
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,0.0004384962629856437,-0.007787658897427632,0.0008,-0.008587658897427632,0.8,1.2065110640174626,0.6630689297917794,1.0234864482900052,1.0161594713313367,"601298,002916,600372,601816,600570","0.162303,0.179267,0.132361,0.161077,0.161518","0.200708,0.200689,0.199619,0.199474,0.199510","0.535181,0.535131,0.532278,0.531893,0.531987","0.012821,-0.031880,0.011924,-0.015326,-0.020202",300,40,31,False,-0.01478016198358012,-0.017154550621929276
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.0001791849961160219,0.00760145811406298,0.0008,0.006801458114062979,0.8,1.352802809624725,0.591364827385245,1.0312664376569927,1.023070837412805,"600795,601298,601816,600741,600023","0.120247,0.186377,0.182925,0.117072,0.116888","0.203338,0.203013,0.198023,0.197969,0.197658","0.541638,0.540773,0.527481,0.527338,0.526508","0.017361,0.019837,-0.009690,0.018936,0.011742",300,40,35,False,-0.007291054651754503,-0.010469768465386942
