profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,risk_penalty,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600426,0.202989829829048,0.16239186386323842,0.5464083,0.0549612689044633,0.9569047619047619,0.430952380952381,0.0262416841248426,0.0065155347033686,0.6199,-0.3825574214625789,-0.2158931082981715
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601186,0.2009323600312023,0.16074588802496184,0.54087,0.0077619663648124,0.9349999999999999,0.1738095238095238,0.0059976078515267,0.0088082456514625,0.1496,-0.5016489556614144,-0.2524271844660195
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601668,0.20025931631151267,0.16020745304921014,0.5390583,0.0,0.8764285714285714,0.2833333333333333,0.0110995408537291,0.0085779031460678,0.2341,-0.4855058130590536,-0.4195519348268839
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601111,0.19852378705982973,0.1588190296478638,0.5343866,0.0271604938271603,0.7847619047619048,0.7238095238095238,0.026832142505145,0.0118706545484147,0.7588,0.4139833035181872,-0.0059347181008901
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600941,0.1972947067684073,0.15783576541472585,0.53107816,-0.0113280530484434,0.7395238095238095,0.2238095238095238,0.0057043386453258,0.003607903873591,1.0859,-0.1360558830783428,-0.0929878048780491
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,688082,0.20332526968865866,0.09036678652829275,0.55422866,0.0136354782157002,0.929,0.71,0.0217968705467369,0.0171024057563602,0.5467,-0.0732013290838816,0.2196639701306784
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,300413,0.20104923767569016,0.08935521674475119,0.5480246,-0.0527756059421421,0.9049999999999999,0.45000000000000007,0.019910756335086,0.0143833142059823,1.1784,-0.2199022891869347,-0.4597186700767264
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600905,0.1981997127751686,0.08808876123340827,0.5402573,0.0047961630695441,0.8272499999999999,0.2275,0.0076601106741483,0.0048877093044581,0.1784,-0.5461021778953796,-0.2814371257485025
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,688008,0.2002276142071479,0.08899005075873241,0.545785,-0.0002551454328967,0.81175,0.8825000000000001,0.0287877789266434,0.0206817902761953,2.6261,0.3096318608431994,0.2678469446030842
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,300803,0.19719816565333473,0.08764362917925989,0.53752726,-0.0018316543168761,0.73275,0.6724999999999999,0.0229212959324104,0.0188547423445614,2.7362,-0.1156031623926099,-0.198008849557522
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,688012,0.2054651375830832,0.0959268122954513,0.5460095,0.0186757215619694,0.9105555555555556,0.8944444444444445,0.028777639245925,0.0126898117843831,1.8046,0.0219151707344698,0.0398344542162441
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,300347,0.2041024683324276,0.09529061425735072,0.5423883,-0.0415686274509803,0.8980555555555555,0.46388888888888896,0.0195245099241311,0.0098297474405359,1.2893,-0.3384439347526028,-0.4264448336252188
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,000651,0.1981148292010823,0.09249512718931611,0.52647656,0.0128649183572488,0.8622222222222222,0.2666666666666667,0.0067531827199083,0.0036819990353505,0.3706,-0.3848554260863792,-0.2959183673469389
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,600941,0.19643540294489484,0.13845880961725307,0.5220136,-0.0046860356138706,0.805,0.2833333333333333,0.0058670976811083,0.0042577800199718,0.8819,-0.256464517869639,-0.326568265682657
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,000538,0.1958821619385119,0.09145274765995103,0.5205434,-0.0058865501248661,0.7558333333333334,0.21944444444444444,0.0064134455241541,0.0016051951630752,0.2424,-0.3297201636987058,-0.3946188340807174
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,688012,0.20769006930554926,0.15675688429111373,0.5563068,0.0421374045801527,0.9272222222222222,0.7277777777777777,0.029153589819269,0.0132361958218027,2.0721,0.1461681002295545,-0.2040481400437633
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,601111,0.20367831006220624,0.13229403144249974,0.54556113,-0.0107398568019093,0.8588888888888888,0.8555555555555555,0.0217458666477977,0.030498813145131,0.9414,0.5411816708413144,0.7190949227373069
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,300316,0.19666488172867141,0.10703999896399435,0.52677536,-0.0091973244147157,0.8177777777777777,0.711111111111111,0.0296225765910283,0.0245116499480638,1.3221,-0.1971556440790153,-0.3006430868167201
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,000651,0.19643499556320373,0.14906711556499488,0.5261596,0.0007343941248469,0.7983333333333333,0.35,0.0070197786530141,0.0055568070452145,0.7413,0.2149471441448824,0.2620423892100196
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,600115,0.1955317433403694,0.10642325879745436,0.5237402,0.0039215686274509,0.7077777777777778,0.7,0.0222592058090465,0.0243023825089266,0.6317,-0.0179709604203586,-0.1629213483146068
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,688012,0.20647695588356957,0.1842757405302868,0.56837535,0.0455540618398312,0.935,0.65,0.0259647311905357,0.0132359603576725,1.2755,-0.2432153409832563,-0.1122787610619465
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,300408,0.20145537765181415,0.11150067565569985,0.5545523,0.0585030791094267,0.8899999999999999,0.6238095238095239,0.0276138725602519,0.0112963808131074,0.7899,-0.285203652257323,-0.0700636942675161
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,688041,0.19849447722299296,0.10986188893175637,0.54640174,0.0307903324977534,0.8423809523809523,0.6238095238095238,0.0276248336339834,0.0187652023590146,0.5221,-0.4168891072964249,-0.6072446072446074
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,300316,0.1976186776227423,0.15717310530333742,0.5439909,0.0105849582172701,0.7899999999999999,0.6714285714285715,0.0290090702443166,0.0258857200480344,0.8756,-0.424057252234771,-0.5051261829652995
