profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.0005010117888425555,0.0008,-0.00029898821115744453,0.8,1.0,0.8,1.0005010117888427,0.9997010117888425,"601186,300316,601668,601868,600905","0.160430,0.162551,0.160090,0.158510,0.158419","0.200537,0.203188,0.200113,0.198138,0.198024","0.545322,0.552531,0.544168,0.538798,0.538488","0.007762,-0.006916,0.000000,0.000000,0.002398",300,40,21,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.06234216101426049,-0.00643179164156253,0.0008000000000000001,-0.00723179164156253,0.8000000000000002,1.1623021338913726,0.6882891949286976,0.9940659977438444,0.9924713823677264,"601186,300347,000538,600905,600918","0.187465,0.140058,0.136974,0.186313,0.136869","0.199709,0.203487,0.199006,0.198945,0.198853","0.547282,0.557634,0.545354,0.545187,0.544937","0.005175,-0.053474,-0.005884,0.004796,0.000000",300,40,27,False,-0.00643179164156249,-0.007231791641562513
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.026295684217559234,-0.0068207767837964815,0.0007999999999999999,-0.007620776783796482,0.7999999999999999,1.3835951039734522,0.578203838465845,0.9872856954648718,0.984907979498396,"002252,300347,000538,601607,000651","0.115248,0.177613,0.172646,0.114868,0.114680","0.199320,0.205009,0.198669,0.198664,0.198338","0.550294,0.566001,0.548498,0.548482,0.547583","-0.003021,-0.041569,-0.005887,0.003930,0.012865",300,40,26,False,-0.013208698610251868,-0.014797456555511679
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.014227971796092698,-0.009999613581145372,0.0008,-0.010799613581145373,0.8,1.743209204805603,0.4589236895919291,0.9774132200160307,0.9742713539068267,"600515,601012,002252,301269,600196","0.093335,0.093287,0.152887,0.091296,0.090476","0.203379,0.203274,0.197264,0.198935,0.197149","0.562554,0.562264,0.545640,0.550263,0.545321","-0.035928,-0.035389,-0.003008,-0.037037,0.005484",300,40,25,False,-0.023076230309384882,-0.02543726332387375
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.007818880475807255,0.004754289760638602,0.0008000000000000001,0.003954289760638601,0.8000000000000002,1.7759736705338882,0.45045712854487663,0.9820601256798657,0.978123905145664,"600674,688012,600515,300316,002074","0.090039,0.091141,0.141281,0.096184,0.089459","0.199883,0.202331,0.199772,0.199418,0.198596","0.543868,0.550527,0.543566,0.542601,0.540367","-0.008904,0.045554,-0.002016,0.010585,0.007499",300,40,24,False,-0.018431651634220447,-0.021583559873135316
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.004155285547103316,0.006683072060527543,0.0008,0.005883072060527543,0.8,1.7073679002112214,0.4685574795572944,0.988623304267555,0.9838782785637606,"601111,002493,688012,601012,601059","0.094824,0.093717,0.142087,0.120555,0.093056","0.202374,0.200011,0.199871,0.199143,0.198600","0.549459,0.543045,0.542663,0.540688,0.539213","-0.025030,-0.028689,0.062720,0.023503,0.000000",300,40,23,False,-0.011871759629758838,-0.015827465450664158
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.001973572938768764,-0.0055281752550045155,0.0008,-0.006328175255004516,0.8,1.5236784281227056,0.5250451704469324,0.9831580213803823,0.977652124387417,"601111,002493,002074,002415,605499","0.153035,0.150003,0.126841,0.103750,0.103545","0.205693,0.200918,0.198575,0.197601,0.197212","0.562576,0.549517,0.543106,0.540445,0.539380","-0.013189,-0.016649,0.022199,-0.010544,-0.026405",300,40,23,False,-0.01733430571694472,-0.02205548173045435
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0007623798749633037,-0.010142954827948568,0.0007999999999999999,-0.010942954827948569,0.7999999999999999,1.3035563017957308,0.6137057516410681,0.9731858939807858,0.9669537213527976,"601111,603392,002493,601059,002916","0.183568,0.123216,0.180654,0.138805,0.121596","0.202787,0.200774,0.199948,0.198356,0.198135","0.551709,0.546233,0.543986,0.539654,0.539052","-0.021713,0.007710,-0.049898,0.000000,0.015684",300,40,29,False,-0.027301439465032495,-0.032757084418117866
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,0.00040604767835539235,-0.0017516671381517326,0.0008,-0.0025516671381517328,0.8,1.7116160307056028,0.4673945474033713,0.9714811962309868,0.9644863773179081,"000002,601059,601816,601995,000538","0.093968,0.167448,0.093432,0.093411,0.095730","0.201047,0.200087,0.199899,0.199854,0.199112","0.540029,0.537450,0.536946,0.536824,0.534832","0.002045,0.000000,-0.015326,0.000000,-0.005348",300,40,30,False,-0.029005283568849127,-0.03522516638041828
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.00011156378361409924,0.005600532019552087,0.0008000000000000001,0.004800532019552086,0.8000000000000002,1.1030760883193025,0.725244621356009,0.9769220077768712,0.9691164250546446,"601298,000002,601995,601059,601816","0.144669,0.173605,0.169985,0.190299,0.169848","0.199476,0.203775,0.198995,0.198956,0.198798","0.540219,0.551861,0.538917,0.538810,0.538382","0.019837,0.025210,0.000000,0.000000,-0.009690",300,40,33,False,-0.023567196568660576,-0.030593733899969333
