profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,risk_penalty,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601186,0.20053705969497776,0.16042964775598223,0.54532176,0.0077619663648124,0.9261904761904761,0.26190476190476186,0.0059976078515267,0.0088082456514625,0.1496,-0.5016489556614144,-0.2524271844660195
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,300316,0.20318832375892584,0.1625506590071407,0.55253136,-0.0069156293222682,0.9,1.0,0.0294358002795382,0.0289628358516815,2.3847,0.4840006471928011,0.9543023821098692
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601668,0.20011266474856745,0.16009013179885398,0.5441677,0.0,0.8616666666666667,0.4309523809523809,0.0110995408537291,0.0085779031460678,0.2341,-0.4855058130590536,-0.4195519348268839
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601868,0.19813784517461464,0.1585102761396917,0.53879756,0.0,0.8135714285714285,0.4357142857142857,0.0086824851068608,0.0103956415212606,0.3789,-0.4523537658808735,-0.3684992570579495
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600905,0.19802410662291434,0.1584192852983315,0.53848827,0.0023980815347721,0.7702380952380953,0.39285714285714285,0.0092757313528556,0.0048877093044581,0.2727,-0.3495993131081855,-0.3277310924369745
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601186,0.19970910823002558,0.1874652759828951,0.5472816,0.0051746442432082,0.9377777777777777,0.2518518518518518,0.0059972741591806,0.0087340058456186,0.1415,-0.501514831254844,-0.3538767395626243
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,300347,0.2034868353719339,0.1400577900967368,0.55763406,-0.0534738485558156,0.9162962962962963,0.837037037037037,0.0200785698082803,0.0156845281476603,1.4429,-0.2765968113907551,-0.0783090783090783
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,000538,0.19900585163711088,0.13697357740940688,0.5453544,-0.0058844507845934,0.9018518518518519,0.24074074074074076,0.0064666083021048,0.0040766160776754,0.2421,-0.3704820843517603,-0.4242424242424243
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600905,0.198944849455377,0.18631259322601562,0.54518723,0.0047961630695441,0.8564814814814814,0.32407407407407407,0.0076601106741483,0.0048877093044581,0.1784,-0.5461021778953796,-0.2814371257485025
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600918,0.19885335530555265,0.1368686158321291,0.5449365,0.0,0.8024074074074075,0.49444444444444435,0.0079735588694933,0.010454857297162,0.3464,-0.5066862245261254,-0.1981845688350983
