profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.01720521193824024,0.0008,0.016405211938240242,0.8,1.0,0.8,1.0172052119382402,1.0164052119382403,"300316,002493,601111,601186,600309","0.170336,0.159012,0.157364,0.156775,0.156513","0.212920,0.198765,0.196706,0.195968,0.195641","0.577617,0.539217,0.533631,0.531631,0.530744","-0.006916,0.022082,0.027160,0.007762,0.059937",300,40,16,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.0602130975200188,0.009892761256465446,0.0008000000000000001,0.009092761256465446,0.8000000000000002,1.144599366331288,0.698934512399906,1.0272681802487775,1.025647141870222,"300316,001979,601111,600029,601012","0.197223,0.140820,0.185131,0.137581,0.136839","0.208805,0.201478,0.197091,0.196845,0.195782","0.570318,0.550305,0.538323,0.537651,0.534749","-0.002259,-0.008439,0.040943,0.062038,-0.033532",300,40,16,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.029521992888860482,0.018776802624341955,0.0008000000000000001,0.017976802624341957,0.8000000000000002,1.5695257174650954,0.5097081182537496,1.0465569921115758,1.0440849981018434,"688012,002938,000651,601111,601059","0.108394,0.100445,0.100419,0.191010,0.100209","0.212658,0.197064,0.197012,0.196665,0.196600","0.566711,0.525155,0.525016,0.524090,0.523918","0.018676,0.075576,0.012865,0.041199,0.000000",300,40,15,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.005369673154282051,-0.0016552878632412017,0.0008000000000000001,-0.002455287863241202,0.8000000000000002,0.9778602871539273,0.8181127820707481,1.0448246390243434,1.0415214688778116,"688012,601111,300316,600515,601059","0.188404,0.199180,0.179594,0.161522,0.179684","0.206193,0.200997,0.198024,0.197433,0.197354","0.563234,0.549040,0.540921,0.539306,0.539089","0.042137,-0.010740,-0.009197,-0.035928,0.000000",300,40,19,False,-0.001655287863241095,-0.00245528786324134
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0005927317363239037,0.02133718509450032,0.0007999999999999999,0.02053718509450032,0.7999999999999999,0.8992654813133208,0.889614931990551,1.0671182557385004,1.0629113880640513,"688012,300316,601059,002916,300408","0.203460,0.197723,0.197490,0.176601,0.174796","0.205328,0.199973,0.199699,0.198514,0.196486","0.562856,0.548176,0.547426,0.544176,0.538616","0.045554,0.010585,0.000000,-0.001417,0.058503",300,40,22,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,3.1103778158958484e-05,0.023951541966850766,0.0008,0.023151541966850767,0.8,0.8443051706480668,0.9475246958228869,1.0926773834244137,1.0875194256718599,"688012,601059,002916,000333,601995","0.205593,0.201338,0.197352,0.187202,0.186348","0.205711,0.201551,0.198501,0.197570,0.196668","0.562062,0.550696,0.542362,0.539818,0.537354","0.062720,0.000000,0.080858,-0.026178,0.000000",300,40,22,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,1.7549470928690525e-06,-0.00987217645663268,0.0008000000000000001,-0.01067217645663268,0.8000000000000002,0.8478369196739483,0.9435776874492033,1.0818902794850762,1.075913226461074,"601059,601111,601995,002493,000333","0.203135,0.190270,0.199096,0.186949,0.196631","0.203243,0.201578,0.199859,0.198126,0.197195","0.551338,0.546823,0.542158,0.537459,0.534933","0.000000,-0.013189,0.000000,-0.016649,-0.021614",300,40,19,False,-0.009872176456632631,-0.010672176456632654
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,5.583232013384176e-07,-0.007304838789136313,0.0007999999999999999,-0.008104838789136313,0.7999999999999999,1.1732656218901987,0.6818575308728076,1.073987245405904,1.0671931232095075,"601059,601995,002916,601816,000596","0.203218,0.200326,0.140948,0.134607,0.134267","0.203257,0.200900,0.201517,0.197412,0.196913","0.554406,0.547978,0.549659,0.538463,0.537102","0.000000,0.000000,0.015684,-0.022857,-0.047955",300,40,29,False,-0.017104900588255423,-0.018690518976058668
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,2.220446049250313e-16,-0.013706485372766006,0.0005166857028109711,-0.014223171075576978,0.5166857028109711,0.5166857028109711,1.0,1.0592666549362109,1.0520142528474195,"601059,601995,601816,000333,002916","0.204406,0.202858,0.198544,0.196789,0.197402","0.204406,0.202858,0.198544,0.196789,0.197402","0.556818,0.552599,0.540849,0.536068,0.537736","0.000000,0.000000,-0.015326,-0.022209,-0.031880",300,40,31,False,-0.030576937891305778,-0.03264785160274786
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.0,0.002409625367854768,0.0008,0.0016096253678547679,0.8,1.1898773342872322,0.6723382124756759,1.0618190907392677,1.0537076016761475,"601059,601995,600795,000596,601066","0.203458,0.202325,0.133347,0.134623,0.132030","0.202996,0.202065,0.198333,0.200231,0.196375","0.555068,0.552522,0.542317,0.547508,0.536962","0.000000,0.000000,0.017361,-0.024648,0.025849",300,40,34,False,-0.028240991488665323,-0.03109077704503871
