profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999984,0.007659676160102419,0.0008000000000000001,0.006859676160102419,0.8000000000000002,1.0,0.8,1.0076596761601024,1.0068596761601025,"300316,601111,600183,688169,688082","0.163424,0.160796,0.159183,0.158881,0.157716","0.204281,0.200995,0.198978,0.198601,0.197145","0.556177,0.547231,0.541741,0.540715,0.536749","-0.006916,0.027160,0.024348,-0.006452,0.009966",300,40,19,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.008641628982247296,0.0170671963366415,0.0008,0.0162671963366415,0.8,0.836127519005461,0.9567918550887631,1.0248576016936435,1.0232384601956461,"300316,688082,300413,002938,601111","0.202774,0.201486,0.189734,0.188594,0.195028","0.204551,0.203462,0.198302,0.197111,0.196574","0.568392,0.565367,0.551027,0.547717,0.546226","-0.002259,0.013635,-0.052776,0.089113,0.040943",300,40,20,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.002979270552937341,0.015311924919309602,0.0008,0.014511924919309601,0.8,1.2209229196817832,0.6552420198717451,1.0405501443437604,1.0380876199045552,"688012,688036,002938,300347,688082","0.135977,0.131008,0.194919,0.129521,0.198300","0.207522,0.199939,0.198246,0.197669,0.196624","0.558357,0.537954,0.533401,0.531849,0.529035","0.018676,0.064787,0.075576,-0.041569,-0.025529",300,40,19,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0013364139545098963,0.0008519728695973461,0.0008,5.197286959734602e-05,0.8,1.450775706553634,0.5514291398636848,1.0414366648361968,1.038141572297055,"688012,300316,601111,601012,000651","0.175664,0.143397,0.141150,0.107194,0.106539","0.207947,0.203179,0.201276,0.194394,0.193205","0.566772,0.553775,0.548588,0.529831,0.526590","0.042137,-0.009197,-0.010740,-0.035389,0.000734",300,40,20,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0004036142138472698,0.016572436519919062,0.0008,0.015772436519919063,0.8,1.1461529383021816,0.6979871300465847,1.058695807853711,1.0545155943447992,"688012,300316,300408,601012,002916","0.196444,0.182485,0.138949,0.170909,0.137935","0.205435,0.199398,0.199071,0.198478,0.197618","0.570622,0.553852,0.552943,0.551297,0.548909","0.045554,0.010585,0.058503,-0.013115,-0.001417",300,40,22,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,7.713822573562901e-05,0.020812477589719387,0.0008,0.02001247758971939,0.8,0.9890202735754192,0.8088812953327138,1.0807298906289962,1.0756190640446341,"002459,688012,601012,603019,002916","0.168981,0.201251,0.193057,0.158109,0.184054","0.208907,0.202386,0.198289,0.195467,0.194950","0.591139,0.572688,0.561095,0.553108,0.551647","0.000000,0.062720,0.023503,-0.071024,0.080858",300,40,20,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,3.893966253609715e-05,-0.0021011764547951397,0.0008,-0.0029011764547951396,0.8,1.6155209887387996,0.4951962899748779,1.0784590864288133,1.0724985033416992,"601111,000333,002493,002916,601838","0.104125,0.099601,0.099337,0.191260,0.097897","0.201964,0.201134,0.200602,0.198605,0.197694","0.542968,0.540735,0.539306,0.533937,0.531488","-0.013189,-0.021614,-0.016649,0.034058,-0.035088",300,40,18,False,-0.0021011764547950174,-0.0029011764547950403
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,1.69746041867036e-05,-0.008613240073823846,0.0008,-0.009413240073823846,0.8,1.4182402583884817,0.5640793196133244,1.0691700594076052,1.062402817450927,"000333,002916,601816,600570,601298","0.155714,0.200578,0.112173,0.111378,0.111027","0.199079,0.207779,0.198861,0.197452,0.196829","0.535756,0.559170,0.535170,0.531377,0.529701","-0.043976,0.015684,-0.022857,-0.017615,-0.003472",300,40,27,False,-0.010696318591376208,-0.01228710705815339
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,8.875101263905449e-07,-0.013216567178292194,0.0008,-0.014016567178292194,0.8,0.8441352613804014,0.947715415526858,1.055039301492426,1.0475115769897192,"000333,601816,601298,002916,600183","0.200004,0.195908,0.194694,0.199078,0.188330","0.202447,0.200528,0.199310,0.198995,0.198720","0.538484,0.533378,0.530140,0.529303,0.528569","-0.022209,-0.015326,0.012821,-0.031880,-0.010204",300,40,33,False,-0.0237715171564451,-0.026131451174938092
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,4.4667842014067816e-07,0.0002223958591380036,0.0008,-0.0005776041408619964,0.8,1.6106103331320198,0.4967061141625154,1.055273937864306,1.0469065299652491,"600795,601298,600460,600023,002236","0.101406,0.198409,0.098554,0.098003,0.098323","0.204157,0.202173,0.198414,0.197306,0.197949","0.544681,0.539386,0.529360,0.526403,0.528119","0.017361,0.019837,-0.036140,0.011742,-0.031151",300,40,37,False,-0.023554407984287984,-0.026693961681394596
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-10,5,5,2.478439727893189e-07,-0.007782159404519606,0.0008,-0.008582159404519606,0.8,1.7971872626881065,0.4451400344354857,1.0470616278644107,1.037921811243455,"600795,600803,002594,002422,002241","0.147894,0.088564,0.088325,0.088499,0.088124","0.205841,0.198958,0.198421,0.198811,0.197970","0.553702,0.535188,0.533743,0.534792,0.532529","0.003436,0.037310,-0.025572,-0.054121,-0.051591",300,40,34,False,-0.031153263231194828,-0.03504702925162628
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-11,5,5,1.0106423398159592e-07,-0.0027098742335945544,0.0008,-0.0035098742335945544,0.8,1.3508347935435814,0.5922263801788801,1.0442242225380753,1.0342788362216857,"600795,601066,002241,600803,603893","0.181760,0.118972,0.153941,0.153231,0.116678","0.205079,0.200890,0.199259,0.197757,0.197015","0.554091,0.542773,0.538365,0.534308,0.532304","0.017153,0.034496,-0.040726,0.001803,-0.033755",300,40,31,False,-0.033778716039466694,-0.03843389282028653
