profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.01895709600555827,0.0008,0.01815709600555827,0.8,0.9999999999999999,0.8000000000000002,1.0189570960055583,1.0181570960055584,"688169,600426,000301,601111,002493","0.171257,0.158598,0.158191,0.156202,0.155751","0.214071,0.198248,0.197739,0.195253,0.194689","0.594179,0.550260,0.548849,0.541947,0.540382","-0.006452,0.054961,0.023158,0.027160,0.022082",300,40,29,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.11111111111111105,-0.0021640180265347056,0.0008,-0.0029640180265347055,0.8,1.8,0.4444444444444445,1.016752054481537,1.0151392600191538,"600115,600941,600026,300803,000538","0.089141,0.089013,0.089047,0.088974,0.088270","0.200568,0.200279,0.200355,0.200190,0.198608","0.546107,0.545321,0.545530,0.545081,0.540771","0.031683,-0.012588,-0.035772,-0.001832,-0.005884",300,40,27,False,-0.002164018026534542,-0.002964018026534565
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.034873420594559,0.0038376025356395664,0.0008000000000000001,0.003037602535639566,0.8000000000000002,1.165944145036634,0.6861392146489694,1.020653944743932,1.0182228496094152,"688169,000538,000651,600026,600941","0.173897,0.163703,0.134849,0.164459,0.162684","0.209922,0.198208,0.196533,0.198954,0.196383","0.571958,0.540042,0.535478,0.542075,0.535069","0.064899,-0.005887,0.012865,-0.045342,-0.004686",300,40,30,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0075823756034142376,0.0062233706993188535,0.0008,0.005423370699318853,0.8,1.0222670654311545,0.7825743654008745,1.0270058525977956,1.0237450495773637,"000002,688012,600941,688169,000651","0.161292,0.159419,0.189969,0.193133,0.181263","0.206104,0.203711,0.197550,0.198477,0.194158","0.565145,0.558585,0.541689,0.544233,0.532390","-0.064885,0.042137,-0.013100,0.063826,0.000734",300,40,27,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.003957868320675573,0.01061856079409601,0.0008,0.00981856079409601,0.8,1.673579333560636,0.47801737506996705,1.0379111766794977,1.0337967525842937,"688012,300408,600900,600036,601728","0.183574,0.094813,0.094459,0.094455,0.093931","0.209950,0.198346,0.197605,0.197597,0.196502","0.565189,0.533950,0.531956,0.531934,0.528985","0.045554,0.058503,-0.011327,-0.002080,-0.021552",300,40,25,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0017579354564465355,0.014124766845870223,0.0008,0.013324766845870223,0.8,1.4392687649811642,0.5558378111613294,1.0525714300568183,1.0475718532784972,"688012,002459,600588,300408,603019","0.195686,0.112162,0.110987,0.151396,0.109255","0.205364,0.201789,0.199675,0.196611,0.196560","0.563532,0.553723,0.547922,0.539513,0.539373","0.062720,0.000000,-0.000749,0.064032,-0.071024",300,40,23,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0009255894558214406,-0.003463847894286172,0.0008,-0.004263847894286172,0.8,1.6896198985770494,0.4734792722752245,1.0489254827252301,1.0431051662377824,"002493,600900,600588,601059,600050","0.096142,0.116682,0.153083,0.094428,0.094391","0.201533,0.199781,0.199895,0.199435,0.199356","0.540358,0.535662,0.535968,0.534734,0.534523","-0.016649,-0.011331,0.006839,0.000000,-0.016822",300,40,21,False,-0.0034638478942862205,-0.004263847894286021
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.00044244184487463034,-4.990769974598042e-06,0.0007999999999999999,-0.000804990769974598,0.7999999999999999,1.5325990398798062,0.5219891042491713,1.0489202477794253,1.0422654762068482,"000651,600900,002916,601995,601059","0.115008,0.159038,0.107856,0.103258,0.148319","0.200064,0.197825,0.206624,0.197817,0.197669","0.544181,0.538092,0.562025,0.538068,0.537666","-0.003914,-0.007838,0.015684,0.000000,0.000000",300,40,32,False,-0.003468821376992892,-0.005065406306061115
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,0.00021538420386479906,-0.002511271485081563,0.0008000000000000001,-0.0033112714850815628,0.8000000000000002,1.558870577204082,0.5131920582110434,1.0462861242710522,1.0388142522555994,"000651,000538,601995,000568,000333","0.159760,0.104045,0.152414,0.102152,0.102087","0.202211,0.200770,0.199042,0.199053,0.198925","0.546846,0.542949,0.538277,0.538306,0.537960","0.004666,-0.005348,0.000000,-0.004240,-0.022209",300,40,35,False,-0.005971381709863444,-0.008359904855681166
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,6.777841778216054e-05,0.005130259246412863,0.0008000000000000001,0.004330259246412863,0.8000000000000002,1.1673482975485323,0.6853138876203657,1.0516538433344873,1.0433125872767348,"000651,601995,601607,600023,000538","0.188316,0.185199,0.137068,0.136517,0.169192","0.201429,0.200253,0.200008,0.199204,0.199106","0.544702,0.541520,0.540858,0.538684,0.538420","0.011911,0.000000,0.004487,0.011742,0.003956",300,40,38,False,-0.0008717571996814666,-0.004065846164568621
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-10,5,5,1.2441643038596517e-05,-0.012271142413194018,0.0008,-0.013071142413194018,0.8,0.9798679897219458,0.8164365081739364,1.038748849253547,1.0296752998669627,"000651,002422,002594,601995,600023","0.197896,0.166309,0.162445,0.196209,0.187202","0.200049,0.203701,0.198968,0.198684,0.198597","0.544598,0.554539,0.541655,0.540882,0.540644","0.008146,-0.054121,-0.025572,0.000000,-0.003891",300,40,36,False,-0.013132202156128314,-0.017083843323515424
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-11,5,5,6.250114490180536e-06,0.02146376964961931,0.0008,0.02066376964961931,0.8,1.6075698194627563,0.4976455705465763,1.0610443152777325,1.0509522730773162,"600795,600027,601995,600176,300760","0.099991,0.099843,0.198226,0.099357,0.098795","0.200927,0.200630,0.200263,0.199654,0.198525","0.546765,0.545957,0.544958,0.543301,0.540227","0.017153,0.007663,0.100029,-0.009772,0.001277",300,40,32,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-12,5,5,2.0856447701111946e-06,0.016268949485485067,0.0008000000000000001,0.015468949485485066,0.8000000000000002,1.2006550481353373,0.6663029495794236,1.078306391644847,1.067209400701205,"601995,601059,600176,600346,600795","0.200830,0.133847,0.166621,0.132775,0.165599","0.202134,0.199831,0.200308,0.199271,0.198456","0.549915,0.543649,0.544947,0.542126,0.539910","0.022643,0.006183,0.003963,0.058050,0.015254",300,40,30,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-15,5,5,0.0,0.007927948304708209,0.0006691947779584684,0.007258753526749741,0.6691947779584684,0.6691947779584684,1.0,1.0868551489744436,1.0749560107023253,"600795,300014,601995,600176,601059","0.200629,0.203666,0.199335,0.198885,0.197486","0.200629,0.203666,0.199335,0.198885,0.197486","0.552234,0.560593,0.548673,0.547434,0.543583","0.003413,-0.004783,0.024649,0.009914,0.006745",300,40,29,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-16,5,5,0.0,0.026746459135752056,0.0008,0.025946459135752057,0.8,0.8037640620890297,0.9953169564719693,1.1159246758029702,1.1028473129067442,"300014,601995,688256,601059,000807","0.206141,0.197929,0.201511,0.196534,0.196014","0.206153,0.197922,0.202459,0.196530,0.196936","0.572733,0.549868,0.562471,0.545999,0.547127","0.010095,0.031814,0.006370,0.005059,0.082090",300,40,23,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-17,5,5,0.0,-0.027923490180558872,0.0008,-0.02872349018055887,0.8,1.2110729815658237,0.6605712555536182,1.0847641640759427,1.0711696889438116,"601995,601059,600023,600900,601186","0.201131,0.199979,0.131272,0.131109,0.130972","0.202776,0.201749,0.198725,0.198479,0.198271","0.555061,0.552249,0.543973,0.543297,0.542730","-0.075560,-0.064211,0.001949,-0.007521,0.006452",300,40,33,False,-0.02792349018055884,-0.028723490180558864
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-18,5,5,0.0,0.0037701299322579936,0.0008,0.0029701299322579936,0.8,1.3421717175770502,0.5960489179761563,1.0888538659203661,1.074351202099471,"000725,600023,600900,000807,000651","0.119707,0.172256,0.172066,0.145962,0.118923","0.200834,0.200031,0.199824,0.199793,0.199518","0.545531,0.543350,0.542786,0.542702,0.541957","-0.016990,-0.003876,-0.014270,0.066328,-0.006343",300,40,33,False,-0.02425863543444373,-0.025838672746245184
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-19,5,5,0.0,-0.005037044117659496,0.0007282831267517192,-0.005765327244411215,0.7282831267517191,0.7282831267517191,1.0,1.0833692609600412,1.068157215843941,"000725,000651,601186,600023,600900","0.202971,0.200060,0.199092,0.198952,0.198925","0.202971,0.200060,0.199092,0.198952,0.198925","0.550505,0.542612,0.539986,0.539606,0.539534","-0.007335,-0.006320,-0.001280,-0.001938,-0.008261",300,40,34,False,-0.029173487735185688,-0.031455031586713034
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-22,5,5,0.0,-0.0015034111641600385,0.0008,-0.0023034111641600384,0.8,1.1981287930571345,0.667707849636705,1.081740511518206,1.065696810587888,"000538,000725,600999,000651,000858","0.133934,0.202441,0.133692,0.199191,0.132373","0.200588,0.202177,0.200226,0.198758,0.198250","0.542898,0.547200,0.541919,0.537947,0.536572","0.001944,0.000000,-0.002980,-0.002691,-0.006265",300,40,36,False,-0.03063303915218718,-0.033685988879947226
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-23,5,5,0.0,0.003275706591031099,0.0008,0.002475706591031099,0.8,1.7321317052190528,0.461858643652521,1.0852839760415716,1.068335163205901,"000538,300628,601919,600482,600519","0.164796,0.092867,0.092328,0.092189,0.091755","0.200754,0.201071,0.199905,0.199604,0.198665","0.539219,0.540071,0.536937,0.536130,0.533608","0.008719,0.003860,-0.015574,0.034483,-0.002840",300,40,36,False,-0.027457677409410186,-0.03129367891361179
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-24,5,5,0.0,-0.0007500679676662572,0.0008,-0.0015500679676662573,0.8,1.8142669652374235,0.44094943871466474,1.0844699392953212,1.0666791710906842,"300628,601318,601601,600309,600115","0.141096,0.088487,0.088188,0.087620,0.087476","0.202242,0.200674,0.199995,0.198708,0.198381","0.592522,0.587926,0.585937,0.582168,0.581208","-0.012520,-0.003188,0.009639,-0.003762,0.008897",300,40,36,False,-0.028187150252785176,-0.032795239552003475
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-25,5,5,1.1102230246251565e-16,4.163338587512863e-05,0.0008,-0.0007583666141248714,0.8,1.1892186457625995,0.6727106094834153,1.0845150894507738,1.0658702372193467,"000301,601318,300628,601601,600309","0.134492,0.166480,0.179772,0.163170,0.161475","0.199926,0.204426,0.198589,0.199651,0.197407","0.594617,0.608001,0.590640,0.593800,0.587126","0.052834,-0.017604,-0.027680,-0.002588,0.007833",300,40,34,False,-0.02814669039341333,-0.033528735351349814
