profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.008166809739238888,0.0008,0.007366809739238887,0.8,0.9999999999999999,0.8000000000000002,1.008166809739239,1.007366809739239,"002493,601111,688169,601186,300803","0.162884,0.161838,0.159008,0.157982,0.158289","0.203605,0.202297,0.198760,0.197478,0.197861","0.556908,0.553331,0.543658,0.540149,0.541197","0.022082,0.027160,-0.006452,0.007762,-0.000164",300,40,20,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.062038966351898095,-0.0002653096701905061,0.0008000000000000001,-0.0010653096701905064,0.8000000000000002,1.159747761879728,0.6898051682405094,1.00789933333545,1.006293652135395,"300803,601111,300413,300316,688008","0.191438,0.187911,0.137662,0.136534,0.135562","0.206344,0.199635,0.199567,0.197931,0.196523","0.571749,0.553159,0.552970,0.548436,0.544534","-0.001832,0.040943,-0.052776,-0.002259,-0.000255",300,40,20,False,-0.00026530967019045004,-0.001065309670190362
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.007387498842662987,0.011330142849970996,0.0008,0.010530142849970996,0.8,0.9081398056352592,0.8809216323695739,1.0193189767605313,1.0168900680413995,"688012,688008,300803,000651,601111","0.178786,0.194659,0.198858,0.173271,0.196663","0.202953,0.202647,0.199862,0.196693,0.197846","0.547299,0.546474,0.538963,0.530418,0.533527","0.018676,-0.004167,-0.007689,0.012865,0.041199",300,40,22,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0007854313527936307,0.005702238660520434,0.0008,0.004902238660520433,0.8,0.8951739865124276,0.8936810184987359,1.0251313768372172,1.0218751058464512,"688012,601111,688041,601059,000651","0.203077,0.202593,0.176581,0.176125,0.193643","0.205967,0.203299,0.197589,0.197078,0.196067","0.555038,0.547846,0.532459,0.531083,0.528359","0.042137,-0.010740,-0.004651,0.000000,0.000734",300,40,20,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0002790376162571384,0.023482357273617492,0.0008,0.022682357273617493,0.8,1.2408231715747204,0.6447332853920881,1.0492038780805042,1.0450536420862762,"688041,688012,300408,603019,002916","0.193488,0.202779,0.129700,0.128473,0.125174","0.202803,0.202615,0.201168,0.199266,0.194148","0.564315,0.563789,0.559765,0.554471,0.540230","0.030790,0.045554,0.058503,0.006826,-0.001417",300,40,21,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0,0.028246277924168457,0.0007041268108644761,0.02754215111330398,0.704126810864476,0.704126810864476,1.0,1.0788399824198815,1.0738366674181252,"603019,688041,688012,300274,002916","0.203484,0.200933,0.200663,0.198089,0.196831","0.203484,0.200933,0.200663,0.198089,0.196831","0.569275,0.562136,0.561380,0.554180,0.550662","-0.071024,0.014353,0.062720,0.057114,0.080858",300,40,22,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0,-0.00582469312435183,0.0008,-0.00662469312435183,0.8,2.0,0.4,1.0725560705920045,1.0667228290308035,"002493,601995,601059,000333,601838","0.081088,0.080676,0.080308,0.079170,0.078758","0.202720,0.201691,0.200770,0.197925,0.196894","0.548153,0.545371,0.542880,0.535187,0.532399","-0.016649,0.000000,0.000000,-0.021614,-0.035088",300,40,21,False,-0.005824693124351965,-0.006624693124351766
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0,-0.000297275661177722,0.0008,-0.001097275661177722,0.8,1.4418335087170475,0.5548490828957395,1.072237225776969,1.0655523400332854,"601995,002916,601059,000651,601816","0.148124,0.166394,0.147257,0.108747,0.108560","0.202237,0.205141,0.200970,0.195994,0.195657","0.551462,0.559381,0.548007,0.534439,0.533521","0.000000,0.015684,0.000000,-0.003914,-0.022857",300,40,28,False,-0.006120237246030058,-0.007714699671001357
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,1.1102230246251565e-16,-0.004332279150364317,0.0008,-0.005132279150364317,0.8,1.1216313978933208,0.7132467952507234,1.067591994799491,1.0600836279749106,"601995,601059,601816,000333,600372","0.187840,0.186604,0.172857,0.151278,0.140606","0.203807,0.202422,0.198706,0.197929,0.197135","0.556752,0.552970,0.542819,0.540696,0.538527","0.000000,0.000000,-0.015326,-0.022209,0.011924",300,40,33,False,-0.010426001820178055,-0.012807384829092938
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,1.1102230246251565e-16,0.0046377932373161766,0.0008,0.0038377932373161766,0.8,0.9054001501939859,0.8835872181251534,1.072543265733185,1.0641520097533423,"601995,601059,600795,601298,601816","0.202004,0.200429,0.175815,0.174810,0.194242","0.203870,0.202251,0.198978,0.197841,0.197060","0.557059,0.552634,0.543694,0.540586,0.538451","0.000000,0.000000,0.017361,0.019837,-0.009690",300,40,38,False,-0.005836562223595632,-0.009018743686661557
