profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,risk_penalty,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,300347,0.2016304732703326,0.16130437861626612,0.5472295,-0.0438527799530149,0.92375,0.7625000000000001,0.0199599312217742,0.0218821323361282,1.5692,-0.2239098287279975,-0.265432098765432
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,300316,0.20017160510648807,0.16013728408519048,0.5432701,-0.0069156293222682,0.85125,0.9874999999999999,0.0294358002795382,0.0289628358516815,2.3847,0.4840006471928011,0.9543023821098692
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,002074,0.19975613313054447,0.1598049065044356,0.5421425,0.006769070554543,0.81925,0.8075000000000001,0.0237730469373313,0.0247968193627533,2.1975,-0.2678221582503698,-0.155011655011655
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600036,0.19925764781992536,0.1594061182559403,0.5407896,0.0020842982862435,0.7915,0.585,0.0107039360382764,0.0088568629087808,0.2187,-0.2377666248431619,-0.1227064220183484
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601186,0.19918414067270937,0.15934731253816753,0.5405901,0.0077619663648124,0.77875,0.21250000000000002,0.0059976078515267,0.0088082456514625,0.1496,-0.5016489556614144,-0.2524271844660195
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600941,0.19784327050453587,0.1365971160932646,0.5447601,-0.0125879303961495,0.9407407407407407,0.2222222222222222,0.0059264285834298,0.0037909930464205,0.9458,-0.2068696592843546,-0.2457627118644069
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,300347,0.2112855771715725,0.19581294473594704,0.5817734,-0.0534738485558156,0.9218518518518518,0.7814814814814814,0.0200785698082803,0.0156845281476603,1.4429,-0.2765968113907551,-0.0783090783090783
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,000538,0.19744661072705758,0.13632324990850353,0.5436679,-0.0058844507845934,0.8694444444444444,0.19444444444444445,0.0064666083021048,0.0040766160776754,0.2421,-0.3704820843517603,-0.4242424242424243
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600115,0.19760382920139413,0.13643179840821337,0.5441008,0.0316831683168315,0.8433333333333333,0.8259259259259261,0.0240227456149616,0.0228390524939194,0.5689,-0.1796446905462305,-0.1054313099041532
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601186,0.19582071239544013,0.18452967644629803,0.539191,0.0051746442432082,0.7925925925925925,0.22222222222222224,0.0059972741591806,0.0087340058456186,0.1415,-0.501514831254844,-0.3538767395626243
