profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.020160257736715186,0.0008,0.019360257736715188,0.8,1.0,0.8,1.0201602577367153,1.0193602577367151,"601186,300316,600426,600309,600115","0.159308,0.166445,0.158799,0.158207,0.157240","0.199135,0.208056,0.198499,0.197759,0.196551","0.536193,0.560214,0.534481,0.532489,0.529234","0.007762,-0.006916,0.054961,0.059937,0.011858",300,40,17,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.008156570325585255,0.005663501355611976,0.0008,0.004863501355611976,0.8,0.8340134466504403,0.9592171483720738,1.0259379367393484,1.0243179177320747,"300316,001979,601186,600115,600183","0.206309,0.193042,0.195979,0.195268,0.188318","0.208004,0.201249,0.197538,0.196884,0.196324","0.563250,0.544959,0.534910,0.533139,0.531622","-0.002259,-0.008439,0.005175,0.031683,0.002962",300,40,16,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.004092913547548815,-0.0019422914003080544,0.0008,-0.0027422914003080545,0.8,1.6057596930273372,0.4982065519976783,1.0239452663075697,1.0215089395150967,"688012,300347,001979,300803,300408","0.104317,0.100050,0.195754,0.097586,0.097367","0.209384,0.200821,0.198485,0.195874,0.195435","0.559734,0.536843,0.530598,0.523619,0.522446","0.018676,-0.041569,0.017391,-0.007689,-0.024501",300,40,16,False,-0.001942291400308216,-0.0027422914003079057
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.002020847244432855,-0.002181527232231923,0.0008,-0.002981527232231923,0.8,1.580224934460306,0.5062570413579911,1.0217115018248046,1.0184632827939641,"688012,600515,601111,300316,600803","0.156257,0.101326,0.100744,0.150974,0.099578","0.206913,0.200147,0.198997,0.197250,0.196694","0.556195,0.538008,0.534918,0.530220,0.528725","0.042137,-0.035928,-0.010740,-0.009197,-0.026661",300,40,17,False,-0.0041195814709574785,-0.005715642416051048
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0007650486323905747,0.019420107347705075,0.0008,0.018620107347705077,0.8,1.287370267846623,0.6214218395288525,1.0415532488686274,1.037427178449284,"688012,002916,300316,002074,300408","0.186868,0.124193,0.180600,0.123302,0.140970","0.205517,0.199853,0.198648,0.198418,0.197563","0.562034,0.546543,0.543249,0.542620,0.540282","0.045554,-0.001417,0.010585,0.007499,0.058503",300,40,20,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.00022366536502871348,0.030411368954039897,0.0008,0.029611368954039898,0.8,1.1305094612456463,0.7076455593025501,1.0732283090052503,1.0681468173932942,"688012,002074,002916,300274,603019","0.199388,0.178440,0.176659,0.140185,0.139962","0.204560,0.201219,0.198335,0.198101,0.197785","0.557816,0.548707,0.540843,0.540204,0.539342","0.062720,0.031135,0.080858,0.057114,-0.071024",300,40,22,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.00011170444933039647,0.006097993602596892,0.0008,0.005297993602596892,0.8,1.5981674578748377,0.5005733260667187,1.0797728483676903,1.0738058523984781,"002493,601111,002074,600515,601838","0.103007,0.106158,0.188223,0.104645,0.098827","0.205778,0.200948,0.197984,0.197862,0.197428","0.552277,0.539314,0.531359,0.531030,0.529867","-0.016649,-0.013189,0.022199,0.081250,-0.035088",300,40,18,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,6.269599362396239e-05,-0.004285110072604251,0.0008,-0.005085110072604251,0.8,1.823431450267442,0.4387332465295936,1.0751459028590253,1.0683454314424252,"601816,002916,000596,600570,601066","0.087737,0.139746,0.087727,0.086677,0.086366","0.199979,0.205652,0.199954,0.197562,0.196854","0.535409,0.550598,0.535344,0.528938,0.527043","-0.022857,0.015684,-0.047955,-0.017615,0.014615",300,40,27,False,-0.004285110072604237,-0.00508511007260426
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,3.027594297388969e-05,-0.017358557645717677,0.0008,-0.018158557645717676,0.8,1.5470918118118542,0.5170992399365695,1.0564829207266897,1.0489458193400387,"300033,002916,300059,600570,600460","0.104149,0.171253,0.103323,0.144874,0.102839","0.201410,0.200677,0.199813,0.199223,0.198877","0.537950,0.535992,0.533686,0.532108,0.531185","-0.040302,-0.031880,-0.025214,-0.020202,-0.021097",300,40,27,False,-0.021569284388108456,-0.023151329453933833
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,1.6777156951142125e-05,-0.0035101927469397094,0.0008000000000000001,-0.00431019274693971,0.8000000000000002,1.7942913042870081,0.4458584835631768,1.052774462041089,1.0444246606775867,"600460,000002,601298,000938,600918","0.148106,0.089992,0.088065,0.088710,0.087972","0.204367,0.201841,0.197519,0.198964,0.197310","0.552683,0.545852,0.534163,0.538072,0.533598","-0.036140,0.025210,0.019837,-0.036392,0.011994",300,40,33,False,-0.025003764789432448,-0.02736173550857912
