profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.0035599232573968404,0.0008,0.0027599232573968405,0.8,1.0,0.8,1.0035599232573968,1.002759923257397,"601668,300316,601186,600905,601229","0.160432,0.161409,0.160245,0.159114,0.158801","0.200540,0.201761,0.200306,0.198892,0.198502","0.542268,0.545570,0.541636,0.537812,0.536757","0.000000,-0.006916,0.007762,0.002398,0.019211",300,40,21,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.062221362837602934,-0.008205996601229995,0.0008,-0.009005996601229995,0.8,1.161283079113427,0.6888931858119849,0.995324713938016,0.9937290707966911,"601186,300347,600905,600941,000538","0.187249,0.141128,0.186673,0.136645,0.136553","0.199444,0.204861,0.199119,0.198355,0.198221","0.543914,0.558689,0.543028,0.540945,0.540580","0.005175,-0.053474,0.004796,-0.012588,-0.005884",300,40,27,False,-0.008205996601230003,-0.009005996601230026
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.012891762332580825,-0.008495064557975168,0.0007999999999999999,-0.009295064557975168,0.7999999999999999,1.009071424874294,0.7928081008731971,0.9868693662369644,0.9844922949304993,"300347,601607,002252,600905,000538","0.192841,0.157637,0.157480,0.195727,0.185333","0.206356,0.198834,0.198636,0.198093,0.198081","0.568228,0.547515,0.546971,0.545476,0.545443","-0.041569,0.003930,-0.003021,0.002392,-0.005887",300,40,25,False,-0.016631350688315227,-0.01821734983938783
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0064516212000022,-0.013244143197719108,0.0008,-0.014044143197719109,0.8,1.6014260640799303,0.49955475182029413,0.9737991270330797,0.9706659441634443,"601012,600515,301269,300347,002493","0.101768,0.101153,0.099341,0.195219,0.098581","0.203717,0.202486,0.198859,0.197601,0.197337","0.565251,0.561837,0.551772,0.548281,0.547549","-0.035389,-0.035928,-0.037037,-0.018178,0.012371",300,40,23,False,-0.029655225895946824,-0.032005645967279506
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0031793722270745395,0.004254220074199219,0.0008,0.0034542200741992193,0.8,1.577293476964209,0.5071979385470781,0.9779418828275416,0.9740188379531152,"688012,002074,600515,601012,300316","0.102837,0.101590,0.151007,0.151052,0.103278","0.202755,0.200296,0.199445,0.198938,0.198566","0.552078,0.545384,0.543067,0.541686,0.540673","0.045554,0.007499,-0.002016,-0.013115,0.010585",300,40,24,False,-0.025527165679058994,-0.028661980437868273
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0010396443215658913,0.012362570898712491,0.0008,0.011562570898712491,0.8,1.1887015050424865,0.6730032700441534,0.9900317586888174,0.9852809998236297,"601111,002493,002074,601012,688012","0.135271,0.150578,0.167638,0.183748,0.167894","0.200996,0.200137,0.199730,0.199634,0.199503","0.547575,0.545234,0.544126,0.543865,0.543509","-0.025030,-0.028689,0.031135,0.023503,0.062720",300,40,23,False,-0.01348017617589703,-0.017430815720065995
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.000277989618154062,0.00016861922174467824,0.0008,-0.0006313807782553218,0.8,1.091984929032759,0.7326108435476406,0.9901986970734701,0.9846589123391609,"601111,002493,002074,002415,000938","0.185636,0.187829,0.191996,0.144217,0.144190","0.204019,0.201425,0.200886,0.196854,0.196816","0.559486,0.552372,0.550895,0.539838,0.539733","-0.013189,-0.016649,0.022199,-0.010544,0.020825",300,40,23,False,-0.013313829970968083,-0.01805119101632635
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,9.665030195449287e-05,-0.01052861498554893,0.0008,-0.01132861498554893,0.8,1.226384322959335,0.6523240594510819,0.9797732762327913,0.9735040906291812,"603392,601111,002493,601059,600515","0.131392,0.195844,0.196145,0.129323,0.134055","0.201421,0.201284,0.200578,0.198250,0.198467","0.549483,0.549111,0.547183,0.540833,0.541426","0.007710,-0.021713,-0.049898,0.000000,0.018634",300,40,29,False,-0.02370226876676962,-0.02917531100882076
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,5.217447748850912e-05,-0.0017128851258294653,0.0008,-0.002512885125829465,0.8,1.738477981959386,0.46017263853888113,0.978095037161247,0.9710577866799049,"000002,601816,601059,601995,000538","0.093155,0.092096,0.161861,0.091628,0.091995","0.202434,0.200134,0.200031,0.199117,0.198284","0.545373,0.539176,0.538899,0.536437,0.534191","0.002045,-0.015326,0.000000,0.000000,-0.005348",300,40,29,False,-0.025374554628980084,-0.031614881929574734
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,1.4988916008595865e-05,0.005541930960766378,0.0007999999999999999,0.004741930960766378,0.7999999999999999,1.1224674397723418,0.7127155511631194,0.9835155723302628,0.9756624756632556,"601298,000002,601059,601816,601995","0.142050,0.172682,0.188214,0.168134,0.167678","0.199308,0.204739,0.198836,0.198784,0.198333","0.541896,0.556661,0.540613,0.540469,0.539244","0.019837,0.025210,0.000000,-0.009690,0.000000",300,40,33,False,-0.019973247698127805,-0.02702286655625119
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-10,5,5,5.680478596281624e-06,-0.0008617531787444965,0.0008,-0.0016617531787444964,0.8,1.2882004009601145,0.6210213872032243,0.9826680246594625,0.9740411654429404,"600741,600406,601059,601901,601995","0.125375,0.124058,0.195295,0.123820,0.187349","0.201885,0.199764,0.199616,0.199382,0.199353","0.543903,0.538188,0.537789,0.537159,0.537082","-0.009596,0.005307,0.000000,-0.002561,0.000000",300,40,35,False,-0.020817788867178555,-0.028639714400597094
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-11,5,5,1.0033643251805557e-06,0.03380656089558325,0.0008,0.03300656089558325,0.8,0.9716210923093148,0.823366234360545,1.0158886510752552,1.0061909144849377,"601059,601995,603392,601878,601901","0.200668,0.199172,0.165245,0.163749,0.185354","0.201821,0.201709,0.199038,0.198878,0.198554","0.541451,0.541148,0.533984,0.533554,0.532686","0.068016,0.100029,-0.018491,0.005489,0.012903",300,40,31,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-12,5,5,3.3463177695480795e-07,-0.001483547970359986,0.0008,-0.002283547970359986,0.8,1.2003176191298708,0.6664902582867464,1.0143815315288407,1.003893229264371,"601059,601995,002459,300413,002241","0.200715,0.200204,0.133686,0.132932,0.132305","0.200739,0.200720,0.200581,0.199451,0.198509","0.545964,0.545912,0.545536,0.542462,0.539901","0.006183,0.022643,-0.005396,-0.003807,-0.045579",300,40,28,False,-0.0014835479703599885,-0.0022835479703600114
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-15,5,5,8.952166052900168e-08,0.010710574472803509,0.0008000000000000001,0.009910574472803508,0.8000000000000002,1.0921843026967533,0.732477108510615,1.0252461404661168,1.0138423878757385,"601066,601995,601059,600795,601878","0.149073,0.199798,0.199931,0.146025,0.159514","0.203520,0.199650,0.199645,0.199358,0.197827","0.554230,0.543693,0.543679,0.542896,0.538728","0.019556,0.024649,0.006745,0.003413,0.006416",300,40,25,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-16,5,5,2.9867380457737625e-08,0.008697891418778402,0.0008,0.007897891418778401,0.8,1.200539650059271,0.6663669958426643,1.0341636200734126,1.0218496049709362,"601995,601059,000651,601186,601018","0.200068,0.200112,0.133406,0.133371,0.132773","0.200203,0.200203,0.200198,0.200146,0.199250","0.544310,0.544310,0.544298,0.544154,0.541718","0.031814,0.005059,0.000735,0.006468,0.002710",300,40,28,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-17,5,5,9.980278714571966e-09,-0.02012377664385072,0.0008,-0.020923776643850717,0.8,1.2014774535026027,0.6658468685099358,1.0133523423698592,1.0004686520729174,"000708,601607,688256,601995,601059","0.133565,0.132969,0.133467,0.199777,0.199792","0.200594,0.199698,0.200447,0.199630,0.199630","0.550517,0.548060,0.550114,0.547873,0.547873","0.031496,0.000000,0.026923,-0.075560,-0.064211",300,40,26,False,-0.020123776643850677,-0.0209237766438507
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-18,5,5,5.801955138551307e-09,0.002131902039300345,0.0008000000000000001,0.0013319020393003447,0.8000000000000002,1.910867573022097,0.4186580018911384,1.0155127102950872,1.0018011783108693,"688009,601186,003816,600023,601868","0.084002,0.109614,0.083667,0.083665,0.083618","0.200647,0.199937,0.199845,0.199841,0.199729","0.546872,0.544939,0.544688,0.544677,0.544371","0.005515,0.005141,0.000000,-0.003876,0.017094",300,40,31,False,-0.01803477652501584,-0.019619743025332093
