profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,risk_penalty,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601668,0.20053961646472035,0.1604316931717763,0.5422677,0.0,0.9138095238095237,0.38571428571428573,0.0110995408537291,0.0085779031460678,0.2341,-0.4855058130590536,-0.4195519348268839
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,300316,0.2017607509958136,0.16140860079665087,0.5455697,-0.0069156293222682,0.9,1.0,0.0294358002795382,0.0289628358516815,2.3847,0.4840006471928011,0.9543023821098692
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601186,0.20030617710976517,0.16024494168781214,0.54163647,0.0077619663648124,0.88,0.24761904761904763,0.0059976078515267,0.0088082456514625,0.1496,-0.5016489556614144,-0.2524271844660195
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600905,0.19889189844434302,0.15911351875547441,0.5378122,0.0023980815347721,0.8209523809523809,0.3619047619047619,0.0092757313528556,0.0048877093044581,0.2727,-0.3495993131081855,-0.3277310924369745
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601229,0.19850155698535787,0.15880124558828632,0.5367567,0.019211324570273,0.7473809523809524,0.6214285714285714,0.0122623634482926,0.0102928229851463,0.2459,-0.3162797163909356,-0.371101871101871
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601186,0.1994437467194545,0.1872487313660831,0.5439144,0.0051746442432082,0.9398148148148148,0.23148148148148145,0.0059972741591806,0.0087340058456186,0.1415,-0.501514831254844,-0.3538767395626243
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,300347,0.20486125670178243,0.14112752377873775,0.5586888,-0.0534738485558156,0.917037037037037,0.8296296296296297,0.0200785698082803,0.0156845281476603,1.4429,-0.2765968113907551,-0.0783090783090783
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600905,0.1991187929246243,0.18667287952714198,0.5430282,0.0047961630695441,0.8990740740740741,0.2685185185185185,0.0076601106741483,0.0048877093044581,0.1784,-0.5461021778953796,-0.2814371257485025
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600941,0.19835504883574817,0.1366454415143504,0.54094535,-0.0125879303961495,0.8638888888888888,0.25,0.0059264285834298,0.0037909930464205,0.9458,-0.2068696592843546,-0.2457627118644069
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,000538,0.19822115481839062,0.1365532028381718,0.5405802,-0.0058844507845934,0.8312962962962963,0.20555555555555555,0.0064666083021048,0.0040766160776754,0.2421,-0.3704820843517603,-0.4242424242424243
