dimension,our_value,case_value,judgement,reason
our_current_default_feature_set,base_alpha_v3_rs_crowding_mini4,not_disclosed_as_clean_feature_bundle,different_design,Feature bundles are different in design and size.
our_feature_count,20,reported_large_mixed_bundle_approx_197,different_design,The zip system uses a much wider feature bundle.
current_live_case_slice_score,-0.005101713484383047,0.0251794912169185,case_stronger,Direct single-slice comparison against the zip scoring logic.
current_live_vs_case_reported_best,-0.005101713484383047,0.037838,case_stronger,Direct single-slice comparison against the best score published by the zip project.
previous_default_case_slice_score,-0.0387391261901916,0.0251794912169185,case_stronger,Historical baseline before the latest inference-layer refinement.
frozen_mini4_case_slice_score,-0.0158350415650904,0.0251794912169185,case_stronger,Older frozen mini4 result kept for experiment traceability.
local_cumulative_return_after_cost,0.935571619432464,,our_stronger_but_not_same_protocol,The zip project does not expose enough artifacts for a same-protocol multi-period rebuild.
local_sharpe_after_cost,3.6295252848094974,,our_stronger_but_not_same_protocol,Same as above.
local_max_drawdown_after_cost,-0.0428936280873258,,our_stronger_but_not_same_protocol,Same as above.
local_avg_turnover,0.7612811507926904,,our_stronger_but_not_same_protocol,Same as above.
reproducibility_and_pipeline_completeness,full_train_test_backtest_validator_snapshot,partial_public_artifacts,our_stronger,Our repo has a more complete reproducible pipeline.
ablation_and_iteration_evidence,feature_execution_model_ablation_complete,not_publicly_complete,our_stronger,Our repo includes more experiment evidence.
engineering_controllability,high,medium_unknown,our_stronger,The current repo is easier to iterate and verify locally.
baseline_vs_other_our_models,"mini4 beats lightgbm=0.295839, xgboost=0.137837, transformer=0.243178",,our_stronger_internal_evidence,The current default was chosen after internal model comparison.
