label,case_slice_score,weight_sum,stock_ids,weight_mode,result_path,rank
result_hybrid_aggressive4_case_fill_equal,0.07595662676831758,1.0,"000792,600233,601669,600930,600023",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_aggressive4_case_fill_equal.csv,1
result_hybrid_aggressive3_case_fill_equal,0.06880697168190866,1.0,"000792,600233,601669,600023,601668",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_aggressive3_case_fill_equal.csv,2
result_hybrid_rankblend_cur0p25_case0p20_aggr0p55_predcap20,0.06396560614195504,1.0,"000792,600233,601668,601018,601669",pred_cap20,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_rankblend_cur0p25_case0p20_aggr0p55_predcap20.csv,3
result_hybrid_rankblend_cur0p25_case0p20_aggr0p55,0.06396560614195504,1.0,"000792,600233,601668,601018,601669",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_rankblend_cur0p25_case0p20_aggr0p55.csv,4
result_hybrid_aggressive2_case_fill_equal,0.03881303034401352,1.0,"000792,600233,600023,601668,601018",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_aggressive2_case_fill_equal.csv,5
result_hybrid_rankblend_cur0p25_case0p50_aggr0p25_predcap20,0.036532382620608914,1.0,"601668,600023,601018,601818,000792",pred_cap20,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_rankblend_cur0p25_case0p50_aggr0p25_predcap20.csv,6
result_hybrid_rankblend_cur0p25_case0p50_aggr0p25,0.036532382620608914,1.0,"601668,600023,601018,601818,000792",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_rankblend_cur0p25_case0p50_aggr0p25.csv,7
result_hybrid_rankblend_cur0p25_case0p35_aggr0p40,0.036532382620608914,1.0,"601668,601018,000792,600023,601818",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_rankblend_cur0p25_case0p35_aggr0p40.csv,8
result_hybrid_aggressive1_case_fill_equal,0.036532382620608914,1.0,"000792,600023,601668,601018,601818",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_aggressive1_case_fill_equal.csv,9
result_hybrid_rankblend_cur0p25_case0p35_aggr0p40_predcap20,0.03653238262060891,1.0,"601668,601018,000792,600023,601818",pred_cap20,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_rankblend_cur0p25_case0p35_aggr0p40_predcap20.csv,10
result_hybrid_rankblend_cur0p40_case0p20_aggr0p40,0.0308949539745618,1.0,"601668,601018,601818,000792,688396",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_rankblend_cur0p40_case0p20_aggr0p40.csv,11
result_hybrid_rankblend_cur0p40_case0p20_aggr0p40_predcap20,0.030894953974561795,1.0,"601668,601018,601818,000792,688396",pred_cap20,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_rankblend_cur0p40_case0p20_aggr0p40_predcap20.csv,12
result_hybrid_hybrid_current0_case5_equal,0.02517949121691857,1.0,"600023,601668,601018,601818,601186",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_hybrid_current0_case5_equal.csv,13
result_hybrid_hybrid_current1_case4_equal,0.022511166269210965,1.0,"688396,600023,601668,601018,601818",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_hybrid_current1_case4_equal.csv,14
result_hybrid_case_first4_fill_current_equal,0.022511166269210965,1.0,"600023,601668,601018,601818,688396",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_case_first4_fill_current_equal.csv,15
result_hybrid_rankblend_cur0p40_case0p35_aggr0p25,0.022511166269210965,1.0,"601668,601018,601818,600023,688396",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_rankblend_cur0p40_case0p35_aggr0p25.csv,16
result_hybrid_rankblend_cur0p40_case0p35_aggr0p25_predcap20,0.022511166269210955,0.9999999999999998,"601668,601018,601818,600023,688396",pred_cap20,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_rankblend_cur0p40_case0p35_aggr0p25_predcap20.csv,17
result_hybrid_case_first3_fill_current_equal,0.018274350896871804,1.0,"600023,601668,601018,688396,600183",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_case_first3_fill_current_equal.csv,18
result_hybrid_hybrid_current2_case3_equal,0.018274350896871804,1.0,"688396,600183,600023,601668,601018",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_hybrid_current2_case3_equal.csv,19
result_hybrid_case_first2_fill_current_equal,0.016594283803579322,1.0,"600023,601668,688396,600183,300316",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_case_first2_fill_current_equal.csv,20
result_hybrid_hybrid_current3_case2_equal,0.016594283803579322,1.0,"688396,600183,300316,600023,601668",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_hybrid_current3_case2_equal.csv,21
result_hybrid_rankblend_cur0p55_case0p20_aggr0p25,0.016168861342250727,1.0,"601668,601018,601818,688396,600183",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_rankblend_cur0p55_case0p20_aggr0p25.csv,22
result_hybrid_rankblend_cur0p55_case0p20_aggr0p25_predcap20,0.016168861342250724,0.9999999999999998,"601668,601018,601818,688396,600183",pred_cap20,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_rankblend_cur0p55_case0p20_aggr0p25_predcap20.csv,23
result_hybrid_case_first1_fill_current_equal,0.010633904413840451,1.0,"600023,688396,600183,300316,600584",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_case_first1_fill_current_equal.csv,24
result_hybrid_hybrid_current4_case1_equal,0.010633904413840448,1.0,"688396,600183,300316,600584,600023",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_hybrid_current4_case1_equal.csv,25
result_hybrid_hybrid_current5_case0_equal,-0.0056685705382033885,1.0,"688396,600183,300316,600584,600115",equal,app\model\case_zip_hybrid_search_from_desktop\generated_results\result_hybrid_hybrid_current5_case0_equal.csv,26
