profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,-0.003342311114032705,0.0008,-0.004142311114032705,0.8,1.0,0.8,0.9966576888859673,0.9958576888859673,"600941,600519,601059,601995,600050","0.162050,0.159519,0.160132,0.159221,0.159078","0.202563,0.199399,0.200165,0.199026,0.198848","0.524505,0.516313,0.518296,0.515348,0.514887","-0.011328,-0.009445,0.000000,0.000000,0.000000",300,40,30,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.0,-0.004794693066966293,0.0005190380547233828,-0.005313731121689676,0.5190380547233828,0.5190380547233828,1.0,0.9918790211749271,0.99056596889176,"600941,601059,601995,000538,600050","0.200894,0.201816,0.200134,0.199172,0.197984","0.200894,0.201816,0.200134,0.199172,0.197984","0.524659,0.527067,0.522673,0.520160,0.517058","-0.012588,0.000000,0.000000,-0.005884,-0.005525",300,40,31,False,-0.004794693066966338,-0.0053137311216896466
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,1.1102230246251565e-16,0.0004389705782161888,0.0003994024932363954,3.956808497979341e-05,0.3994024932363954,0.3994024932363954,1.0,0.9923144268823727,0.9906051636901952,"601059,601995,000538,600941,000651","0.202404,0.200553,0.199781,0.199177,0.198084","0.202404,0.200553,0.199781,0.199177,0.198084","0.531794,0.526931,0.524900,0.523315,0.520444","0.000000,0.000000,-0.005887,-0.004686,0.012865",300,40,29,False,-0.004357827217938093,-0.0052743732908743235
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,1.1102230246251565e-16,-0.0046723531767247995,0.0008000000000000001,-0.0054723531767248,0.8000000000000002,1.1940842513731869,0.6699694758389174,0.987677983417619,0.9851842223757953,"601059,601995,600900,600515,600674","0.203827,0.201804,0.132705,0.132809,0.131813","0.204527,0.202420,0.198077,0.198231,0.196745","0.536180,0.530656,0.519269,0.519673,0.515776","0.000000,0.000000,0.001427,-0.035928,-0.000684",300,40,20,False,-0.009009819086817528,-0.01071786323416557
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0,-0.0025213797095719115,0.0006597016574795504,-0.003181081367051462,0.6597016574795503,0.6597016574795503,1.0,0.985187672190639,0.9820502712028826,"601059,601995,600674,002074,600900","0.205019,0.202852,0.198861,0.196742,0.196527","0.205019,0.202852,0.198861,0.196742,0.196527","0.540394,0.534683,0.524163,0.518580,0.518011","0.000000,0.000000,-0.008904,0.007499,-0.011327",300,40,23,False,-0.01150848162135698,-0.013864850206188217
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0,-0.01103834651344909,0.0007912061771908499,-0.01182955269063994,0.7912061771908498,0.7912061771908498,1.0,0.9743128292842205,0.9704330557748309,"601059,601995,600900,600600,000538","0.205415,0.203522,0.197888,0.196930,0.196246","0.205415,0.203522,0.197888,0.196930,0.196246","0.542788,0.537786,0.522900,0.520368,0.518562","0.000000,0.000000,-0.013074,-0.040412,-0.002511",300,40,30,False,-0.022419793526825882,-0.025530387920766118
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,2.220446049250313e-16,-0.009451889179574378,0.00039886083493174783,-0.009850750014506126,0.39886083493174784,0.39886083493174784,1.0,0.9651037323955884,0.9608735623365797,"601059,601995,600900,000538,601838","0.203945,0.202490,0.199439,0.197224,0.196902","0.203945,0.202490,0.199439,0.197224,0.196902","0.543955,0.540075,0.531936,0.526028,0.525170","0.000000,0.000000,-0.011331,-0.001435,-0.035088",300,40,33,False,-0.03165977330255576,-0.03512964446609146
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0,-0.007909050469693844,0.0008,-0.008709050469693844,0.8,1.187129199155491,0.6738946363791827,0.9574706782675818,0.952505265987196,"601059,601995,000333,000651,600027","0.204245,0.203052,0.133801,0.132910,0.132427","0.204390,0.203324,0.198548,0.197227,0.196510","0.544441,0.541601,0.528879,0.525361,0.523448","0.000000,0.000000,-0.043976,-0.003914,-0.011364",300,40,33,False,-0.03931842502734062,-0.043532749089147615
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,1.1102230246251565e-16,0.004669503559212506,0.0008,0.0038695035592125064,0.8,1.0567735620021474,0.7570212094295129,0.961941591007594,0.956190988504102,"601059,601995,000538,600795,601607","0.204333,0.203457,0.165107,0.150051,0.148665","0.204361,0.203587,0.197458,0.198213,0.196381","0.544580,0.542517,0.526184,0.528197,0.523316","0.000000,0.000000,-0.005348,0.031469,0.005587",300,40,33,False,-0.03483251899373574,-0.03983169565747802
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,1.1102230246251565e-16,0.00242944100512168,0.0005869876104254813,0.0018424533946961989,0.5869876104254813,0.5869876104254813,1.0,0.96427857135332,0.9579527258368492,"601059,601995,600795,601607,601816","0.204434,0.203924,0.198761,0.196499,0.196382","0.204434,0.203924,0.198761,0.196499,0.196382","0.544521,0.543163,0.529410,0.523386,0.523073","0.000000,0.000000,0.017361,0.004487,-0.009690",300,40,33,False,-0.03248770153856906,-0.03806263030566248
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-10,5,5,1.1102230246251565e-16,0.000773240074975319,0.0007889207743439588,-1.5680699368639727e-05,0.7889207743439588,0.7889207743439588,1.0,0.9650241901881303,0.957937704468146,"601059,601995,600795,000538,600023","0.203530,0.203249,0.200517,0.196522,0.196182","0.203530,0.203249,0.200517,0.196522,0.196182","0.544217,0.543464,0.536160,0.525478,0.524570","0.000000,0.000000,0.003436,0.004313,-0.003891",300,40,36,False,-0.031739582256367194,-0.03807771415636818
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-11,5,5,0.0,0.04556781204015571,0.0003962326541035781,0.04517157938605213,0.3962326541035781,0.3962326541035781,1.0,1.0089982311008265,1.0012092635324212,"601059,601995,600795,601066,000538","0.204248,0.204103,0.200093,0.196544,0.195012","0.204248,0.204103,0.200093,0.196544,0.195012","0.544059,0.543673,0.532991,0.523539,0.519457","0.068016,0.100029,0.017153,0.034496,0.005372",300,40,38,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-12,5,5,0.0,0.01468953023771167,2.5051692224983545e-06,0.014687025068489172,0.0025051692224983546,0.0025051692224983546,1.0,1.0238199411263798,1.0159140490847256,"601059,601995,600795,601066,000538","0.204359,0.204299,0.201039,0.195323,0.194981","0.204359,0.204299,0.201039,0.195323,0.194981","0.543916,0.543758,0.535080,0.519866,0.518957","0.006183,0.022643,0.015254,0.013253,0.016129",300,40,34,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-15,5,5,0.0,0.010537340485496713,0.0003954327811990147,0.010141907704297699,0.3954327811990147,0.3954327811990147,1.0,1.0346082804418697,1.0262173556060423,"601059,601995,600795,601066,600023","0.203407,0.203392,0.200162,0.196784,0.196255","0.203407,0.203392,0.200162,0.196784,0.196255","0.543822,0.543780,0.535146,0.526115,0.524699","0.006745,0.024649,0.003413,0.019556,-0.001934",300,40,35,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-16,5,5,0.0,0.009230717294655666,0.0007933732081031765,0.008437344086552489,0.7933732081031765,0.7933732081031765,1.0,1.0441584569893385,1.0348759045428824,"601995,601059,000651,600795,601186","0.202435,0.202435,0.198723,0.198443,0.197964","0.202435,0.202435,0.198723,0.198443,0.197964","0.543797,0.543797,0.533825,0.533073,0.531785","0.031814,0.005059,0.000735,0.001712,0.006468",300,40,34,False,0.0,0.0
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-17,5,5,0.0,-0.029279309471598347,5.77143341793851e-06,-0.029285080905016286,0.00577143341793851,0.00577143341793851,1.0,1.013586218389761,1.0045694799516922,"601995,601059,601186,600795,000651","0.203878,0.203878,0.197443,0.197850,0.196950","0.203878,0.203878,0.197443,0.197850,0.196950","0.543797,0.543797,0.526634,0.527720,0.525319","-0.075560,-0.064211,0.006452,-0.003373,-0.007056",300,40,31,False,-0.029279309471598403,-0.029285080905016247
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-18,5,5,0.0,-0.002195790812066425,0.0008,-0.002995790812066425,0.8,1.2112129258399376,0.6604949327511722,1.0113605950841835,1.0015599999335705,"600900,000651,601186,600023,601985","0.133106,0.199302,0.199188,0.131404,0.131393","0.201525,0.200512,0.200085,0.198947,0.198932","0.529264,0.526603,0.525483,0.522494,0.522453","-0.014270,-0.006343,0.005141,-0.003876,0.003448",300,40,35,False,-0.03141080904494353,-0.032193139740776866
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-19,5,5,1.1102230246251565e-16,0.0004907737304739365,0.0008,-0.0003092262695260636,0.8,1.2030188253666834,0.6649937499990143,1.0118569442962875,1.0012502912710846,"000651,000538,601186,000001,000408","0.200918,0.133441,0.199272,0.132333,0.132526","0.201732,0.200666,0.199315,0.198999,0.199289","0.532266,0.529452,0.525887,0.525054,0.525818","-0.006320,0.004069,-0.001280,-0.004307,0.015414",300,40,37,False,-0.03093545091440164,-0.03249241104579648
lstm_sl10_base__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-22,5,5,0.0,-6.048893227204069e-05,0.0008,-0.0008604889322720408,0.8,1.4684512375432783,0.5447916686279631,1.011795738150115,1.0003887264770115,"000538,601919,300628,600999,000001","0.170223,0.109762,0.108638,0.108601,0.168550","0.200956,0.201476,0.199413,0.199344,0.198811","0.530118,0.531490,0.526048,0.525868,0.524461","0.001944,-0.008464,0.005233,-0.002980,0.001736",300,40,37,False,-0.030994068594278446,-0.03332494061798097
