feature,spearman_to_target,spearman_to_prediction
reversal_risk_score,0.03761425469744559,-0.17887738482005766
amount_ratio_10d,-0.02845413571112508,-0.10664841813303987
close_position_20d,0.026586980413216426,0.20133957259492916
ret_20d,0.02173132666832347,0.13979984421215405
ret_3d_zscore_cross_section,0.020305619601867417,-0.06029841455640418
ret_15d,0.014394758043073896,0.17150264564328993
relative_to_market_10d,0.009512504688245684,0.04496655861229947
volume_spike_zscore,-0.009466441482173165,-0.08917577314052345
turnover_spike_zscore,-0.008794310432939514,-0.08818781641286838
ret_2d,0.006272942931734139,-0.017364374859908032
close_position_10d,0.006192004576057683,0.10801180892797495
ret_7d,-0.005659541523944576,0.022501582625548824
relative_to_market_5d,-0.0030395773777329147,-0.05561233605732169
overheat_score,-0.001746908206112394,-0.11625415369488667
ret_1d_zscore_cross_section,0.00030158885728907484,0.02028838234069458
