profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-11-26,5,5,0.35,0.005227817473164528,0.0006500000000000001,0.004577817473164527,0.65,1.0,0.65,1.0052278174731646,1.0045778174731645,"600941,601728,601398,000895,601127","0.151885,0.137203,0.118252,0.128095,0.114565","0.233670,0.211082,0.181925,0.197069,0.176254","0.548100,0.567253,0.542609,0.531581,0.532092","-0.011328,0.019034,-0.011043,0.020030,0.026859",300,55,36,False,0.0,0.0
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-11-27,5,5,0.13774472950063932,-0.0007808392913271137,0.00065,-0.0014308392913271136,0.6499999999999999,1.0718226193619311,0.6064436299981734,1.0044428960965466,1.0031404280607283,"600941,300347,001965,000333,601728","0.210056,0.106648,0.130348,0.106761,0.166404","0.247806,0.175857,0.214938,0.176045,0.185354","0.544821,0.592376,0.538626,0.542165,0.535176","-0.012588,-0.053474,0.003960,0.029198,0.023634",300,55,29,False,-0.0007808392913271067,-0.0014308392913270351
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-11-28,5,5,0.05654423072958226,0.0027018680906120947,0.0006500000000000002,0.0020518680906120943,0.6500000000000001,1.1026296085674896,0.5894998601066633,1.0071567683063518,1.0051987398954692,"000333,300347,601728,601066,601021","0.182087,0.157996,0.184249,0.118968,0.102112","0.234540,0.193753,0.196676,0.201812,0.173218","0.532188,0.587597,0.546979,0.539067,0.526384","0.026190,-0.041569,0.007299,0.026994,-0.000546",300,55,42,False,0.0,0.0
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-01,5,5,0.02827117762575715,0.0056259022992859314,0.00065,0.004975902299285932,0.6499999999999999,1.2999568825927768,0.5000165841682138,1.012822933884908,1.0102005106165544,"000895,601066,000333,000568,600690","0.126032,0.158640,0.193119,0.086529,0.096566","0.231362,0.198309,0.204151,0.173052,0.193126","0.539054,0.547785,0.536272,0.537601,0.536105","-0.015786,0.033386,0.036205,-0.054815,0.000727",300,55,41,False,0.0,0.0
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-02,5,5,0.015772068613646217,-0.005150697846082825,0.0006500000000000001,-0.005800697846082826,0.65,1.4702060314008332,0.4421149050658368,1.0076061889808836,1.004340642690509,"601018,601728,601066,688506,600900","0.097754,0.138998,0.170682,0.085426,0.089152","0.221105,0.198148,0.185877,0.193221,0.201649","0.565789,0.558435,0.544661,0.542564,0.537746","-0.028947,-0.021552,0.019010,-0.018263,-0.011327",300,55,39,False,-0.005150697846082908,-0.005800697846082947
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-03,5,5,0.008832233708974568,-0.012488710854491936,0.0006500000000000001,-0.013138710854491935,0.65,1.4772461794399216,0.4400079073119952,0.9950224866315047,0.9911449013867839,"601018,600025,600926,000895,688506","0.149828,0.087356,0.084029,0.129500,0.131247","0.216102,0.198533,0.190972,0.204829,0.189564","0.555410,0.580125,0.551126,0.533564,0.548527","-0.026385,-0.028986,-0.010114,-0.032234,-0.007461",300,55,35,False,-0.01757508312447631,-0.018863195008820832
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-04,5,5,0.005683244519574804,-0.007377574282546903,0.0006500000000000001,-0.008027574282546903,0.65,1.823109437834465,0.356533725573867,0.9876816343235763,0.9831884120661339,"600018,600926,600741,600023,000651","0.073931,0.130949,0.068410,0.068948,0.068366","0.207361,0.215629,0.191875,0.193383,0.191751","0.569561,0.563047,0.540130,0.540067,0.539664","-0.022807,-0.032299,-0.005025,-0.005803,-0.010503",300,55,38,False,-0.024822995925750435,-0.026739343592228182
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-05,5,5,0.0036933362335141995,-0.0038420801765502517,0.0006500000000000001,-0.004492080176550252,0.65,1.856421707272208,0.35013596180961387,0.9838868822955988,0.9787718508904778,"601668,600023,688009,601816,601868","0.072048,0.118695,0.065053,0.068578,0.070568","0.205770,0.211028,0.185795,0.195862,0.201545","0.583383,0.569286,0.580805,0.571733,0.564193","-0.026266,-0.001942,0.011342,-0.022857,-0.012605",300,55,43,False,-0.02856970416173188,-0.03111130849349375
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-08,5,5,0.002334195364484204,0.001350317753502386,0.0006500000000000001,0.000700317753502386,0.65,1.766313269276885,0.36799814127315306,0.9852154422202006,0.9794573021942847,"000538,601868,000651,601607,600795","0.085792,0.120674,0.098020,0.073847,0.062343","0.233132,0.206726,0.190058,0.200673,0.169411","0.564496,0.559156,0.546963,0.546164,0.551066","-0.005348,-0.008475,0.004666,0.005587,0.031469",300,55,37,False,-0.027257964586971384,-0.03043277854166415
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-09,5,5,0.0014013322340068468,0.002094902663250884,0.0006500000000000001,0.001444902663250884,0.65,1.6264197151177324,0.39965083671710666,0.9872793726739836,0.9808725226587657,"601066,600795,600460,000651,600196","0.102420,0.118183,0.070509,0.144509,0.075469","0.218328,0.202066,0.176426,0.214344,0.188837","0.574048,0.551252,0.585960,0.538448,0.549027","0.025849,0.017361,-0.036140,0.011911,-0.023550",300,55,45,False,-0.025220164706328596,-0.02903184828117833
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-10,5,5,0.0008935350309133838,-0.005252634398636847,0.0006500000000000002,-0.005902634398636847,0.6500000000000001,1.793759293189303,0.3623674605996329,0.9820935550800116,0.9750827907658424,"601066,002594,601901,600276,002049","0.154541,0.070210,0.073255,0.067427,0.062240","0.246256,0.193755,0.202156,0.186074,0.171759","0.571328,0.558036,0.548683,0.548012,0.545089","0.027203,-0.025572,-0.002561,-0.066237,-0.048320",300,55,46,False,-0.030340326800289752,-0.034763118293494655
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-11,5,5,0.0005060108931639329,-0.004176136508963681,0.0006500000000000001,-0.004826136508963681,0.65,1.4987395971425532,0.433697755927226,0.9779921983294241,0.9703769081100652,"600276,600018,601066,601816,603259","0.128537,0.105707,0.173753,0.098878,0.068503","0.208331,0.228556,0.198839,0.206324,0.157950","0.574539,0.549361,0.555720,0.535588,0.545495","-0.051043,-0.007207,0.034496,-0.001949,-0.038749",300,55,46,False,-0.03438975796280885,-0.03942148324809669
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-12,5,5,0.00028009505575254945,-0.006868890018982718,0.0006500000000000001,-0.0075188900189827185,0.65,1.4558832365416576,0.44646437549760287,0.9712744774796761,0.9630807508610251,"601728,601398,002594,600276,601816","0.096831,0.085560,0.104887,0.159795,0.149845","0.211355,0.191427,0.185632,0.198550,0.213036","0.544706,0.550652,0.544644,0.537955,0.535171","-0.004484,0.017903,-0.026411,-0.041640,0.009728",300,55,46,False,-0.04102242851656557,-0.04664396747015176
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-15,5,5,0.00018546581886291769,0.0002439108627538812,0.00065,-0.00040608913724611876,0.6499999999999999,1.9239485831589989,0.33784686643379114,0.9715113818754489,0.9626896542298096,"600023,000651,600011,600027,601919","0.086517,0.094879,0.066436,0.059877,0.055224","0.238442,0.224225,0.196644,0.177231,0.163458","0.559379,0.557177,0.546831,0.549962,0.550197","-0.001934,0.008828,-0.008861,-0.013233,0.017287",300,55,47,False,-0.04078852346974349,-0.04703111499889023
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-16,5,5,0.00012465773318637297,0.00427633856729371,0.00065,0.0036263385672937096,0.6499999999999999,1.9825123734733008,0.32786680612803437,0.9756658934663277,0.9661806928512777,"600025,603288,000538,600030,002459","0.069513,0.074694,0.077709,0.060618,0.051148","0.208254,0.227819,0.223039,0.184885,0.156003","0.581224,0.548699,0.546629,0.549392,0.555786","-0.012793,0.028812,0.012167,0.007022,0.032110",300,55,42,False,-0.03668661043846644,-0.0435753271777799
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-17,5,5,7.296639051568299e-05,0.00039182261054706213,0.0006500000000000001,-0.00025817738945293795,0.65,1.56752605725874,0.41466615306970256,0.9760481814237274,0.9659312468422576,"000651,000538,603288,603195,000999","0.121825,0.129444,0.123085,0.081393,0.085455","0.203771,0.202471,0.191392,0.196285,0.206080","0.571082,0.566049,0.560523,0.548545,0.544421","-0.007056,0.000890,0.016972,-0.017668,0.005678",300,55,51,False,-0.036309162471393486,-0.04382225440301746
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-18,5,5,4.2414158112236144e-05,-4.3603192715897896e-05,0.0006500000000000001,-0.000693603192715898,0.65,1.552362956946763,0.4187165102666716,0.9760056226067728,0.9652612738455038,"603288,600887,000999,002352,600018","0.172429,0.090201,0.125894,0.077147,0.083126","0.240930,0.215423,0.182034,0.184247,0.177366","0.572449,0.568816,0.568911,0.565151,0.558080","-0.004532,0.003472,0.005967,0.001571,-0.005386",300,55,48,False,-0.03635118246870073,-0.04448546234016737
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-19,5,5,2.4036317054942913e-05,-0.00041781572155596047,0.0006500000000000001,-0.0010678157215559606,0.65,1.5001328331748687,0.4332949627029664,0.9755978321133206,0.9642305526818823,"601018,000538,600018,000895,600887","0.097434,0.138188,0.129859,0.078911,0.130529","0.223927,0.220512,0.190981,0.181306,0.183274","0.562944,0.554675,0.555548,0.554478,0.550846","-0.008086,0.004069,-0.003591,-0.008484,0.007229",300,55,45,False,-0.036753810094724226,-0.045505775785655955
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-22,5,5,1.3324951104842775e-05,0.0016658927186670607,0.0006500000000000001,0.0010158927186670608,0.65,1.4586007198802464,0.445632578635616,0.9772230734381855,0.965210107479468,"600519,600019,600887,000538,601901","0.106271,0.086755,0.156916,0.162564,0.083187","0.238473,0.194678,0.189741,0.192889,0.184219","0.553351,0.565521,0.551213,0.550555,0.545336","0.004168,0.016644,-0.007506,0.001944,0.007702",300,55,46,False,-0.03514914528067736,-0.04453611205326691
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-23,5,5,8.892652262004752e-06,-0.0005090667480593587,0.0006500000000000001,-0.0011590667480593586,0.65,1.9541142250058237,0.33263152771842847,0.9767256016660617,0.9640913645389978,"601390,601868,600028,000651,601088","0.080435,0.069696,0.057109,0.084058,0.056640","0.241815,0.208147,0.171689,0.208070,0.170278","0.556393,0.554547,0.555647,0.547284,0.554006","0.009242,-0.008439,0.015254,-0.003676,-0.021655",300,55,44,False,-0.03564031876765161,-0.04564355847475743
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-24,5,5,5.749723425596542e-06,-0.0038131723449351222,0.0006500000000000001,-0.004463172344935123,0.65,1.839120219134043,0.35342985914539893,0.9730011786131986,0.9597884586227966,"601390,601211,601117,300251,600406","0.130157,0.070263,0.067547,0.068978,0.068492","0.221119,0.198803,0.191118,0.195167,0.193794","0.550212,0.548195,0.544980,0.544565,0.543044","-0.003690,-0.018199,-0.019531,0.007463,-0.018245",300,55,47,False,-0.03931758843469724,-0.049903015751783575
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-25,5,5,3.409661704645295e-06,-0.002871893743197053,0.0006500000000000001,-0.003521893743197053,0.65,1.597103270031001,0.4069868318454968,0.9702068226162159,0.9564081856555803,"601390,600406,601939,600030,603260","0.171782,0.130845,0.085505,0.072713,0.065602","0.232433,0.221698,0.210093,0.174587,0.161189","0.552273,0.549223,0.548236,0.551639,0.568165","0.001852,-0.015264,0.010881,-0.004489,-0.027390",300,55,51,False,-0.04207656624167111,-0.053249156376037776
