profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-11-26,5,5,0.35,-0.0005039156086150075,0.0006500000000000001,-0.0011539156086150075,0.65,1.0,0.65,0.999496084391385,0.998846084391385,"600941,601728,000895,601398,001965","0.146643,0.132342,0.128468,0.113401,0.129147","0.225604,0.203603,0.197642,0.174463,0.198687","0.550047,0.564901,0.538868,0.542882,0.538826","-0.011328,0.019034,0.020030,-0.011043,-0.020772",300,55,33,False,0.0,0.0
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-11-27,5,5,0.07713228551202511,-0.0007292606197071743,0.0006500000000000001,-0.0013792606197071742,0.65,0.8337373310246485,0.779622041394214,0.9987671912574869,0.9974684153220352,"600941,601728,300347,001965,000333","0.216673,0.191315,0.135798,0.189150,0.136629","0.236469,0.207985,0.174185,0.206111,0.175250","0.543773,0.552857,0.615286,0.533297,0.539941","-0.012588,0.023634,-0.053474,0.003960,0.029198",300,55,30,False,-0.0007292606197071283,-0.0013792606197071677
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-11-28,5,5,0.026763778601863852,0.0027405825917519305,0.0006500000000000002,0.00209058259175193,0.6500000000000001,0.9953835969813514,0.6530145784712764,1.0015043952350602,0.9995537054269298,"300347,601728,000333,601066,601021","0.174389,0.197349,0.196396,0.128526,0.117266","0.194894,0.200555,0.228154,0.196820,0.179576","0.576106,0.560020,0.526393,0.526553,0.528472","-0.041569,0.007299,0.026190,0.026994,-0.000546",300,55,38,False,0.0,0.0
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-01,5,5,0.011915636910694638,0.008230365295212566,0.00065,0.0075803652952125666,0.6499999999999999,1.1716251402394604,0.554784954398598,1.0097471422526056,1.0071306876462494,"000895,600941,601066,601059,000333","0.130498,0.151856,0.160319,0.103284,0.191335","0.227340,0.213386,0.185832,0.186170,0.187273","0.542399,0.542078,0.556084,0.541470,0.539786","-0.015786,-0.013100,0.033386,0.000000,0.036205",300,55,42,False,0.0,0.0
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-02,5,5,0.006723539492374253,-0.005776024261671618,0.00065,-0.006426024261671617,0.6499999999999999,1.4917216238321365,0.4357381361344029,1.003914818260801,1.0006588414127606,"601728,601018,601939,600900,601066","0.136781,0.091937,0.087259,0.089987,0.169813","0.200128,0.210991,0.200256,0.206516,0.182109","0.572750,0.566173,0.542888,0.542862,0.544653","-0.021552,-0.028947,-0.027225,-0.011327,0.019010",300,55,39,False,-0.005776024261671564,-0.006426024261671492
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-03,5,5,0.003418976620403691,-0.008215332126325539,0.00065,-0.008865332126325539,0.6499999999999999,1.3225049240588613,0.4914915537744116,0.9956673246022488,0.9917876684384923,"601018,600025,600926,601066,000895","0.154761,0.100188,0.094109,0.176718,0.136263","0.219760,0.203844,0.191475,0.183862,0.201059","0.560928,0.598397,0.558935,0.539140,0.536387","-0.026385,-0.028986,-0.010114,0.023293,-0.032234",300,55,34,False,-0.013943904430317788,-0.015234387548665573
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-04,5,5,0.0021900564706621717,-0.008208166755850866,0.0006500000000000001,-0.008858166755850865,0.65,1.8083638743573145,0.3594409339939991,0.9874947211685616,0.9830022478850676,"600018,600926,000651,603195,600741","0.076414,0.141011,0.071597,0.064659,0.066043","0.212590,0.224595,0.199189,0.179888,0.183737","0.584223,0.563075,0.541306,0.543913,0.541016","-0.022807,-0.032299,-0.010503,-0.012791,-0.005025",300,55,35,False,-0.022037617293376943,-0.023957605559187134
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-05,5,5,0.001477507856845861,-0.003470977051100311,0.0006500000000000001,-0.004120977051100311,0.65,1.9978099435293377,0.3253562743069082,0.9840671496533028,0.9789513181803533,"601816,601668,688009,600023,601868","0.066298,0.064393,0.060810,0.068770,0.065086","0.203770,0.197914,0.186902,0.211367,0.200047","0.580385,0.575547,0.576303,0.569777,0.564520","-0.022857,-0.026266,0.011342,-0.001942,-0.012605",300,55,43,False,-0.025432102280591118,-0.02797985386757862
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-08,5,5,0.0008916064080844999,-0.004603488203019531,0.0006500000000000001,-0.0052534882030195315,0.65,1.6391495685497657,0.3965470951958864,0.9795370081388948,0.9738084089789624,"000538,601868,601816,600016,000651","0.093889,0.121663,0.116264,0.070671,0.102492","0.236767,0.207758,0.192302,0.178215,0.184957","0.571187,0.566507,0.552599,0.544736,0.542020","-0.005348,-0.008475,-0.015326,-0.025000,0.004666",300,55,43,False,-0.029918514100783944,-0.03308635023838269
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-09,5,5,0.0004972044774226303,0.0048975024453281925,0.0006500000000000001,0.004247502445328192,0.65,1.4694252745726473,0.44234981611367713,0.9843342930315444,0.9779446625773816,"601066,000651,601816,000002,300759","0.124503,0.158985,0.164173,0.072712,0.069667","0.223360,0.230203,0.224568,0.164376,0.157493","0.563394,0.544969,0.539511,0.558023,0.543204","0.025849,0.011911,-0.009690,0.025210,-0.006554",300,55,45,False,-0.025167537651424987,-0.02897938214659912
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-10,5,5,0.00031258104188303104,-0.008034311419875019,0.0006500000000000001,-0.008684311419875019,0.65,1.7504977598338491,0.371322954484498,0.9764258447800666,0.969451886576155,"601066,002594,002236,002049,600276","0.172775,0.074856,0.067158,0.066094,0.068712","0.254503,0.201593,0.180861,0.177995,0.185048","0.581925,0.554308,0.547405,0.545739,0.545641","0.027203,-0.025572,-0.045789,-0.048320,-0.066237",300,55,47,False,-0.032999645236136965,-0.03741202758715745
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-11,5,5,0.00015489279801028655,-0.0046139343096928236,0.0006500000000000001,-0.005263934309692824,0.65,1.288477011563695,0.5044715537541181,0.971920680073965,0.9643487555288103,"601066,600276,600018,601816,603259","0.189094,0.135778,0.115904,0.161012,0.078896","0.205124,0.201655,0.219039,0.217788,0.156394","0.577153,0.574238,0.543774,0.542319,0.546700","0.034496,-0.051043,-0.007207,-0.001949,-0.038749",300,55,46,False,-0.03746132135046698,-0.0424790274412391
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-12,5,5,7.894636046590353e-05,-0.006593525339199356,0.0006500000000000001,-0.007243525339199357,0.65,1.3256753306939772,0.4903161316728522,0.9655122964422055,0.957363470882312,"601816,601398,601728,002594,600276","0.197095,0.092160,0.099703,0.109068,0.164097","0.234603,0.187909,0.200069,0.183886,0.193534","0.545532,0.546342,0.537207,0.542305,0.533385","0.009728,0.017903,-0.004484,-0.026411,-0.041640",300,55,45,False,-0.04380784451810216,-0.049414854868783276
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-15,5,5,4.961216968790705e-05,0.001859689173371724,0.0006500000000000001,0.001209689173371724,0.65,1.74932844377414,0.3715711605292591,0.9673078492066564,0.9585215831080199,"601066,600023,600027,600011,000651","0.141109,0.081591,0.066899,0.072112,0.088601","0.216761,0.213370,0.180043,0.194072,0.195754","0.561274,0.541429,0.555134,0.539760,0.536591","0.019556,-0.001934,-0.013233,-0.008861,0.008828",300,55,47,False,-0.04202962431888946,-0.048264942310350056
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-16,5,5,3.337940701664266e-05,0.0019220759172821358,0.0006500000000000001,0.0012720759172821358,0.65,1.986594084452811,0.3271931619483487,0.9691670883282145,0.9597408953300869,"600025,000538,600030,601229,600588","0.069043,0.078856,0.061758,0.067879,0.054151","0.208026,0.230264,0.188751,0.207457,0.165502","0.588233,0.543785,0.544995,0.541651,0.545010","-0.012793,0.012167,0.007022,-0.007107,0.034988",300,55,42,False,-0.040188332530323057,-0.04705426306382987
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-17,5,5,2.0787300600288994e-05,0.0005761245218028788,0.0006500000000000001,-7.387547819712127e-05,0.65,1.7230329734620746,0.37724176496399886,0.9697254492535246,0.959669994012499,"000651,603288,000538,600519,000001","0.115300,0.074622,0.125202,0.075500,0.072849","0.207232,0.197811,0.201710,0.200137,0.193109","0.576351,0.568592,0.552763,0.550849,0.537714","-0.007056,0.016972,0.000890,-0.003198,0.003475",300,55,50,False,-0.03963536149238145,-0.04712466238584201
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-18,5,5,1.3480009987798525e-05,-0.0006454192934875847,0.0006500000000000001,-0.0012954192934875848,0.65,1.849077326569883,0.3515266726058329,0.9690995697391904,0.9584268189868741,"603288,600887,002352,000895,000999","0.132163,0.076822,0.064609,0.067279,0.059582","0.238311,0.218537,0.183794,0.189864,0.169495","0.584850,0.573846,0.565376,0.557685,0.559281","-0.004532,0.003472,0.001571,-0.011448,0.005967",300,55,44,False,-0.04025519935885746,-0.04835903548247589
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-19,5,5,7.761117433058295e-06,-0.002263154085506857,0.00065,-0.002913154085506857,0.6499999999999999,1.5321159486900517,0.4242498751845416,0.9669063480886723,0.9556347739834832,"000538,000895,601018,000651,600018","0.141027,0.119916,0.088835,0.128321,0.080839","0.222233,0.191349,0.208565,0.200996,0.176857","0.560341,0.560508,0.559780,0.556286,0.555186","0.004069,-0.008484,-0.008086,-0.006320,-0.003591",300,55,45,False,-0.042427249725472405,-0.051131312246195715
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-22,5,5,4.346269435684391e-06,0.00011832518103781437,0.0006500000000000001,-0.0005316748189621857,0.65,1.4772916204322684,0.43999437281706394,0.9670207574573564,0.9551266870380315,"000538,600019,600887,003816,603288","0.175056,0.090166,0.110316,0.090546,0.120267","0.218367,0.204925,0.194428,0.205789,0.176491","0.563241,0.556860,0.554324,0.543517,0.555478","0.001944,0.016644,-0.007506,0.005208,-0.011361",300,55,44,False,-0.04231394475643935,-0.05163580183397609
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-23,5,5,2.6582642670414103e-06,-0.00046904257811170995,0.0006500000000000001,-0.00111904257811171,0.65,1.6736175846220565,0.3883802404877252,0.966567183548191,0.9540578596077451,"601390,601668,601868,000651,003816","0.087302,0.076567,0.076551,0.121505,0.126265","0.224784,0.196846,0.196170,0.199686,0.182514","0.565831,0.558858,0.558832,0.556927,0.556545","0.009242,0.001923,-0.008439,-0.003676,-0.002618",300,55,46,False,-0.042763140292812474,-0.05269706175128075
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-24,5,5,1.6361278222243314e-06,-0.002801721997103981,0.0006500000000000001,-0.003451721997103981,0.65,1.6904511940653517,0.3845127278929719,0.9638591310083653,0.9507647171072271,"601390,600887,601117,600036,002736","0.138534,0.131229,0.075322,0.066576,0.068112","0.220541,0.233286,0.195890,0.173145,0.177137","0.562179,0.541343,0.544402,0.540828,0.539290","-0.003690,-0.004498,-0.019531,0.007393,-0.010590",300,55,46,False,-0.045445051859092755,-0.055966888141155136
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-25,5,5,1.0166987480797474e-06,-0.002493137699725251,0.0006500000000000001,-0.003143137699725251,0.65,1.7168762799046853,0.3785945484878419,0.9614560974716239,0.9477763326813187,"601390,600406,600030,600600,600999","0.169325,0.081892,0.068714,0.078658,0.067973","0.219863,0.216306,0.176528,0.207763,0.179541","0.554182,0.548166,0.554617,0.543828,0.545369","0.001852,-0.015264,-0.004489,-0.012258,-0.004179",300,55,51,False,-0.047824888786762165,-0.05893411420482764
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-26,5,5,5.349404585963669e-07,-0.0007634522610639074,0.0006500000000000001,-0.0014134522610639074,0.65,1.3717546761058674,0.4738456601039027,0.9607220716400955,0.9464366960809074,"601390,601868,600030,601211,601117","0.197782,0.113200,0.118967,0.089279,0.119894","0.229380,0.206387,0.174769,0.188413,0.201051","0.556891,0.541388,0.559334,0.542507,0.535830","-0.003683,-0.004219,0.011368,0.012542,-0.016927",300,55,47,False,-0.04855182902834665,-0.06026426590891498
base_technical_risk__risk_adjusted_sort__risk_adjusted_weight__local_upgrade_cs55_v20_82_v5_94_rp20_mt65,2025-12-29,5,5,3.368237584400191e-07,0.01012384021092597,0.0006500000000000001,0.00947384021092597,0.65,1.7550832296027155,0.3703528066570014,0.9704482683804897,0.9554030861093347,"601808,002352,601766,002001,601117","0.077865,0.077083,0.068039,0.075061,0.149411","0.210244,0.203774,0.183714,0.202674,0.199594","0.562248,0.546693,0.550496,0.542452,0.540641","0.021398,0.013461,0.023188,0.043920,0.017038",300,55,50,False,-0.038919519776451805,-0.051361359723638755
