profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,primary_candidate_size,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
grid_cs45_v2088_v590_tl3_th95_tr95_rp20_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.03,0.95,0.95,0.2,0.001,0.55,60,0.14449693433504596,0.10741600687411301,0.002279835510552443,0.0017298355105524429,0.0074975586498355505,0.007497558649835551,-0.024489579973740128,-0.030551369241866633,2.1927307852672153,1.6637444060679836,0.5333333333333333,0.4666666666666667,5.0,5.0,0.012724262142624598,0.5499999999999999,1.6261630106149374,0.3492872946783018,0.03300000000000001,45,237,False,1,True
grid_cs45_v2088_v588_tl3_th95_tr95_rp20_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.03,0.95,0.95,0.2,0.001,0.55,60,0.14364336719056348,0.10658965770415163,0.0022669209159063486,0.0017169209159063488,0.007436341326258403,0.007436341326258403,-0.027319730685446686,-0.03343114092343469,2.1982583211614433,1.6649172292180572,0.5333333333333333,0.4666666666666667,5.0,5.0,0.012762715643857397,0.5499999999999999,1.624064340523891,0.34980130357806694,0.033000000000000015,45,213,False,2,False
grid_cs45_v2088_v590_tl3_th95_tr95_rp20_mt50,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.03,0.95,0.95,0.2,0.001,0.5,60,0.13546663491631183,0.1019694380018239,0.0021433452001976432,0.0016433452001976432,0.006911142771713547,0.006911142771713546,-0.02286574526346208,-0.027492320409853388,2.236371400678261,1.7146702298934433,0.55,0.4666666666666667,5.0,5.0,0.016307925326661064,0.5,1.6410730971089034,0.31416872824229547,0.030000000000000002,45,236,False,3,False
grid_cs45_v2088_v588_tl3_th95_tr95_rp20_mt50,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.03,0.95,0.95,0.2,0.001,0.5,60,0.135018437057858,0.1015342602646001,0.0021362924703112866,0.0016362924703112864,0.006843881579112233,0.006843881579112233,-0.025383136240737847,-0.030063631320752515,2.2509191464105145,1.7240907327704744,0.55,0.4666666666666667,5.0,5.0,0.01640880378810848,0.5,1.639802531703952,0.31439334664605806,0.030000000000000002,45,212,False,4,False
grid_cs45_v2088_v590_tl3_th95_tr93_rp20_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.03,0.95,0.93,0.2,0.001,0.55,60,0.13840345784825492,0.10151675761175372,0.0021897574327920505,0.0016397574327920506,0.007370097744661159,0.007370097744661158,-0.029769692716675733,-0.03404661696873568,2.142517773384867,1.6043829289883456,0.5333333333333333,0.48333333333333334,5.0,5.0,0.012745665029076977,0.5499999999999999,1.6382703813827189,0.3461555775573064,0.03300000000000001,45,231,False,5,False
grid_cs45_v2088_v588_tl3_th95_tr93_rp20_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.03,0.95,0.93,0.2,0.001,0.55,60,0.1381980896723798,0.10131794971493213,0.0021863249143957765,0.0016363249143957759,0.007312288340985546,0.007312288340985546,-0.03270018706650646,-0.0369658095330897,2.156071045364695,1.6136818208068675,0.5333333333333333,0.48333333333333334,5.0,5.0,0.012781606478500514,0.5499999999999999,1.6345103530334724,0.34703055959116735,0.033000000000000015,45,207,False,6,False
grid_cs40_v2088_v590_tl3_th95_tr93_rp25_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.03,0.95,0.93,0.25,0.001,0.55,60,0.13794604838478408,0.10107392132045923,0.0021831755407702765,0.0016331755407702766,0.0073872703062986675,0.0073872703062986675,-0.031339423275159706,-0.03561029575572272,2.1311123132652856,1.5942284253657548,0.5333333333333333,0.48333333333333334,5.0,5.0,0.012932174883140024,0.5499999999999999,1.640435242081382,0.345446578524838,0.03300000000000001,40,138,False,7,False
grid_cs40_v2088_v588_tl3_th95_tr93_rp25_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.03,0.95,0.93,0.25,0.001,0.55,60,0.13770889001921205,0.10084433556617167,0.0021792987278297193,0.0016292987278297207,0.0073326748284931525,0.0073326748284931525,-0.03431940796153454,-0.03857878601768594,2.1431669865437644,1.6022857261885441,0.5333333333333333,0.48333333333333334,5.0,5.0,0.012988246928585622,0.55,1.636429843174934,0.34609968765069304,0.03300000000000001,40,114,False,8,False
grid_cs40_v2088_v590_tl3_th95_tr95_rp20_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.9,0.03,0.95,0.95,0.2,0.001,0.55,60,0.1373076884163582,0.10045583092660437,0.0021759283473806188,0.0016259283473806189,0.007674681974016621,0.007674681974016619,-0.024721175281519292,-0.03270786429021455,2.044494157485059,1.5277162093644694,0.5333333333333333,0.4666666666666667,5.0,5.0,0.012766376314991388,0.5499999999999999,1.6275869375284981,0.34874120924522195,0.03300000000000001,40,141,False,9,False
grid_cs35_v2088_v588_tl3_th95_tr93_rp25_mt55,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.88,0.88,0.03,0.95,0.93,0.25,0.001,0.55,60,0.13650439175109885,0.09967818763467196,0.002162682628845709,0.0016126826288457095,0.007479201505294376,0.007479201505294377,-0.029629657874397308,-0.03479500386983281,2.085159252719331,1.5548745157453563,0.5333333333333333,0.48333333333333334,5.0,5.0,0.012933452515620135,0.5499999999999999,1.6373737344432824,0.34567026620839203,0.03300000000000001,35,18,False,10,False
