profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,primary_candidate_size,grid_index,is_current_default_profile,rank_after_cost,is_best_profile
local_cs55_v2082_v594_rp20_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.2,0.001,0.65,60,0.1598323556458816,0.11556141699918254,0.0025085295319446166,0.0018585295319445058,0.008298415579202833,0.008298415579202847,-0.04855182902834665,-0.06314537920400254,2.1798454818554283,1.6150127600704494,0.55,0.5166666666666667,5.0,5.0,0.00802821821118943,0.6500000000001117,1.5891021631256903,0.4210782357036274,0.0390000000000067,55,696,False,1,True
local_cs55_v2082_v596_rp20_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.2,0.001,0.65,60,0.1597812674991299,0.1155122468379528,0.0025077975620246364,0.0018577975620245246,0.008298898071443942,0.008298898071443954,-0.048560731011883074,-0.06315639674302365,2.179082721711312,1.6142828389133208,0.55,0.5166666666666667,5.0,5.0,0.008028224333494236,0.6500000000001119,1.5891222649519152,0.42107224936148574,0.03900000000000672,55,716,False,2,False
local_cs55_v2082_v592_rp20_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.92,0.03,0.97,0.95,0.2,0.001,0.65,60,0.15977397647410374,0.11550522979986289,0.0025076869949321326,0.0018576869949320214,0.008298223560139654,0.008298223560139668,-0.04856523144064806,-0.06314694184670133,2.179163763789908,1.614317971900309,0.55,0.5166666666666667,5.0,5.0,0.008028525814817415,0.6500000000001117,1.5890947509964295,0.4210789364122569,0.0390000000000067,55,676,False,3,False
local_cs55_v2082_v594_rp22_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.22,0.001,0.65,60,0.15837630787958057,0.11416011553667116,0.0024857363047510786,0.001835736304750979,0.008073731452433012,0.008073731452433026,-0.04872777151131402,-0.06326512407211615,2.220150560336403,1.6395990909546165,0.5666666666666667,0.5333333333333333,5.0,5.0,0.008028210765653845,0.6500000000000993,1.5844852193380856,0.42254516474940984,0.03900000000000596,55,700,False,4,False
local_cs55_v2082_v596_rp22_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.22,0.001,0.65,60,0.15832512803049292,0.11411085715193336,0.0024850021146525765,0.0018350021146524768,0.008074228716414496,0.008074228716414514,-0.04873671344084929,-0.06327616576509343,2.219358122913086,1.6388424076999342,0.5666666666666667,0.5333333333333333,5.0,5.0,0.008028216882278156,0.6500000000000995,1.584504985636285,0.4225392796973149,0.039000000000005974,55,720,False,5,False
local_cs55_v2082_v592_rp22_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.92,0.03,0.97,0.95,0.22,0.001,0.65,60,0.15831798079092807,0.11410397850640819,0.0024848934699511324,0.0018348934699510327,0.008073532709631414,0.00807353270963143,-0.04874117111667342,-0.06326668925211432,2.2194524112811758,1.6388866507049833,0.5666666666666667,0.5333333333333333,5.0,5.0,0.00802851836704631,0.6500000000000993,1.5844781983164988,0.42254578267465204,0.03900000000000597,55,680,False,6,False
local_cs45_v2082_v594_rp22_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.22,0.001,0.65,60,0.15826748063293694,0.11405541608465541,0.0024832322441512697,0.0018332322441511524,0.007960490035664847,0.00796049003566484,-0.044619606083234786,-0.05920890655883737,2.2494648306974834,1.6606547653492199,0.55,0.5166666666666667,5.0,5.0,0.007971597700682953,0.6500000000001172,1.5951367043474056,0.41938483265501253,0.03900000000000702,45,60,False,7,False
local_cs45_v2082_v592_rp22_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.92,0.03,0.97,0.95,0.22,0.001,0.65,60,0.15822117858065576,0.11401085265833322,0.0024825612356828893,0.001832561235682772,0.007960093231909325,0.007960093231909316,-0.0446222178953537,-0.05919620179693852,2.248969093440352,1.6601296764201408,0.55,0.5166666666666667,5.0,5.0,0.007972160877226436,0.6500000000001169,1.5951320455562763,0.4193823609162306,0.039000000000007015,45,40,False,8,False
local_cs45_v2082_v596_rp22_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.96,0.03,0.97,0.95,0.22,0.001,0.65,60,0.1582000798605454,0.11399054578645651,0.002482264807483469,0.0018322648074833516,0.00796109691909752,0.007961096919097512,-0.04463290066497738,-0.05922549592470072,2.248417054487002,1.6596518747967424,0.55,0.5166666666666667,5.0,5.0,0.007971605297047995,0.6500000000001173,1.5951617203771393,0.41937742855266796,0.039000000000007036,45,80,False,9,False
local_cs50_v2082_v594_rp22_mt65,replay_walk_forward_predictions,risk_adjusted,risk_adjusted,5,True,False,0.82,0.94,0.03,0.97,0.95,0.22,0.001,0.65,60,0.15793735886354554,0.1137375648598209,0.002481350392365599,0.001831350392365489,0.008315896806153938,0.00831589680615395,-0.04843520434269444,-0.06300230144389207,2.151694827537099,1.588049466445634,0.55,0.5166666666666667,5.0,5.0,0.007986309982420215,0.6500000000001094,1.5879280608152269,0.42147132936770443,0.03900000000000657,50,380,False,10,False
