profile_name,prediction_source,weighting_scheme,sort_strategy,top_k,enable_risk_filters,allow_cash_fallback,max_volatility_20d_pct,max_volatility_5d_pct,turnover_rate_lower_pct,turnover_rate_upper_pct,turnover_ratio_upper_pct,risk_penalty_weight,transaction_cost,max_turnover,rerank_signal_column,rerank_signal_weight,secondary_candidate_size,secondary_screen_mode,secondary_screen_weight,local_tiebreak_start_rank,local_tiebreak_end_rank,periods,cumulative_return_before_cost,cumulative_return_after_cost,mean_period_return_before_cost,mean_period_return_after_cost,return_volatility_before_cost,return_volatility_after_cost,max_drawdown_before_cost,max_drawdown_after_cost,sharpe_before_cost,sharpe_after_cost,win_rate_before_cost,win_rate_after_cost,avg_selected_count,avg_signal_count,avg_cash_weight,avg_turnover,avg_desired_turnover,avg_execution_strength,total_transaction_cost,candidate_size,vol20_pct,vol5_pct,risk_penalty,case_slice_score,result_stock_ids,result_weight_sum,passes_case_floor,passes_cum_floor,passes_sharpe_floor,passes_drawdown_floor,guardrail_pass_count,failed_guardrails,passes_guardrails,used_drawdown_slack,attempted_drawdown_slacks
dual_cs180_v2086_v5100_rp-80_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,1.0113782363753074,0.902891308125132,0.012077601656745953,0.011144900558687209,0.027161672077383597,0.027219016401675594,-0.12119914587883407,-0.1236473127276646,3.2064603338088054,2.95260562184167,0.65,0.6166666666666667,5.0,5.0,2.7755575615628914e-17,0.9327010980587428,1.2535096852323753,0.7966281125865783,0.055962065883524564,180,0.86,1.0,-0.8,0.040557492515369956,601877/688396/600183/688008/300316,1.0,True,True,True,False,3,drawdown,False,0.06,"0.02,0.04,0.06,0.08"
dual_cs180_v2086_v5100_rp-100_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-1.0,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.9321960287672202,0.8280509142271548,0.011411498474189007,0.01047985884690031,0.027571012686156998,0.027619736735549228,-0.1267257249262903,-0.1289286964654759,2.9846377677107023,2.7361353074368906,0.6833333333333333,0.65,5.0,5.0,2.0354088784794535e-17,0.9316396272886961,1.2626079775320913,0.7936942429825832,0.05589837763732177,180,0.86,1.0,-1.0,0.040557492515369956,601877/688396/600183/688008/300316,1.0,True,True,True,False,3,drawdown,False,0.06,"0.02,0.04,0.06,0.08"
dual_cs150_v2086_v5100_rp-100_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-1.0,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.8866199554894871,0.7848310558093372,0.010990096321270328,0.010058164936942617,0.026863914489541903,0.02692466113335194,-0.12119914587883396,-0.1236473127276646,2.9500805494340328,2.693829960392586,0.65,0.6333333333333333,5.0,5.0,2.0354088784794535e-17,0.9319313843277132,1.2872709678586114,0.7800844512835543,0.055915883059662795,150,0.86,1.0,-1.0,0.040557492515369956,601877/688396/600183/688008/300316,1.0,True,True,True,False,3,drawdown,False,0.06,"0.02,0.04,0.06,0.08"
dual_cs150_v2086_v5100_rp-60_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.6,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7668006363664233,0.67114192881551,0.009877604449154679,0.00894366099860236,0.026616227340416142,0.026691055045229468,-0.09668037916490113,-0.09916822159451122,2.676127526615994,2.4163022605276745,0.6166666666666667,0.55,5.0,5.0,2.590520390792032e-17,0.9339434505523189,1.2505317163004679,0.7931964997533992,0.05603660703313914,150,0.86,1.0,-0.6,0.040557492515369956,601877/688396/600183/688008/300316,1.0,True,True,True,True,4,,True,0.06,"0.02,0.04,0.06,0.08"
dual_cs150_v2086_v5100_rp-80_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7610226745590778,0.664963895941749,0.009821563916867032,0.00888010749034012,0.026520439091892004,0.02658101036155136,-0.10563161312064373,-0.10810287577040167,2.6705555051188763,2.409064399927082,0.6,0.5666666666666667,5.0,5.0,2.2204460492503132e-17,0.9414564265269117,1.267227356387906,0.7917038237247865,0.05648738559161471,150,0.86,1.0,-0.8,0.040557492515369956,601877/688396/600183/688008/300316,1.0,True,True,True,False,3,drawdown,False,0.06,"0.02,0.04,0.06,0.08"
dual_cs180_v2086_v5100_rp-60_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.6,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7585290691643738,0.6618894364566272,0.009812644477200847,0.008863877021621022,0.02706505854033849,0.027120740511208836,-0.12119914587883396,-0.12364731272766472,2.614440516189159,2.356806082610694,0.6166666666666667,0.5833333333333334,5.0,5.0,3.3306690738754695e-17,0.9487674555798266,1.2707929110028267,0.7927820794984578,0.05692604733478959,180,0.86,1.0,-0.6,0.040557492515369956,601877/688396/600183/688008/300316,1.0,True,True,False,False,2,"sharpe,drawdown",False,0.06,"0.02,0.04,0.06,0.08"
dual_cs120_v2086_v5100_rp-60_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.6,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7366398081902572,0.6448524841293117,0.00956298482264375,0.008652760946741674,0.025659209736858674,0.025759327341985477,-0.08726420564538817,-0.09006222189288438,2.687520970296814,2.4222661448895395,0.6333333333333333,0.6,5.0,5.0,3.515706244646329e-17,0.9102238759020763,1.1982147695109597,0.8125944583051087,0.05461343255412458,120,0.86,1.0,-0.6,0.040557492515369956,601877/688396/600183/688008/300316,1.0,True,True,True,True,4,,True,0.06,"0.02,0.04,0.06,0.08"
dual_cs120_v2086_v5100_rp-80_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.8,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7336883543828494,0.6396774038200199,0.009552054379079826,0.008616854995400556,0.026335775487064575,0.02640908829085674,-0.09668037916490091,-0.09916822159451111,2.615485681574773,2.3528652088994035,0.6166666666666667,0.55,5.0,5.0,2.7755575615628914e-17,0.9351993836792672,1.2569302672994844,0.7911952373900207,0.05611196302075604,120,0.86,1.0,-0.8,0.040557492515369956,601877/688396/600183/688008/300316,1.0,True,True,False,True,3,sharpe,False,0.06,"0.02,0.04,0.06,0.08"
dual_cs150_v2086_v5100_rp-50_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7256102028763782,0.63251388644043,0.009458054489359598,0.008528227511392766,0.025733621417938647,0.025824040616174663,-0.08726420564538806,-0.09006222189288438,2.650346010277947,2.381421407917855,0.65,0.6,5.0,5.0,3.515706244646329e-17,0.929826977966831,1.234342068902222,0.7991544665189934,0.05578961867800986,150,0.86,1.0,-0.5,0.040557492515369956,601877/688396/600183/688008/300316,1.0,True,True,True,True,4,,True,0.06,"0.02,0.04,0.06,0.08"
dual_cs180_v2086_v5100_rp-50_risk_adjusted_pred_mt100,replay_walk_forward_predictions,pred,risk_adjusted,5,True,False,0.86,1.0,0.03,0.97,0.95,-0.5,0.001,1.0,,0.0,0,none,0.0,8,15,60,0.7185222864526775,0.6257705650281604,0.009424924703437136,0.008494617358555908,0.02707940007631677,0.027159125543040133,-0.12119914587883396,-0.12364731272766472,2.50980813384784,2.25543185498979,0.6166666666666667,0.55,5.0,5.0,3.3306690738754695e-17,0.9303073448812295,1.231930293772622,0.8030012086775585,0.055818440692873755,180,0.86,1.0,-0.5,0.040557492515369956,601877/688396/600183/688008/300316,1.0,True,True,False,False,2,"sharpe,drawdown",False,0.06,"0.02,0.04,0.06,0.08"
