model_family,sequence_length,feature_set,feature_count,max_turnover,rank_ic_mean,top5_mean_return_mean,rmse_mean,mae_mean,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,win_rate_after_cost,avg_cash_weight,model_dir,profile_name
lstm,10,base,16,0.75,0.00858413563307822,0.017534048047474538,0.49853425781528965,0.4956807914771016,0.4854700003831922,3.1997037746544916,-0.04235371493694007,0.696703354261232,0.6333333333333333,0.004646549344413085,D:\Desktop\股票分析预测代码\app\model\lstm_search\lstm_sl10_base,lstm_sl10_base_mt75
lstm,10,base,16,0.7,0.00858413563307822,0.017534048047474538,0.49853425781528965,0.4956807914771016,0.45336902372159793,3.167463642359376,-0.04112026102551336,0.6586276016229671,0.6333333333333333,0.005919703168181639,D:\Desktop\股票分析预测代码\app\model\lstm_search\lstm_sl10_base,lstm_sl10_base_mt70
lstm,10,base,16,0.6,0.00858413563307822,0.017534048047474538,0.49853425781528965,0.4956807914771016,0.3898496948401555,3.0800258063105743,-0.03957559659461041,0.5789586559794605,0.65,0.00877803193246123,D:\Desktop\股票分析预测代码\app\model\lstm_search\lstm_sl10_base,lstm_sl10_base_mt60
lstm,20,base_technical_risk,45,0.75,0.021022948412693716,0.008423729693457742,0.4959449240250991,0.49165098089413695,0.35857199943905504,2.322353385290856,-0.06284599102408606,0.7325722442533499,0.6333333333333333,0.006996113626101358,D:\Desktop\股票分析预测代码\app\model\lstm_search\lstm_sl20_base_technical_risk,lstm_sl20_base_technical_risk_mt75
lstm,20,base_technical,36,0.75,-0.006100991652837555,0.0051015880699402,0.48840075744060424,0.48503965069049393,0.345743424070986,2.331339377496597,-0.06107363253226228,0.7461657887496876,0.6166666666666667,0.007210944897353359,D:\Desktop\股票分析预测代码\app\model\lstm_search\lstm_sl20_base_technical,lstm_sl20_base_technical_mt75
lstm,20,base_technical_risk,45,0.7,0.021022948412693716,0.008423729693457742,0.4959449240250991,0.49165098089413695,0.34365097785687726,2.3260968764213774,-0.05984974109015706,0.6884946019592822,0.65,0.00882862753652445,D:\Desktop\股票分析预测代码\app\model\lstm_search\lstm_sl20_base_technical_risk,lstm_sl20_base_technical_risk_mt70
lstm,20,base_technical,36,0.7,-0.006100991652837555,0.0051015880699402,0.48840075744060424,0.48503965069049393,0.3243580907391914,2.32571485596357,-0.05802576915359592,0.6980501540780377,0.6166666666666667,0.009322459425218218,D:\Desktop\股票分析预测代码\app\model\lstm_search\lstm_sl20_base_technical,lstm_sl20_base_technical_mt70
lstm,20,base_technical_risk,45,0.6,0.021022948412693716,0.008423729693457742,0.4959449240250991,0.49165098089413695,0.3100467532717224,2.321176228678967,-0.054964425340160106,0.5975563620281152,0.65,0.013331116852701785,D:\Desktop\股票分析预测代码\app\model\lstm_search\lstm_sl20_base_technical_risk,lstm_sl20_base_technical_risk_mt60
lstm,20,base,16,0.75,-0.005921334710796177,0.010169199248313944,0.5114449896454748,0.5084736126322694,0.30918305053640216,1.8535396801360355,-0.06076929588020219,0.691826363336405,0.5833333333333334,0.0041666666666667,D:\Desktop\股票分析预测代码\app\model\lstm_search\lstm_sl20_base,lstm_sl20_base_mt75
lstm,20,base,16,0.7,-0.005921334710796177,0.010169199248313944,0.5114449896454748,0.5084736126322694,0.2988281954734455,1.8466207127844416,-0.05765890588779732,0.6585255718248723,0.5833333333333334,0.0050000000000000305,D:\Desktop\股票分析预测代码\app\model\lstm_search\lstm_sl20_base,lstm_sl20_base_mt70
