model_family,sequence_length,feature_set,feature_count,max_turnover,rank_ic_mean,top5_mean_return_mean,rmse_mean,mae_mean,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,win_rate_after_cost,avg_cash_weight,model_dir,profile_name
lstm,10,base,16,0.78,0.00858413563307822,0.017534048047474538,0.49853425781528965,0.4956807914771016,0.5047310529563329,3.2154499330987543,-0.043250266576551066,0.7188348961618407,0.6333333333333333,0.003934749974421993,app\model\lstm_search_refined\lstm_sl10_base,lstm_sl10_base_mt78
lstm,10,base,16,0.76,0.00858413563307822,0.017534048047474538,0.49853425781528965,0.4956807914771016,0.4918853420484637,3.205218034816599,-0.04265360517962935,0.7040790952184139,0.6333333333333333,0.004404879228797574,app\model\lstm_search_refined\lstm_sl10_base,lstm_sl10_base_mt76
lstm,10,base,16,0.74,0.00858413563307822,0.017534048047474538,0.49853425781528965,0.4956807914771016,0.47905235230449317,3.193854618578482,-0.04205279320573163,0.6892739969758376,0.6333333333333333,0.004892580998757034,app\model\lstm_search_refined\lstm_sl10_base,lstm_sl10_base_mt74
lstm,10,base,16,0.72,0.00858413563307822,0.017534048047474538,0.49853425781528965,0.4956807914771016,0.4661361023913575,3.1806486771306104,-0.041447879547862,0.6742091902407026,0.6333333333333333,0.005397604366269907,app\model\lstm_search_refined\lstm_sl10_base,lstm_sl10_base_mt72
lstm,10,base,16,0.7,0.00858413563307822,0.017534048047474538,0.49853425781528965,0.4956807914771016,0.45336902372159793,3.167463642359376,-0.04112026102551336,0.6586276016229671,0.6333333333333333,0.005919703168181639,app\model\lstm_search_refined\lstm_sl10_base,lstm_sl10_base_mt70
lstm,12,base,16,0.78,-0.02017394708310823,0.0053555586150021576,0.4992699800521106,0.4961788141129529,0.2662583329954751,1.8725858246531053,-0.06565104422530921,0.7800000000007684,0.55,0.005819234502055988,app\model\lstm_search_refined\lstm_sl12_base,lstm_sl12_base_mt78
lstm,8,base,16,0.78,0.0028320959204308203,0.008582181956434445,0.4977890486955993,0.4947062370485513,0.26484549178012173,2.434960175513838,-0.05861441134810286,0.7769451508152204,0.6333333333333333,0.003963365446853492,app\model\lstm_search_refined\lstm_sl8_base,lstm_sl8_base_mt78
lstm,12,base,16,0.76,-0.02017394708310823,0.0053555586150021576,0.4992699800521106,0.4961788141129529,0.2617650811583907,1.8827042760150556,-0.06413261901328637,0.7600000000008157,0.55,0.006513870972855445,app\model\lstm_search_refined\lstm_sl12_base,lstm_sl12_base_mt76
lstm,8,base,16,0.76,0.0028320959204308203,0.008582181956434445,0.4977890486955993,0.4947062370485513,0.258931785329799,2.434957753843366,-0.057171821088734975,0.7577270856783377,0.6333333333333333,0.004471397842829082,app\model\lstm_search_refined\lstm_sl8_base,lstm_sl8_base_mt76
lstm,12,base,16,0.74,-0.02017394708310823,0.0053555586150021576,0.4992699800521106,0.4961788141129529,0.2572115929425991,1.8928989694958158,-0.06262430533722552,0.7400000000007732,0.55,0.007245812240929633,app\model\lstm_search_refined\lstm_sl12_base,lstm_sl12_base_mt74
lstm,8,base,16,0.74,0.0028320959204308203,0.008582181956434445,0.4977890486955993,0.4947062370485513,0.25321568719113197,2.4379819693716223,-0.05559955312125464,0.7383926990079639,0.6,0.005018393852078242,app\model\lstm_search_refined\lstm_sl8_base,lstm_sl8_base_mt74
lstm,12,base,16,0.72,-0.02017394708310823,0.0053555586150021576,0.4992699800521106,0.4961788141129529,0.25256196416165233,1.9029796474087588,-0.06112255234542374,0.7200000000005996,0.55,0.008019309547656481,app\model\lstm_search_refined\lstm_sl12_base,lstm_sl12_base_mt72
lstm,12,base,16,0.7,-0.02017394708310823,0.0053555586150021576,0.4992699800521106,0.4961788141129529,0.24786222807777003,1.9131826681083854,-0.05962604296495455,0.7000000000005389,0.55,0.00883712230275423,app\model\lstm_search_refined\lstm_sl12_base,lstm_sl12_base_mt70
lstm,8,base,16,0.72,0.0028320959204308203,0.008582181956434445,0.4977890486955993,0.4947062370485513,0.2475727983923024,2.4418402484300494,-0.05400604307307866,0.7190698849298586,0.6,0.0056124163038255214,app\model\lstm_search_refined\lstm_sl8_base,lstm_sl8_base_mt72
lstm,8,base,16,0.7,0.0028320959204308203,0.008582181956434445,0.4977890486955993,0.4947062370485513,0.24198802063281155,2.4464231835016816,-0.05238282536130057,0.6997582274704642,0.6,0.0062607600117950786,app\model\lstm_search_refined\lstm_sl8_base,lstm_sl8_base_mt70
