profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_after_secondary_screen,filter_secondary_quality_filter_count,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999984,0.005932169633330186,0.0008000000000000001,0.005132169633330186,0.8000000000000002,0.9999999999999998,0.8000000000000003,1.00593216963333,1.0051321696333302,"688223,001979,300316,002074,600803","0.163292,0.162045,0.158831,0.157983,0.157848","0.204115,0.202556,0.198539,0.197479,0.197310","0.613496,0.608810,0.596737,0.593551,0.593043","-0.007117,0.005330,-0.006916,0.006769,0.039656",300,40,17,17,17,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.008005939913358628,-0.015853629149976785,0.0008,-0.016653629149976784,0.8,0.8333591150048946,0.9599703004332069,0.9899844940659317,0.9883930712335451,"601012,688223,001979,002074,600233","0.199896,0.199061,0.197649,0.196122,0.186588","0.208232,0.200552,0.199134,0.197713,0.194369","0.649901,0.625933,0.621507,0.617070,0.606634","-0.033532,-0.032143,-0.008439,-0.012249,0.007063",300,40,14,14,14,False,-0.01585362914997679,-0.016653629149976812
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.0026214108478254117,-0.01928560966959258,0.0008,-0.02008560966959258,0.8,1.1894729980536676,0.6725667596566198,0.970892039534427,0.9685405938046183,"688012,688223,300347,002074,600803","0.144388,0.198899,0.132203,0.196292,0.132251","0.214682,0.198820,0.196564,0.196375,0.193559","0.672614,0.622916,0.615850,0.615257,0.606436","0.018676,-0.049470,-0.041569,-0.026443,-0.011014",300,40,15,15,15,False,-0.03483349191593643,-0.03640474052488085
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0003333139611232383,-0.0180442641602849,0.0008,-0.0188442641602849,0.8,0.9165384081628465,0.872849400390714,0.95337300710195,0.9502891590050049,"688012,600515,688223,601012,300347","0.200552,0.175721,0.198443,0.181407,0.185508","0.208733,0.201319,0.198377,0.198298,0.193273","0.670882,0.647051,0.637596,0.637344,0.621193","0.042137,-0.035928,-0.052356,-0.035389,-0.018178",300,40,13,13,13,False,-0.052249211346465096,-0.05456298413802829
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0,0.0019973672100598323,0.0004951045983948136,0.0015022626116650186,0.4951045983948136,0.4951045983948136,1.0,0.9552772430852917,0.9517167428788487,"688012,601012,600515,002916,688223","0.209160,0.203648,0.197985,0.194606,0.194602","0.209160,0.203648,0.197985,0.194606,0.194602","0.670960,0.653277,0.635111,0.624271,0.624259","0.045554,-0.013115,-0.002016,-0.001417,-0.021505",300,40,11,11,11,False,-0.050356204997900056,-0.05314268945741463
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0,0.030318481220223778,0.0007999999999999999,0.02951848122022378,0.7999999999999999,1.2008308671310661,0.6662053931968781,0.9842397982398803,0.9798099756804906,"300274,688012,002459,600183,600515","0.136803,0.206379,0.132274,0.130923,0.195729","0.205347,0.204986,0.198548,0.196521,0.194599","0.678340,0.677149,0.655883,0.649185,0.642836","0.057114,0.062720,0.000000,0.097637,-0.016461",300,40,14,14,14,False,-0.02156444743322683,-0.025192899717931705
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0,0.02736684000166228,0.0008000000000000001,0.026566840001662283,0.8000000000000002,1.0730900462083397,0.7455105960834536,1.0111753313215794,1.0058404305364268,"600183,600515,300274,002493,603993","0.187389,0.202375,0.183663,0.145074,0.144954","0.206664,0.204644,0.199659,0.194597,0.194436","0.660647,0.654187,0.638252,0.622071,0.621558","0.084238,0.081250,-0.011111,-0.016649,-0.002796",300,40,15,15,15,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0,0.019147130850750493,0.0008,0.018347130850750494,0.8,0.8200846213069356,0.9755090867635983,1.0305364377034447,1.024294716530454,"600515,300274,600183,002916,600089","0.205254,0.201589,0.201393,0.192363,0.189359","0.205326,0.202039,0.201744,0.196777,0.194113","0.643671,0.633366,0.632443,0.616872,0.608520","0.018634,-0.028060,0.074671,0.015684,0.015441",300,40,19,19,19,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,0.0,-0.02027814644186834,0.0008000000000000001,-0.02107814644186834,0.8000000000000002,1.1951940512904489,0.6693473742914312,1.009639068906013,1.002704482495793,"600183,000630,300274,601111,002600","0.205062,0.134642,0.201201,0.131985,0.129703","0.206875,0.201155,0.201010,0.197184,0.193776","0.633759,0.616236,0.615793,0.604073,0.593630","-0.010204,-0.061404,-0.066891,0.000000,0.027297",300,40,20,20,20,False,-0.020278146441868206,-0.02107814644186834
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.0,-0.011053037090199464,0.0008,-0.011853037090199465,0.8,1.3381906076115764,0.5978221603481828,0.9984794908296805,0.990819389074261,"002600,300274,600803,601899,000425","0.174454,0.201643,0.118118,0.118651,0.118039","0.204560,0.201940,0.197580,0.198472,0.197449","0.605494,0.597739,0.584834,0.587473,0.584446","-0.013780,-0.089689,0.036706,0.013725,0.029412",300,40,25,25,25,False,-0.031107048427325257,-0.03268134348049967
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-10,5,5,0.0,-0.009808971160263325,0.0008,-0.010608971160263325,0.8,1.948838666195653,0.4105008864390442,0.9886854343000177,0.9803078147505425,"688169,600111,002241,600795,002916","0.082842,0.082100,0.081948,0.081764,0.096927","0.201806,0.200000,0.199629,0.199181,0.199384","0.591543,0.586251,0.585162,0.583848,0.584444","-0.029496,-0.049989,-0.051591,0.003436,0.007072",300,40,27,27,27,False,-0.04061089144668406,-0.04294359921029978
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-11,5,5,1.1102230246251565e-16,0.006176082455354158,0.0008,0.005376082455354158,0.8,1.6544298913063447,0.4835502575260634,0.9947916370646621,0.9855780303942695,"002600,601899,601689,600309,002475","0.150340,0.132874,0.096562,0.096510,0.096499","0.201071,0.200085,0.199694,0.199586,0.199564","0.600486,0.597542,0.596375,0.596051,0.595987","0.023026,-0.026524,-0.012607,0.084124,-0.006869",300,40,22,22,22,False,-0.03468562520549012,-0.03779838508522981
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-12,5,5,0.0,0.00112167015523128,0.0008,0.00032167015523128,0.8,1.6840967116464245,0.47503210146280467,0.9959074651546311,0.985895061432299,"300274,601698,000975,601689,600482","0.129505,0.095420,0.094331,0.144712,0.093984","0.204780,0.200871,0.198579,0.197923,0.197847","0.620452,0.608608,0.601663,0.599676,0.599447","-0.049889,0.075977,0.013653,0.009510,-0.024805",300,40,24,24,24,False,-0.0336028608808675,-0.037488873542396384
