profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,selection_score_final,rerank_signal_score,risk_penalty,secondary_candidate_size,secondary_screen_mode,secondary_signal_score,secondary_screen_weight,local_tiebreak_start_rank,local_tiebreak_end_rank,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d,turnover_spike_5d,crowding_reversal_risk_5d
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,688223,0.20411503452225496,0.16329202761780404,0.6134956,-0.0071174377224199,0.9344117647058824,0.9344117647058824,0.0,0.6558823529411765,0,none,0.0,0.0,8,15,0.0274270545933767,0.0292141402084379,0.6079,-0.5128225677191858,-0.4357638888888889,0.6655353623815793,0.6366954966783775
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,001979,0.2025561633865034,0.16204493070920278,0.6088102,0.0053304904051172,0.8997058823529411,0.8997058823529411,0.0,0.4147058823529412,0,none,0.0,0.0,8,15,0.0146500203979795,0.0205210437146371,0.5175,-0.1467014032021371,-0.1868076535750251,0.6906261677244827,0.1358231463191482
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,300316,0.19853916067848135,0.15883132854278514,0.59673655,-0.0069156293222682,0.7838235294117647,0.7838235294117647,0.0,0.9852941176470588,0,none,0.0,0.0,8,15,0.0294358002795382,0.0289628358516815,2.3847,0.4840006471928011,0.9543023821098692,1.6436684954911336,0.4711263709001323
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,002074,0.1974793552131824,0.15798348417054597,0.59355116,0.006769070554543,0.7649999999999999,0.7649999999999999,0.0,0.5852941176470589,0,none,0.0,0.0,8,15,0.0237730469373313,0.0247968193627533,2.1975,-0.2678221582503698,-0.155011655011655,0.8307940084531803,0.7532532343308834
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600803,0.19731028619957772,0.15784822895966222,0.593043,0.0396559961777352,0.7314705882352941,0.7314705882352941,0.0,0.33235294117647063,0,none,0.0,0.0,8,15,0.0103952789422884,0.0180648438284963,0.3657,-0.1834684171746264,-0.1445511010728403,0.631933644374232,0.0968964921373822
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601012,0.2082318595897671,0.19989640081015406,0.6499011,-0.0335316387236342,0.9299999999999999,0.9299999999999999,0.0,0.7000000000000001,0,none,0.0,0.0,8,15,0.0300603859274929,0.0280526656509643,2.0724,-0.2629003115708005,-0.1064871481028151,0.8813547788954226,0.8461005877396056
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,688223,0.20055236555253508,0.19906084541925062,0.62593305,-0.0321428571428571,0.8817857142857143,0.8817857142857143,0.0,0.4678571428571429,0,none,0.0,0.0,8,15,0.0274026744436087,0.0246856242784986,0.6828,-0.4228233305156381,-0.3583273251622206,0.8540337711058738,0.7600900562842277
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,001979,0.19913415487386077,0.19764948437338406,0.62150675,-0.0084388185654008,0.8110714285714286,0.8110714285714286,0.0,0.46071428571428574,0,none,0.0,0.0,8,15,0.0143522506353937,0.0147823799836586,0.9644,0.4658985544695924,0.6047874938935027,1.3582715979812423,1.184323918738066
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,002074,0.1977126920797879,0.19612234382315427,0.6170703,-0.012249152984102,0.7278571428571429,0.7278571428571429,0.0,0.5785714285714285,0,none,0.0,0.0,8,15,0.0239308224943241,0.0229169580377229,2.7146,-0.0138982730687358,-0.0033557046979865,1.0419449434230568,0.7536735090760112
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600233,0.19436892790404917,0.18658839811493041,0.60663426,0.0070629782224838,0.6996428571428571,0.6996428571428571,0.0,0.1464285714285714,0,none,0.0,0.0,8,15,0.0150971052086511,0.014409062483064,0.2324,-0.5420509182627886,-0.4731977818853974,0.39831350906592,0.0517807561785696
