profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,-0.005530266451892094,0.0008,-0.006330266451892094,0.8,0.9999999999999999,0.8000000000000002,0.9944697335481079,0.993669733548108,"300347,300316,002074,600036,601186","0.161304,0.160137,0.159805,0.159406,0.159347","0.201630,0.200172,0.199756,0.199258,0.199184","0.547230,0.543270,0.542142,0.540790,0.540590","-0.043853,-0.006916,0.006769,0.002084,0.007762",300,40,20,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.061913811124414186,-0.007715067135998147,0.0008000000000000001,-0.008515067135998146,0.8000000000000002,1.1586966176911329,0.6904309443779282,0.986797332789066,0.9852085690559365,"600941,300347,000538,600115,601186","0.136597,0.195813,0.136323,0.136432,0.184530","0.197843,0.211286,0.197447,0.197604,0.195821","0.544760,0.581773,0.543668,0.544101,0.539191","-0.012588,-0.053474,-0.005884,0.031683,0.005175",300,40,27,False,-0.0077150671359981216,-0.008515067135998144
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.01975515199041289,-0.018546095028366155,0.0008000000000000001,-0.019346095028366154,0.8000000000000002,1.1748724916059814,0.6809249562958507,0.9684960956814218,0.9661486304562197,"300347,002074,688223,000651,000538","0.205217,0.152528,0.134587,0.133466,0.176888","0.209623,0.200820,0.197653,0.196008,0.195897","0.583462,0.558958,0.550145,0.545565,0.545256","-0.041569,-0.026443,-0.049470,0.012865,-0.005887",300,40,24,False,-0.02611807779610975,-0.027696428866378353
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.007383946561556165,-0.013130068111428691,0.0008000000000000001,-0.013930068111428691,0.8000000000000002,1.2774924548149624,0.6262267906043136,0.955779675979472,0.9526901142282009,"600515,601012,002493,002074,300347","0.125971,0.125488,0.125190,0.182064,0.201229","0.201158,0.200388,0.199912,0.199694,0.198848","0.565838,0.563672,0.562331,0.561718,0.559340","-0.035928,-0.035389,0.012371,-0.011282,-0.018178",300,40,24,False,-0.03890521376713596,-0.0412406838372551
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0021385768655280968,0.007359663712330146,0.0008,0.006559663712330146,0.8,1.1261660457828018,0.7103748181680593,0.9628138929777608,0.9589394409995994,"002074,688012,002493,600515,600029","0.197570,0.143114,0.178093,0.177271,0.139800","0.203892,0.201462,0.199662,0.198187,0.196797","0.562874,0.556165,0.551194,0.547124,0.543286","0.007499,0.045554,-0.007202,-0.002016,0.007143",300,40,24,False,-0.03183187934478826,-0.03495154514216381
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.00035700123051118915,0.008373314903608665,0.0008,0.007573314903608665,0.8,0.9603080884108105,0.8330659812768002,0.970875836897233,0.9662017913597797,"002493,002074,688012,601111,601059","0.198794,0.201351,0.190274,0.164862,0.164387","0.202942,0.202108,0.199724,0.197898,0.197328","0.556722,0.554434,0.547893,0.542884,0.541321","-0.028689,0.031135,0.062720,-0.025030,0.000000",300,40,25,False,-0.023725102790907115,-0.027642929296284535
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,2.8584494985106623e-05,0.003240842764224216,0.0008,0.002440842764224216,0.8,0.8696298133264774,0.9199316625770547,0.9740222928282016,0.9685601380110006,"002074,002493,601111,002415,603501","0.203345,0.202809,0.197528,0.180847,0.180642","0.203519,0.203159,0.200371,0.196587,0.196365","0.561019,0.560028,0.552342,0.541913,0.541299","0.022199,-0.016649,-0.013189,-0.010544,0.036622",300,40,26,False,-0.020561149354393127,-0.025269558576015205
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,1.4014299666742502e-05,-0.007695193211509044,0.0008,-0.008495193211509044,0.8,1.5694776554822507,0.5097237270027813,0.9665270030925716,0.9603320325016312,"002916,002493,603392,601059,601995","0.103299,0.202440,0.101945,0.107440,0.100485","0.202658,0.202085,0.200000,0.198120,0.197137","0.554513,0.552945,0.547242,0.542098,0.539407","0.015684,-0.049898,0.007710,0.000000,0.000000",300,40,30,False,-0.02809812054896954,-0.033550082005051496
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,6.9358552048370825e-06,-0.001869648581775426,0.0008,-0.002669648581775426,0.8,1.5838846788696581,0.5050872772952898,0.9647199372519919,0.9577682834530298,"000002,601059,601816,000538,601995","0.102944,0.153853,0.100613,0.100646,0.149998","0.203815,0.199332,0.199198,0.199142,0.198513","0.552255,0.540106,0.539745,0.539592,0.537888","0.002045,0.000000,-0.015326,-0.005348,0.000000",300,40,30,False,-0.02991523551950992,-0.036130163657983716
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,1.3036854900061456e-06,0.006123439166567268,0.0008,0.005323439166567268,0.8,0.985177017893553,0.8120368070608391,0.9706273411005291,0.9628669046456596,"601816,000002,601059,601995,601298","0.181282,0.186433,0.190221,0.189162,0.160313","0.199955,0.205758,0.198640,0.198227,0.197420","0.546155,0.562006,0.542563,0.541435,0.539232","-0.009690,0.025210,0.000000,0.000000,0.019837",300,40,34,False,-0.02397498047779989,-0.03099906121972773
