profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,-0.009904393081345235,0.0008,-0.010704393081345236,0.8,0.9999999999999999,0.8000000000000002,0.9900956069186547,0.9892956069186548,"300347,600036,300316,000001,600941","0.160784,0.160054,0.159937,0.159692,0.159533","0.200980,0.200067,0.199921,0.199615,0.199417","0.544603,0.542131,0.541735,0.540906,0.540369","-0.043853,0.002084,-0.006916,-0.001715,-0.011328",300,40,22,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.061993499881976,-0.009322114538971282,0.0007999999999999999,-0.010122114538971282,0.7999999999999999,1.159365681059712,0.6900325005901196,0.9808658222664268,0.9792818434725231,"600941,300347,000538,600115,600918","0.186329,0.196024,0.136056,0.135914,0.134997","0.198366,0.211855,0.197174,0.196967,0.195639","0.546373,0.583527,0.543090,0.542520,0.538863","-0.012588,-0.053474,-0.005884,0.031683,0.000000",300,40,29,False,-0.009322114538971249,-0.010122114538971272
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.029913195447666463,-0.0191503782796232,0.0008,-0.019950378279623197,0.8,1.5459578947305634,0.5174785178346838,0.9620818707284711,0.9597448002528796,"300347,002074,688223,300803,000617","0.203378,0.103215,0.102434,0.101572,0.101465","0.210235,0.199458,0.197948,0.196282,0.196076","0.584266,0.554316,0.550119,0.545488,0.544916","-0.041569,-0.026443,-0.049470,-0.007689,-0.020879",300,40,23,False,-0.028293970798807133,-0.02987055280455231
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.01242027241469168,-0.012352056734719317,0.0007999999999999999,-0.013152056734719317,0.7999999999999999,1.3680135854381337,0.5847895141653758,0.9501981808777882,0.9471221821891018,"002493,601012,600515,002074,300347","0.117765,0.117648,0.117160,0.159389,0.200128","0.201381,0.201180,0.200345,0.199273,0.197821","0.564465,0.563901,0.561561,0.558557,0.554487","0.012371,-0.035389,-0.035928,-0.011282,-0.018178",300,40,25,False,-0.04029653880096906,-0.04262975033408867
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.00548772425669497,0.0033470636297990965,0.0008,0.0025470636297990966,0.8,1.433270668346065,0.5581639376763127,0.9533785546501056,0.9495345626523316,"002074,688012,002493,600011,600674","0.183883,0.112162,0.164119,0.110414,0.110044","0.203272,0.200947,0.200812,0.197816,0.197153","0.558070,0.551689,0.551316,0.543090,0.541272","0.007499,0.045554,-0.007202,-0.008872,-0.008904",300,40,24,False,-0.03708435025059731,-0.040191267390912944
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.001400740019611768,0.007843369520749634,0.0008,0.007043369520749633,0.8,1.074185548728471,0.7447502909967199,0.9608562549473845,0.9562224854498155,"002493,002074,601111,601059,688012","0.193755,0.196426,0.148997,0.147397,0.175632","0.203912,0.200725,0.200063,0.197914,0.197386","0.557807,0.549090,0.547279,0.541400,0.539955","-0.028689,0.031135,-0.025030,0.000000,0.062720",300,40,24,False,-0.02953184699230016,-0.03343097981790466
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0001830272452023607,0.0029897555027753866,0.0008,0.0021897555027753867,0.8,0.9202432948383901,0.8693353208734798,0.9637289802229896,0.9583163788992068,"002493,002074,601111,002415,603501","0.201945,0.201424,0.194781,0.170925,0.170712","0.203176,0.202175,0.201663,0.196616,0.196371","0.559171,0.556416,0.555007,0.541116,0.540443","-0.016649,0.022199,-0.013189,-0.010544,0.036622",300,40,26,False,-0.026630384491577064,-0.03131442998714862
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,5.7649511917223784e-05,-0.01114539589593359,0.0008,-0.01194539589593359,0.8,1.167845296971121,0.6850222388828807,0.95298783920202,0.9468689103596983,"002493,603392,002916,601111,601059","0.202056,0.136972,0.138128,0.197380,0.141512","0.202107,0.199953,0.201641,0.198575,0.197725","0.553254,0.547358,0.551978,0.543587,0.541259","-0.049898,0.007710,0.015684,-0.021713,0.000000",300,40,30,False,-0.03747897420949109,-0.042885762619630285
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,3.078369432141237e-05,-0.0017293274345846885,0.0008,-0.0025293274345846886,0.8,1.7166650286869558,0.46601986213460916,0.9513398111868624,0.9444739688477702,"000002,601816,601059,000538,601995","0.094897,0.093132,0.168402,0.092768,0.092454","0.203632,0.199845,0.199213,0.198920,0.198390","0.552040,0.541773,0.540060,0.539265,0.537830","0.002045,-0.015326,0.000000,-0.005348,0.000000",300,40,28,False,-0.039143488225755196,-0.045306617918268066
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,8.440265530373914e-06,0.0056131506214722226,0.0008,0.004813150621472222,0.8,1.1022012640725878,0.7258202526860053,0.9566798248392573,0.9490198643178941,"601816,000002,601059,601298,601995","0.170748,0.175158,0.190164,0.143771,0.169054","0.200067,0.205477,0.198385,0.198081,0.197990","0.546738,0.561520,0.542141,0.541310,0.541059","-0.009690,0.025210,0.000000,0.019837,0.000000",300,40,34,False,-0.03375005589954394,-0.040711534872986066
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-10,5,5,4.2713650413306326e-06,-0.003336188573794209,0.0007999999999999999,-0.004136188573794209,0.7999999999999999,1.6196626525713802,0.4939300160622449,0.9534881605388491,0.9450945391987987,"600741,600406,600023,002594,601059","0.099490,0.098960,0.098710,0.098646,0.194359","0.201426,0.200352,0.199847,0.199717,0.198657","0.545712,0.542803,0.541434,0.541083,0.538210","-0.009596,0.005307,-0.003891,-0.025572,0.000000",300,40,33,False,-0.036973647922481145,-0.04467933286141701
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-11,5,5,1.8986357129824327e-06,0.031903167177890546,0.0008,0.031103167177890547,0.8,1.4401524827202887,0.555496733574273,0.9839074527266592,0.9744899726504104,"601059,601995,601878,600030,600918","0.198148,0.149764,0.110846,0.110700,0.110464","0.201180,0.201146,0.199545,0.199280,0.198849","0.541682,0.541588,0.537277,0.536566,0.535404","0.068016,0.100029,0.005489,0.022647,0.002985",300,40,31,False,-0.006250057215438032,-0.014965834442911663
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-12,5,5,7.339826714192199e-07,0.006094448829066135,0.0008,0.0052944488290661345,0.8,1.3041725873002008,0.6134157455771244,0.9899038263498388,0.979649359945046,"601995,601059,600795,002459,300413","0.181771,0.200467,0.121978,0.121978,0.121719","0.201943,0.201928,0.198851,0.198850,0.198428","0.545623,0.545583,0.537268,0.537267,0.536126","0.022643,0.006183,0.015254,-0.005396,-0.003807",300,40,30,False,-0.00019369904025012818,-0.00975062145848793
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-15,5,5,1.213069840133585e-07,0.009778545795456525,0.0007999999999999999,0.008978545795456525,0.7999999999999999,0.9583963411379581,0.8347277276227023,0.9995836462488982,0.9884451865868022,"600795,601995,601059,601066,600023","0.189155,0.197072,0.200152,0.166224,0.168261","0.202456,0.200102,0.200090,0.199135,0.198217","0.550751,0.544345,0.544312,0.541716,0.539219","0.003413,0.024649,0.006745,0.019556,-0.001934",300,40,28,False,0.0,-0.0008596220643305452
