profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,-0.00987186339585593,0.0008,-0.01067186339585593,0.8,1.0,0.8,0.9901281366041441,0.9893281366041441,"600036,000001,300316,600941,300347","0.160185,0.160081,0.160005,0.159768,0.159962","0.200231,0.200101,0.200006,0.199710,0.199952","0.541722,0.541372,0.541114,0.540314,0.540968","0.002084,-0.001715,-0.006916,-0.011328,-0.043853",300,40,22,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.06213319472307299,-0.009290265502925586,0.0008,-0.010090265502925586,0.8,1.1605404192736246,0.6893340263846349,0.9809295833331747,0.9793455530362937,"600941,300347,000538,600918,600115","0.186610,0.195260,0.135913,0.135167,0.135713","0.198707,0.211167,0.197165,0.196084,0.196876","0.546607,0.580882,0.542365,0.539390,0.541568","-0.012588,-0.053474,-0.005884,0.000000,0.031683",300,40,28,False,-0.009290265502925554,-0.010090265502925577
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.030009481304014818,-0.015199969763334159,0.0007999999999999999,-0.01599996976333416,0.7999999999999999,1.5473477530455328,0.5170137084087386,0.9660194833265505,0.9636760537998572,"300347,002074,688223,002252,000651","0.203243,0.102319,0.102033,0.101923,0.101803","0.210701,0.197904,0.197351,0.197137,0.196906","0.582707,0.547318,0.545788,0.545196,0.544557","-0.041569,-0.026443,-0.049470,-0.003021,0.012865",300,40,23,False,-0.024349023511521795,-0.02592879132330883
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.012472257247549079,-0.012342606842099242,0.0008000000000000001,-0.013142606842099242,0.8000000000000002,1.3689501238002815,0.5843894427498613,0.9540962846420431,0.95101083830162,"002493,601012,600515,002074,300347","0.117829,0.117701,0.117062,0.158497,0.200296","0.201627,0.201408,0.200314,0.198450,0.198201","0.562558,0.561945,0.558895,0.553692,0.552998","0.012371,-0.035389,-0.035928,-0.011282,-0.018178",300,40,24,False,-0.03639109992942924,-0.038730626255155
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0055184824507743535,0.003319864023472914,0.0008000000000000001,0.002519864023472914,0.8000000000000002,1.4348761772767065,0.5575393979418792,0.9572637545723554,0.9534072562989891,"002074,688012,002493,600011,600674","0.183078,0.111778,0.163895,0.110623,0.110429","0.202586,0.200484,0.200453,0.198413,0.198064","0.554355,0.548603,0.548518,0.542936,0.541982","0.007499,0.045554,-0.007202,-0.008872,-0.008904",300,40,25,False,-0.03319204940938669,-0.03630835814338895
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.002123889332670603,-0.0024552203401453365,0.0008,-0.0032552203401453365,0.8,1.3005346464278855,0.6151316323615988,0.9549134611312454,0.9503037056058425,"002493,601111,002074,601059,002459","0.188247,0.123193,0.193637,0.122074,0.121519","0.203483,0.200271,0.200244,0.198452,0.197549","0.555867,0.547093,0.547017,0.542124,0.539656","-0.028689,-0.025030,0.031135,0.000000,0.000000",300,40,24,False,-0.035565775954691015,-0.03944538677758869
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0004036547327904705,0.00028322998837229316,0.0008,-0.0005167700116277069,0.8,0.9877207831157667,0.8099454964148864,0.9551839212597383,0.9498126171488467,"002493,601111,002074,002415,000938","0.200133,0.186951,0.200201,0.159366,0.159286","0.202922,0.201912,0.201742,0.196762,0.196662","0.558226,0.555449,0.554979,0.541279,0.541006","-0.016649,-0.013189,0.022199,-0.010544,0.020825",300,40,25,False,-0.035292619260628766,-0.03994177259623277
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.00014013546490421191,-0.017400886957419794,0.0007999999999999999,-0.018200886957419792,0.7999999999999999,1.2254276084730593,0.6528333411688332,0.9385628738223526,0.9325251850733894,"002493,603392,002916,601111,000596","0.201290,0.130424,0.131526,0.194760,0.129216","0.201906,0.199782,0.201469,0.198913,0.197931","0.553137,0.547318,0.551940,0.544937,0.542249","-0.049898,0.007710,0.015684,-0.021713,-0.047955",300,40,31,False,-0.05207938333986306,-0.05741568386574958
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,8.36046596063289e-05,-0.0015005953623544745,0.0008,-0.0023005953623544744,0.8,1.983137712838187,0.4034011328719437,0.9371544707266167,0.9303798219573308,"000002,601816,601059,000538,601995","0.081873,0.080764,0.085220,0.080458,0.080074","0.202956,0.200208,0.199342,0.198996,0.198498","0.549985,0.542539,0.540191,0.539254,0.537904","0.002045,-0.015326,0.000000,-0.005348,0.000000",300,40,30,False,-0.05350182862110342,-0.05958418897207618
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,3.384197592593008e-05,0.004782586590813236,0.0007999999999999999,0.003982586590813237,0.7999999999999999,1.3440538720677613,0.595214237037418,0.9416364931318346,0.9340851401606213,"601816,000002,601059,601298,601995","0.151836,0.155174,0.152612,0.118060,0.150275","0.200169,0.205024,0.198442,0.198349,0.198016","0.546468,0.559721,0.541753,0.541498,0.540589","-0.009690,0.025210,0.000000,0.019837,0.000000",300,40,35,False,-0.04897511915843733,-0.055838901573287636
