profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,risk_penalty,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600036,0.20023064357631745,0.16018451486105398,0.5417221,0.0020842982862435,0.9340909090909091,0.6590909090909091,0.0107039360382764,0.0088568629087808,0.2187,-0.2377666248431619,-0.1227064220183484
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,000001,0.200101129167529,0.16008090333402322,0.5413717,-0.0017152658662093,0.8961363636363637,0.5840909090909091,0.0088244709956309,0.0125233763903213,0.4232,-0.2774087796882203,-0.0264976958525346
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,300316,0.200005989302169,0.1600047914417352,0.5411143,-0.0069156293222682,0.8090909090909091,1.0,0.0294358002795382,0.0289628358516815,2.3847,0.4840006471928011,0.9543023821098692
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600941,0.19971034605155955,0.15976827684124764,0.54031444,-0.0113280530484434,0.7831818181818182,0.35,0.0057043386453258,0.003607903873591,1.0859,-0.1360558830783428,-0.0929878048780491
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,300347,0.19995189190242504,0.15996151352194005,0.54096794,-0.0438527799530149,0.7777272727272727,0.8590909090909091,0.0199599312217742,0.0218821323361282,1.5692,-0.2239098287279975,-0.265432098765432
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600941,0.19870741164408182,0.18661034741881938,0.5466068,-0.0125879303961495,0.9380357142857143,0.2625,0.0059264285834298,0.0037909930464205,0.9458,-0.2068696592843546,-0.2457627118644069
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,300347,0.21116747644079564,0.19525952611569708,0.5808821,-0.0534738485558156,0.9178571428571428,0.8214285714285714,0.0200785698082803,0.0156845281476603,1.4429,-0.2765968113907551,-0.0783090783090783
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,000538,0.19716546712888455,0.13591286531996138,0.5423652,-0.0058844507845934,0.9067857142857143,0.21785714285714286,0.0064666083021048,0.0040766160776754,0.2421,-0.3704820843517603,-0.4242424242424243
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600918,0.19608385935915934,0.1351672762810878,0.5393899,0.0,0.8139285714285713,0.43214285714285716,0.0079735588694933,0.010454857297162,0.3464,-0.5066862245261254,-0.1981845688350983
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600115,0.1968757854270786,0.13571317786608553,0.54156834,0.0316831683168315,0.80625,0.8660714285714286,0.0240227456149616,0.0228390524939194,0.5689,-0.1796446905462305,-0.1054313099041532
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,300347,0.21070082733414197,0.20324289052130165,0.582707,-0.0415686274509803,0.9367391304347826,0.6326086956521739,0.0195245099241311,0.0098297474405359,1.2893,-0.3384439347526028,-0.4264448336252188
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,002074,0.1979044946169948,0.10231933667268973,0.5473179,-0.0264429188914314,0.876304347826087,0.8021739130434782,0.0245117825530542,0.0056345602273338,2.4247,-0.0940814717673387,0.0635155096011816
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,688223,0.19735131667216638,0.10203333609202406,0.54578805,-0.0494699646643108,0.848695652173913,0.6434782608695652,0.0274345933679513,0.0078562566043674,0.5468,-0.4782940559106956,-0.0858208955223881
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,002252,0.19713727367158382,0.10192267292653394,0.5451961,-0.0030211480362538,0.8452173913043478,0.2434782608695652,0.0061537636413242,0.0031371961053227,0.2253,-0.485851209493382,0.0439560439560444
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,000651,0.19690608770511295,0.10180314661267678,0.54455674,0.0128649183572488,0.7991304347826087,0.26956521739130435,0.0067531827199083,0.0036819990353505,0.3706,-0.3848554260863792,-0.2959183673469389
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,002493,0.20162732755053261,0.1178288815903995,0.56255835,0.0123711340206187,0.93125,0.6875,0.0240703049201619,0.0087152270518453,0.3172,-0.1830637684145462,0.003717472118959
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,601012,0.20140765361745708,0.11770050646306282,0.56194544,-0.0353887399463806,0.8935416666666667,0.6479166666666666,0.0289528648161917,0.0107411352841284,1.6816,-0.2709647491340106,-0.1972672929120409
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,600515,0.20031446658096813,0.11706165949998767,0.55889535,-0.0359281437125748,0.8533333333333333,0.6333333333333333,0.0236269605165606,0.0133584034000724,1.4202,-0.245429380542258,-0.1482067510548523
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,002074,0.19844969147588015,0.15849690114747264,0.55369246,-0.0112820512820512,0.8314583333333333,0.4354166666666667,0.0236179196524874,0.0052929438075655,1.9914,-0.2388807564563656,-0.3387096774193548
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,300347,0.19820086077516216,0.20029638156762697,0.5529982,-0.0181782256471053,0.7795833333333334,0.5375000000000001,0.0191711189774091,0.0041742182667302,1.8503,-0.0092579206356856,0.0412757973733584
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,002074,0.2025860871662487,0.18307835937612857,0.5543554,0.0074993535040083,0.9492,0.5080000000000001,0.0225641889762198,0.0116630552587691,1.5126,-0.3878591663294212,-0.3692178301093356
