profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,-0.009894501364809563,0.0008,-0.010694501364809563,0.8,1.0,0.8,0.9901054986351905,0.9893054986351905,"300347,300316,600036,000001,600941","0.160536,0.160227,0.160007,0.159815,0.159414","0.200670,0.200284,0.200009,0.199769,0.199268","0.543026,0.541982,0.541236,0.540589,0.539232","-0.043853,-0.006916,0.002084,-0.001715,-0.011328",300,40,21,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.06208076293963227,-0.008639505704570982,0.0007999999999999999,-0.009439505704570982,0.7999999999999999,1.160099224809135,0.689596185301839,0.9815514765316047,0.9799669437372601,"600941,300347,000538,600115,600905","0.186385,0.195454,0.135984,0.136064,0.135023","0.198525,0.211171,0.197193,0.197310,0.195801","0.545833,0.580602,0.542171,0.542493,0.538342","-0.012588,-0.053474,-0.005884,0.031683,0.004796",300,40,28,False,-0.008639505704570949,-0.009439505704570972
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.029977188377736552,-0.015207479858855415,0.0008000000000000001,-0.016007479858855415,0.8000000000000002,1.5470118524014356,0.51712596691367,0.9666245522218205,0.9642801426230418,"300347,002074,688223,000651,002252","0.203152,0.102800,0.102024,0.101824,0.101707","0.210340,0.198790,0.197289,0.196903,0.196677","0.582388,0.550409,0.546254,0.545184,0.544558","-0.041569,-0.026443,-0.049470,0.012865,-0.003021",300,40,23,False,-0.02371560045443366,-0.025295882865982944
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.012434948801102408,-0.012363155835018989,0.0008,-0.013163155835018989,0.8,1.3670860323976206,0.5851862875059483,0.9546740222487466,0.9515871728370804,"601012,002493,600515,002074,300347","0.117675,0.117622,0.117330,0.158944,0.200528","0.201089,0.200999,0.200501,0.198742,0.198669","0.562163,0.561913,0.560518,0.555602,0.555397","-0.035389,0.012371,-0.035928,-0.011282,-0.018178",300,40,25,False,-0.035785556625313464,-0.03812606505285265
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.005499834482080357,0.003335642214750576,0.0008,0.002535642214750576,0.8,1.434433317644961,0.55771152981404,0.9578584732186853,0.9540000574435413,"002074,688012,002493,600011,600674","0.183603,0.111949,0.163823,0.110422,0.110235","0.203158,0.200730,0.200463,0.197992,0.197657","0.556887,0.550231,0.549500,0.542725,0.541807","0.007499,0.045554,-0.007202,-0.008872,-0.008904",300,40,25,False,-0.03256928222392064,-0.03568709689813232
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0021144036428990542,-0.0024208374724771775,0.0008,-0.0032208374724771774,0.8,1.2996477537636622,0.6155514043580443,0.9555396535333878,0.9509273783097818,"002493,002074,601111,601059,002459","0.188116,0.194385,0.122900,0.122102,0.121615","0.203288,0.201120,0.199659,0.198362,0.197571","0.555634,0.549707,0.545713,0.542171,0.540007","-0.028689,0.031135,-0.025030,0.000000,0.000000",300,40,24,False,-0.03491127475753841,-0.038792992031636
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.00040074440920001564,0.0028329156752919596,0.0008,0.0020329156752919597,0.8,0.987082426339825,0.8104692968412572,0.9582466167962456,0.9528605334832122,"002493,002074,601111,603501,002415","0.199990,0.200950,0.186374,0.159496,0.159448","0.202767,0.202485,0.201218,0.196794,0.196736","0.558325,0.557550,0.554061,0.541880,0.541719","-0.016649,0.022199,-0.013189,0.036622,-0.010544",300,40,25,False,-0.0321772597797515,-0.03683893923793646
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.00012918819591156705,-0.011068671334155275,0.0008000000000000001,-0.011868671334155275,0.8000000000000002,1.1805862347160185,0.6776294492307327,0.9476400999378617,0.9415513449840122,"002916,002493,603392,601111,601059","0.137251,0.201303,0.135203,0.194315,0.141571","0.202545,0.201928,0.199523,0.198092,0.197912","0.554680,0.552989,0.546405,0.542484,0.541991","0.015684,-0.049898,0.007710,-0.021713,0.000000",300,40,31,False,-0.04288977160097096,-0.04827038130997774
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,6.89663051539613e-05,-0.0017323927060315836,0.0008000000000000001,-0.0025323927060315835,0.8000000000000002,1.716162601820375,0.4661562949521338,0.9459984151407863,0.9391669672256204,"000002,601816,601059,000538,601995","0.094728,0.093253,0.168470,0.092930,0.092504","0.203211,0.200046,0.199275,0.199029,0.198439","0.550744,0.542167,0.540078,0.539412,0.537813","0.002045,-0.015326,0.000000,-0.005348,0.000000",300,40,29,False,-0.04454786237951769,-0.05068053445446252
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,1.890103845214597e-05,0.00560408075178272,0.0008,0.00480408075178272,0.8,1.1020223751489358,0.7259380735276649,0.9512998666502938,0.9436788011755791,"601816,000002,601059,601995,601298","0.170957,0.174897,0.190254,0.169123,0.143748","0.200292,0.205162,0.198479,0.198050,0.198017","0.546776,0.560071,0.541825,0.540654,0.540566","-0.009690,0.025210,0.000000,0.000000,0.019837",300,40,35,False,-0.0391934314458291,-0.046119927082742596
