profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_after_secondary_screen,filter_secondary_quality_filter_count,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
sl10__risk_adjusted__cs150__rp-30,2025-11-26,5,5,0.0,0.0007199134808204574,0.001,-0.0002800865191795426,1.0,1.0,1.0,1.0007199134808205,0.9997199134808205,"601939,600803,600482,601658,001979","0.202572,0.204218,0.197665,0.197783,0.197763","0.202572,0.204218,0.197665,0.197783,0.197763","0.538729,0.543108,0.525678,0.525992,0.525939","-0.017490,0.039656,-0.003964,-0.020761,0.005330",300,150,124,124,124,False,0.0,0.0
sl10__risk_adjusted__cs150__rp-30,2025-11-27,5,5,0.0,-0.010815896727145634,0.0007999309783072955,-0.01161582770545293,0.7999309783072955,0.7999309783072955,1.0,0.9898962302438138,0.988107339212117,"600803,300347,600036,001979,601939","0.205994,0.198519,0.199671,0.196899,0.198917","0.205994,0.198519,0.199671,0.196899,0.198917","0.552016,0.531983,0.535071,0.527643,0.533050","0.034128,-0.053474,-0.001160,-0.008439,-0.026832",300,150,123,123,123,False,-0.010815896727145669,-0.011615827705452886
sl10__risk_adjusted__cs150__rp-30,2025-11-28,5,5,0.0,-0.0041765992923111705,0.001,-0.0051765992923111705,1.0,1.1909739457115283,0.8396489306930774,0.985761830349116,0.9829923034592241,"688012,300347,601377,600803,600930","0.167639,0.203912,0.163040,0.206315,0.163608","0.199653,0.204942,0.194177,0.206376,0.194853","0.540830,0.555157,0.525994,0.559040,0.527826","0.018676,-0.041569,0.010432,-0.011014,0.010638",300,150,123,123,123,False,-0.014947322352840464,-0.01673229651228436
sl10__risk_adjusted__cs150__rp-30,2025-12-01,5,5,0.0,-0.014736094445327511,0.0008578271281967347,-0.015593921573524246,0.8578271281967347,0.8578271281967347,1.0,0.9712355509164925,0.967663598571703,"688012,600803,300347,601012,600515","0.200186,0.200870,0.202578,0.198510,0.197856","0.200186,0.200870,0.202578,0.198510,0.197856","0.545128,0.546989,0.551641,0.540563,0.538781","0.042137,-0.026661,-0.018178,-0.035389,-0.035928",300,150,122,122,122,False,-0.029463151644271823,-0.03206529596625107
sl10__risk_adjusted__cs150__rp-30,2025-12-02,5,5,0.0,0.0034847761606147045,0.0008106211745835696,0.002674154986031135,0.8106211745835695,0.8106211745835695,1.0,0.9746200894106678,0.9702512810086245,"601012,688012,600515,688223,002074","0.205571,0.203185,0.195993,0.194592,0.200660","0.205571,0.203185,0.195993,0.194592,0.200660","0.555746,0.549296,0.529853,0.526066,0.542469","-0.013115,0.045554,-0.002016,-0.021505,0.007499",300,150,118,118,118,False,-0.026081047972123628,-0.02947688855130659
sl10__risk_adjusted__cs150__rp-30,2025-12-03,5,5,0.0,0.023925465998336844,0.0008065020481669259,0.023118963950169918,0.8065020481669259,0.8065020481669259,1.0,0.9979383292211587,0.992682485396869,"002459,002625,688012,601012,002074","0.204844,0.198407,0.199330,0.198485,0.198934","0.204844,0.198407,0.199330,0.198485,0.198934","0.569706,0.551803,0.554370,0.552021,0.553268","0.000000,0.002847,0.062720,0.023503,0.031135",300,150,122,122,122,False,-0.0027795832002448506,-0.007039399724917517
sl10__risk_adjusted__cs150__rp-30,2025-12-04,5,5,0.0,0.003055857134325147,0.001,0.002055857134325147,1.0,2.0,0.5,1.0009878861841257,0.9947232987665918,"000630,600104,600515,002493,601111","0.099507,0.099489,0.098184,0.103487,0.099334","0.199013,0.198977,0.196369,0.206974,0.198667","0.541372,0.541273,0.534178,0.563026,0.540430","-0.012478,-0.006502,0.081250,-0.016649,-0.013189",300,150,117,117,117,False,0.0,-0.00499801459073812
sl10__risk_adjusted__cs150__rp-30,2025-12-05,5,5,0.0,-0.011800214450618216,0.001,-0.012800214450618217,1.0,1.3979904831996293,0.7153124517065849,0.9891760144646821,0.9819906272233531,"601877,601111,600515,002493,601298","0.144853,0.171877,0.169184,0.171935,0.143157","0.202502,0.200748,0.197441,0.199177,0.200132","0.545032,0.540310,0.531409,0.536081,0.538652","-0.014804,-0.021713,0.018634,-0.049898,-0.003472",300,150,125,125,125,False,-0.011800214450618185,-0.017734253382767573
sl10__risk_adjusted__cs150__rp-30,2025-12-08,5,5,0.0,-0.008696365654169536,0.0009999999999999998,-0.009696365654169535,0.9999999999999999,1.943343352185102,0.5145771069613594,0.9805737781465631,0.9724688870328282,"000725,600522,600176,000100,000630","0.103152,0.104306,0.102599,0.102573,0.115699","0.200459,0.202702,0.199385,0.199334,0.198120","0.536514,0.542517,0.533639,0.533501,0.530251","-0.021429,0.041617,-0.036283,0.000000,-0.061404",300,150,121,121,121,False,-0.02039396112512748,-0.027258661231534087
sl10__risk_adjusted__cs150__rp-30,2025-12-09,5,5,0.0,0.014587061606279051,0.0010000000000000002,0.01358706160627905,1.0000000000000002,1.5850845296105345,0.6308811809838978,0.9948774682578889,0.9856818817111328,"000725,600522,600741,601456,601899","0.164473,0.165565,0.127501,0.125650,0.124268","0.200351,0.201407,0.202100,0.199166,0.196975","0.533700,0.536512,0.538359,0.530543,0.524705","-0.007194,0.047876,0.018936,0.029637,0.013725",300,150,135,135,135,False,-0.006104387486176699,-0.014041964734712642
