profile_name,model_dir,sequence_length,risk_penalty_weight,sort_strategy,primary_candidate_size,rank_ic_mean,top5_mean_return_mean,worst_fold_rank_ic,best_fold_rank_ic,avg_negative_day_rank_ic_ratio,avg_after_risk_filters,avg_selected_target_return,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,avg_turnover,avg_selected_count,periods
sl20__pure_prediction__cs120__rp-20,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.2,pure_prediction,120,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,96.01666666666667,0.013113921804497643,0.8803223032712588,3.842787234585839,-0.0430676267196306,0.8866657934613483,5.0,60
sl20__pure_prediction__cs150__rp-20,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.2,pure_prediction,150,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,121.48333333333335,0.013113921804497643,0.8803223032712588,3.842787234585839,-0.0430676267196306,0.8866657934613483,5.0,60
sl20__pure_prediction__cs180__rp-20,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.2,pure_prediction,180,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,146.63333333333335,0.013113921804497643,0.8803223032712588,3.842787234585839,-0.0430676267196306,0.8866657934613483,5.0,60
sl20__risk_adjusted__cs120__rp-20,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.2,risk_adjusted,120,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,96.01666666666667,0.013051119247150897,0.8850594109994128,3.462658532097474,-0.05921852808011274,0.9330250202502425,5.0,60
sl20__risk_adjusted__cs150__rp-20,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.2,risk_adjusted,150,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,121.48333333333335,0.013703035724523407,0.9348777412349094,3.4469476749997447,-0.07084716242181244,0.9465963895444869,5.0,60
sl20__risk_adjusted__cs180__rp-20,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.2,risk_adjusted,180,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,146.63333333333335,0.014071739416985982,0.9814678214105024,3.5359222690861274,-0.07601162217987223,0.9595021801684104,5.0,60
sl20__pure_prediction__cs120__rp-30,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.3,pure_prediction,120,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,96.01666666666667,0.013113921804497643,0.8803223032712588,3.842787234585839,-0.0430676267196306,0.8866657934613483,5.0,60
sl20__pure_prediction__cs150__rp-30,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.3,pure_prediction,150,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,121.48333333333335,0.013113921804497643,0.8803223032712588,3.842787234585839,-0.0430676267196306,0.8866657934613483,5.0,60
sl20__pure_prediction__cs180__rp-30,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.3,pure_prediction,180,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,146.63333333333335,0.013113921804497643,0.8803223032712588,3.842787234585839,-0.0430676267196306,0.8866657934613483,5.0,60
sl20__risk_adjusted__cs120__rp-30,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.3,risk_adjusted,120,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,96.01666666666667,0.014270521664662472,0.9788585342980436,3.590072817184036,-0.06593024628161359,0.9540007918855946,5.0,60
sl20__risk_adjusted__cs150__rp-30,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.3,risk_adjusted,150,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,121.48333333333335,0.015370015216464713,1.0873893426109587,3.803308172367091,-0.07601180562007293,0.9533175973306517,5.0,60
sl20__risk_adjusted__cs180__rp-30,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.3,risk_adjusted,180,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,146.63333333333335,0.016263609259241446,1.1712462279797915,4.019487965088474,-0.0900673064031069,0.956671403522694,5.0,60
sl20__pure_prediction__cs120__rp-40,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.4,pure_prediction,120,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,96.01666666666667,0.013113921804497643,0.8803223032712588,3.842787234585839,-0.0430676267196306,0.8866657934613483,5.0,60
sl20__pure_prediction__cs150__rp-40,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.4,pure_prediction,150,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,121.48333333333335,0.013113921804497643,0.8803223032712588,3.842787234585839,-0.0430676267196306,0.8866657934613483,5.0,60
sl20__pure_prediction__cs180__rp-40,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.4,pure_prediction,180,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,146.63333333333335,0.013113921804497643,0.8803223032712588,3.842787234585839,-0.0430676267196306,0.8866657934613483,5.0,60
sl20__risk_adjusted__cs120__rp-40,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.4,risk_adjusted,120,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,96.01666666666667,0.015463729188287234,1.1084580299976818,3.929769250594617,-0.07005652944855845,0.9579307558626007,5.0,60
sl20__risk_adjusted__cs150__rp-40,app\model\stability_parameter_compare_sl20_refine\models\lstm_sl20,20,-0.4,risk_adjusted,150,0.02798208721102495,0.007502490371932375,-0.033492236853097226,0.11894604612263202,0.39999999999999997,121.48333333333335,0.015940721348327715,1.0926442141555994,3.724492886159539,-0.1029380780768977,0.9542087489361665,5.0,60
