profile_name,fold_id,date,day_rank_ic,candidate_count,prediction_mean,prediction_std,target_mean,target_std,avg_volatility_20d,avg_volatility_5d,avg_turnover_rate,avg_turnover_ratio_10d,avg_amplitude_ratio_5d,selected_count,selected_pred_return_mean,selected_target_return_mean,selected_weighted_target_return,selected_volatility_20d_mean,selected_volatility_5d_mean,selected_turnover_rate_mean,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_after_secondary_screen,filter_fallback_used,sequence_length,risk_penalty_weight,sort_strategy,primary_candidate_size
sl20__risk_adjusted__cs120__rp-20,1,2025-11-26,-0.10591511862962646,300,0.5259081864333334,0.03520209765756556,0.00871248038623854,0.031059058737763434,0.01911507154056696,0.018701012800123654,1.1424560000000001,-0.09702693589271977,-0.12757548712361397,5,0.58241259,0.0013647200740357004,0.0014121173850970804,0.008813515115227401,0.007585696269895861,0.3027,300,120,96,96,0,20,-0.2,risk_adjusted,120
sl20__risk_adjusted__cs120__rp-20,1,2025-11-27,-0.09600439116989709,300,0.5313566928333334,0.03412351332876996,0.006520541589028746,0.035966486693302074,0.018761714780250502,0.0187267133033879,1.0946293333333335,-0.10221509459272082,-0.10279976250371897,5,0.585058556,-0.00817064385165702,-0.008101787371082346,0.013588292091588319,0.0115939174155845,1.1470000000000002,300,120,100,100,0,20,-0.2,risk_adjusted,120
sl20__risk_adjusted__cs120__rp-20,1,2025-11-28,-0.02361996496873892,300,0.52570704,0.034968617412769486,-0.0024013733862022447,0.033944920706592704,0.018009944409587524,0.013327795217730948,0.956631,-0.16405738453017676,-0.1222449036174351,5,0.5801649280000001,-0.0089112129281373,-0.008997827754240673,0.01354828577888858,0.006834971320652521,0.9410599999999999,300,120,103,103,0,20,-0.2,risk_adjusted,120
sl20__risk_adjusted__cs120__rp-20,1,2025-12-01,-0.04506477301392021,300,0.5133730175000001,0.04147486238699339,0.00038376468407220283,0.038252830783501904,0.01834038186217192,0.013839782209492899,1.3700813333333335,0.16998198524121147,0.12580044530885143,5,0.5713590740000001,0.011649700657391081,0.011675762698750272,0.02143262625213552,0.013622584408491682,1.3247399999999998,300,120,98,98,0,20,-0.2,risk_adjusted,120
sl20__risk_adjusted__cs120__rp-20,1,2025-12-02,-0.003458751214226022,300,0.5175215510999999,0.03919753967809371,0.005661202111109214,0.03992151511444516,0.018100374163062437,0.014492318122117277,1.0516143333333332,-0.11185102750213266,-0.06256847749070583,5,0.5726372,0.01107218135881298,0.01123610044639937,0.02261751139880808,0.01406397044662804,1.5112,300,120,98,98,0,20,-0.2,risk_adjusted,120
sl20__risk_adjusted__cs120__rp-20,1,2025-12-03,0.20662585876062353,300,0.5251256825,0.03896916653653254,0.0013027612796860308,0.04338956684538926,0.018080796727540205,0.0145874845342174,1.0333456666666665,-0.09348647969508539,0.058180799332410625,5,0.586099974,0.026722329817078123,0.026891444007765032,0.02417546120390612,0.015931774611207438,1.5469000000000002,300,120,104,104,0,20,-0.2,risk_adjusted,120
sl20__risk_adjusted__cs120__rp-20,1,2025-12-04,-0.10958868492719595,300,0.5248773302333334,0.03944765978951541,0.00828145668724565,0.034708132070079,0.017528733269125296,0.01459138847816717,0.9536159999999999,-0.15933976437850308,-0.04315944584139579,5,0.5796062200000001,0.02105873948102186,0.020861989618444127,0.01902240139888414,0.01482397774229748,1.05496,300,120,99,99,0,20,-0.2,risk_adjusted,120
sl20__risk_adjusted__cs120__rp-20,1,2025-12-05,0.050298803452844876,300,0.5101591348666666,0.042668077992253514,-0.010352760226929434,0.030426012903726467,0.017632443961958996,0.015720058461574312,1.136266,0.05930147019919658,0.10098138877690864,5,0.572405558,-0.0011801547313217788,-0.0011731203327246108,0.014236456965704141,0.01109635388955982,0.9219999999999999,300,120,102,102,0,20,-0.2,risk_adjusted,120
sl20__risk_adjusted__cs120__rp-20,1,2025-12-08,0.09314694788223313,300,0.5078993318333334,0.04377946225095241,-0.010410610970843498,0.030725295697685166,0.017131356302736607,0.014569927823218662,1.3106679999999997,0.18464006400761648,0.014389834697719817,5,0.57586213,0.0011552708274570798,0.0011535809377223238,0.011436710778139859,0.009942872874677721,0.64184,300,120,104,104,0,20,-0.2,risk_adjusted,120
sl20__risk_adjusted__cs120__rp-20,1,2025-12-09,0.22866444552967757,300,0.5118383459999999,0.04436925130813857,-0.003435043734788855,0.03266527133140459,0.017293466318454756,0.015384440718267918,1.2065886666666665,0.08159133576899794,0.04719848155822513,5,0.5803973860000001,0.01174939507503898,0.011761245188961692,0.01173398757191656,0.0107453280822293,0.47450000000000003,300,120,111,111,0,20,-0.2,risk_adjusted,120
