profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_after_secondary_screen,filter_secondary_quality_filter_count,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.00880011191387868,0.0008,0.00800011191387868,0.8,1.0,0.8,1.0088001119138787,1.0080001119138786,"600941,600803,601728,600050,601186","0.162213,0.160591,0.160025,0.159554,0.157617","0.202766,0.200739,0.200031,0.199443,0.197021","0.548595,0.543108,0.541194,0.539602,0.533050","-0.011328,0.039656,0.019034,0.000000,0.007762",300,40,32,32,32,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,1.1102230246251565e-16,0.007763054206446916,0.0005152337630934665,0.00724782044335345,0.5152337630934665,0.5152337630934665,1.0,1.016631481866136,1.0153059157319106,"600941,600803,600050,601728,600036","0.202382,0.203708,0.198301,0.198154,0.197455","0.202382,0.203708,0.198301,0.198154,0.197455","0.548422,0.552016,0.537364,0.536965,0.535071","-0.012588,0.034128,-0.005525,0.023634,-0.001160",300,40,33,33,33,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.0,-0.007967689218379183,0.0008,-0.008767689218379183,0.8,1.199970298121698,0.6666831681186046,1.0085312781690063,1.0064040290011913,"600803,600941,300347,000651,000538","0.205660,0.198332,0.136803,0.130733,0.130512","0.206635,0.196307,0.205200,0.196095,0.195764","0.559040,0.531097,0.555157,0.530523,0.529628","-0.011014,-0.004686,-0.041569,0.012865,-0.005887",300,40,29,29,29,False,-0.007967689218379093,-0.008767689218379227
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0,-0.00757534812847701,0.0008000000000000001,-0.00837534812847701,0.8000000000000002,1.0634398974832715,0.7522757063123866,1.0008913026384183,0.9979750449004046,"300347,600803,688012,601012,000651","0.186188,0.201962,0.150501,0.149241,0.181606","0.202451,0.200744,0.200061,0.198386,0.198359","0.551641,0.546989,0.545128,0.540563,0.540491","-0.018178,-0.026661,0.042137,-0.035389,0.000734",300,40,26,26,26,False,-0.01548267932724734,-0.017069604897369972
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0,0.0042385941746664844,0.0008,0.0034385941746664845,0.8,1.3014443091712145,0.614701677484345,1.005133674683256,1.0014066760762614,"688012,002074,600803,600515,600690","0.183743,0.124192,0.200004,0.121304,0.121262","0.204579,0.202036,0.198777,0.197338,0.197270","0.549296,0.542469,0.533718,0.529853,0.529673","0.045554,0.007499,-0.010570,-0.002016,-0.022302",300,40,19,19,19,False,-0.011309709946985436,-0.013689706166667537
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0,0.019926495675851984,0.0008,0.019126495675851986,0.8,1.2691262607801088,0.6303549337228705,1.025162466505485,1.0205600765360032,"688012,002074,601012,002493,000938","0.195630,0.173363,0.148424,0.124450,0.123570","0.202600,0.202197,0.201742,0.197428,0.196033","0.554370,0.553268,0.552021,0.540218,0.536401","0.062720,0.031135,0.023503,-0.028689,0.018944",300,40,21,21,21,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0,-0.0023244248902550653,0.0008,-0.003124424890255065,0.8,1.4043746873919762,0.569648546917103,1.0227795533517845,1.0173714132308735,"002493,000630,600104,601111,002074","0.171197,0.113116,0.113095,0.112919,0.187486","0.206514,0.198571,0.198535,0.198226,0.198155","0.563026,0.541372,0.541273,0.540430,0.540237","-0.016649,-0.012478,-0.006502,-0.013189,0.022199",300,40,22,22,22,False,-0.0023244248902549725,-0.0031244248902549954
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0,-0.015419549436627558,0.0008,-0.016219549436627557,0.8,1.4095056334041598,0.5675748865706087,1.0070087534661047,1.0008701072985637,"601877,601111,601298,000651,002493","0.114896,0.162730,0.113551,0.117030,0.187039","0.202434,0.200680,0.200064,0.197713,0.199109","0.545032,0.540310,0.538652,0.532322,0.536081","-0.014804,-0.021713,-0.003472,-0.003914,-0.049898",300,40,31,31,31,False,-0.017708132742375593,-0.01929329756291409
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,0.0,0.011478567960310479,0.0008,0.010678567960310479,0.8,1.675087053856888,0.47758711892495376,1.0185677718793928,1.0115579667587948,"600522,601298,600104,600741,601456","0.096152,0.155074,0.120823,0.095221,0.095187","0.201329,0.200493,0.199491,0.199378,0.199309","0.542517,0.540265,0.537564,0.537261,0.537075","0.041617,0.012821,0.025641,0.008101,0.017013",300,40,31,31,31,False,-0.006432828787198752,-0.008820754391807517
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.0,0.013612600202977783,0.0008,0.012812600202977783,0.8,1.3062123339851157,0.6124578517485627,1.0324331277376249,1.0245186545690124,"600741,000538,601298,600522,601816","0.159891,0.122841,0.182752,0.159830,0.121580","0.200812,0.200288,0.200266,0.200123,0.198512","0.538359,0.536956,0.536897,0.536512,0.532194","0.018936,0.003956,0.019837,0.047876,-0.009690",300,40,36,36,36,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-10,5,5,0.0,-0.003930524579024645,0.0008000000000000001,-0.004730524579024646,0.8000000000000002,1.4345358606376846,0.5576716636727237,1.028375123952853,1.0196721438919043,"000538,600795,002594,600741,600023","0.166303,0.111499,0.111452,0.182102,0.111376","0.200776,0.199937,0.199852,0.199719,0.199716","0.539196,0.536943,0.536716,0.536359,0.536349","0.004313,0.003436,-0.025572,-0.009596,-0.003891",300,40,38,38,38,False,-0.003930524579024541,-0.004730524579024786
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-11,5,5,0.0,0.010071485361923625,0.0007999999999999999,0.009271485361923624,0.7999999999999999,1.402972300957287,0.570217957584863,1.0387323889603106,1.0291260192479592,"600795,600104,601066,000538,600406","0.163007,0.122947,0.113832,0.184942,0.113785","0.201829,0.200004,0.199629,0.198991,0.199547","0.541303,0.536410,0.535404,0.533691,0.535184","0.017153,0.011010,0.034496,0.005372,0.008803",300,40,38,38,38,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-12,5,5,0.0,0.004213451648265534,0.0008000000000000001,0.0034134516482655338,0.8000000000000002,1.6739867753838165,0.477901027513538,1.0431090376566823,1.032638891154634,"601995,601059,600482,600795,600030","0.095805,0.095693,0.095898,0.180734,0.094876","0.200471,0.200237,0.200666,0.200101,0.198526","0.540857,0.540226,0.541382,0.539859,0.535609","0.022643,0.006183,-0.024805,0.015254,0.011323",300,40,36,36,36,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-15,5,5,0.0,0.013802161062804512,0.0007999999999999999,0.013002161062804512,0.7999999999999999,1.1366711988419298,0.7038095104503931,1.0575061966004868,1.0460654283371424,"601066,600795,601995,601059,600372","0.159618,0.195389,0.168801,0.168708,0.139148","0.201781,0.201556,0.199521,0.199435,0.197706","0.547460,0.546850,0.541327,0.541096,0.536404","0.019556,0.003413,0.024649,0.006745,0.033885",300,40,36,36,36,False,0.0,0.0
