profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_after_secondary_screen,filter_secondary_quality_filter_count,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.004780618902260083,0.0008,0.003980618902260083,0.8,1.0,0.8,1.0047806189022601,1.00398061890226,"600941,600803,601728,600050,601939","0.161873,0.160254,0.159690,0.159220,0.158962","0.202342,0.200318,0.199612,0.199025,0.198703","0.548595,0.543108,0.541194,0.539602,0.538729","-0.011328,0.039656,0.019034,0.000000,-0.017490",300,38,31,15,15,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,1.1102230246251565e-16,0.007763054206446916,0.0005179247694062066,0.0072451294370407095,0.5179247694062066,0.5179247694062066,1.0,1.0125807853123856,1.0112545884384871,"600941,600803,600050,601728,600036","0.202382,0.203708,0.198301,0.198154,0.197455","0.202382,0.203708,0.198301,0.198154,0.197455","0.548422,0.552016,0.537364,0.536965,0.535071","-0.012588,0.034128,-0.005525,0.023634,-0.001160",300,38,31,15,15,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.0,-0.011796227325947825,0.0007999999999999999,-0.012596227325947826,0.7999999999999999,1.2017790349872361,0.6656797769887013,1.0006361521829539,0.9985165957581081,"600803,300347,688012,600941,601012","0.205023,0.135968,0.132459,0.197736,0.130258","0.205683,0.204254,0.198983,0.195402,0.195677","0.559040,0.555157,0.540830,0.531097,0.531843","-0.011014,-0.041569,0.018676,-0.004686,-0.041711",300,38,29,15,15,False,-0.011796227325947872,-0.012596227325947784
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0,-0.02023802544362496,0.0008,-0.021038025443624958,0.8,0.8045111770273267,0.9943926484104355,0.9803852522752643,0.9775097782106672,"002459,300347,600803,688012,601012","0.203936,0.200389,0.199093,0.198012,0.196348","0.205086,0.200752,0.199059,0.198382,0.196721","0.563550,0.551641,0.546989,0.545128,0.540563","-0.062189,-0.018178,-0.026661,0.042137,-0.035389",300,38,25,15,15,False,-0.03179552042081146,-0.033369253018595946
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,1.1102230246251565e-16,0.005540748327198575,0.0008,0.004740748327198575,0.8,0.8175488274956036,0.9785348264159819,0.9858173202218186,0.9821439060565397,"601012,688012,002074,600803,600515","0.204805,0.202513,0.195798,0.196913,0.191245","0.204991,0.202611,0.200093,0.196865,0.195440","0.555746,0.549296,0.542469,0.533718,0.529853","-0.013115,0.045554,0.007499,-0.010570,-0.002016",300,38,19,15,15,False,-0.026430943070197,-0.028786699921825143
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0,0.017867537689631657,0.0008,0.017067537689631658,0.8,0.8006896880582616,0.9991386325207533,1.0034314483459734,0.9989066841898017,"002459,688012,002074,601012,002493","0.205528,0.200166,0.199762,0.199320,0.194886","0.205701,0.200164,0.199766,0.199316,0.195054","0.569706,0.554370,0.553268,0.552021,0.540218","0.000000,0.062720,0.031135,0.023503,-0.028689",300,38,21,15,15,False,-0.009035661252044802,-0.012210480318069372
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,1.1102230246251565e-16,-0.0031678726627058854,0.0007999999999999999,-0.003967872662705886,0.7999999999999999,1.2139189138983828,0.6590226009667134,1.0002527052918588,0.9949431496650107,"002493,000630,600104,601111,002074","0.202549,0.130863,0.130839,0.130635,0.198703","0.206514,0.198571,0.198535,0.198226,0.198155","0.563026,0.541372,0.541273,0.540430,0.540237","-0.016649,-0.012478,-0.006502,-0.013189,0.022199",300,38,21,15,15,False,-0.012174910090480884,-0.016129903349722752
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0,-0.016413389923339114,0.0008,-0.017213389923339113,0.8,1.3405112178325935,0.5967872475498419,0.9838351676180288,0.9778168052782718,"601877,601111,601298,000651,002493","0.120810,0.172437,0.119396,0.117993,0.200496","0.202434,0.200680,0.200064,0.197713,0.199109","0.545032,0.540310,0.538652,0.532322,0.536081","-0.014804,-0.021713,-0.003472,-0.003914,-0.049898",300,38,30,15,15,False,-0.028388468467223205,-0.03306564295727732
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,0.0,0.01167101508867577,0.0008,0.01087101508867577,0.8,1.6556968135003887,0.48318024983612873,0.9953175227040687,0.9884466665224125,"600522,601298,600104,600741,601456","0.097278,0.158580,0.123655,0.096336,0.096302","0.201329,0.200493,0.199491,0.199378,0.199309","0.542517,0.540265,0.537564,0.537261,0.537075","0.041617,0.012821,0.025641,0.008101,0.017013",300,38,29,15,15,False,-0.017048775622372836,-0.02255408497210687
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.0,0.013701009896659533,0.0007999999999999999,0.012901009896659533,0.7999999999999999,1.2956117457220373,0.6174689312917307,1.0089543779329557,1.0011986267495383,"600741,000538,601298,600522,601816","0.160846,0.123672,0.184320,0.160781,0.122575","0.200812,0.200288,0.200266,0.200123,0.198512","0.538359,0.536956,0.536897,0.536512,0.532194","0.018936,0.003956,0.019837,0.047876,-0.009690",300,38,34,15,15,False,-0.003581351169241409,-0.009944045548882618
