profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_after_secondary_screen,filter_secondary_quality_filter_count,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.00880011191387868,0.0008,0.00800011191387868,0.8,1.0,0.8,1.0088001119138787,1.0080001119138786,"600941,600803,601728,600050,601186","0.162213,0.160591,0.160025,0.159554,0.157617","0.202766,0.200739,0.200031,0.199443,0.197021","0.548595,0.543108,0.541194,0.539602,0.533050","-0.011328,0.039656,0.019034,0.000000,0.007762",300,40,32,20,20,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,0.0,0.010318433749540237,0.0005152337630934665,0.00980319998644677,0.5152337630934665,0.5152337630934665,1.0,1.019209349035191,1.017881738597331,"600941,600803,600050,601728,601838","0.202491,0.203818,0.198408,0.198261,0.197022","0.202491,0.203818,0.198408,0.198261,0.197022","0.548422,0.552016,0.537364,0.536965,0.533608","-0.012588,0.034128,-0.005525,0.023634,0.011786",300,40,33,20,20,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.0,-0.00039995858128669733,0.0008,-0.0011999585812866973,0.8,0.8005530128658332,0.9993092114364125,1.0188017075099167,1.016660322670366,"600803,600941,000651,000538,601728","0.208566,0.198147,0.197793,0.197459,0.197762","0.208569,0.198144,0.197930,0.197596,0.197761","0.559040,0.531097,0.530523,0.529628,0.530072","-0.011014,-0.004686,0.012865,-0.005887,0.007299",300,40,29,20,20,False,-0.000399958581286719,-0.001199958581286853
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0,-0.00353442569093041,0.0008,-0.00433442569093041,0.8,1.1976320509443181,0.6679847949703833,1.01520082858093,1.012253684048834,"600803,000651,601838,000938,000333","0.205018,0.199828,0.133580,0.132494,0.132026","0.203255,0.200840,0.199907,0.198349,0.197649","0.546989,0.540491,0.537981,0.533787,0.531903","-0.026661,0.000734,-0.012238,-0.010269,0.036205",300,40,26,19,19,False,-0.00393297064833209,-0.00552918314091444
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,0.0,-0.0029107034301314484,0.0008,-0.0037107034301314483,0.8,1.4649023328084405,0.5461114929527612,1.0122458800469072,1.0084975108312708,"600803,600690,601728,603501,000157","0.203309,0.109418,0.139183,0.108591,0.108468","0.201889,0.200359,0.200290,0.198843,0.198618","0.533718,0.529673,0.529492,0.525667,0.525072","-0.010570,-0.022302,-0.021552,-0.000826,0.043956",300,40,19,14,14,False,-0.006832226367306737,-0.009219369412199141
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0,-0.008251767724400928,0.0008,-0.009051767724400929,0.8,1.3632298359504476,0.5868416160670646,1.0038930621647784,0.9993688256125896,"002074,002493,000938,600803,601838","0.120506,0.117663,0.141679,0.199969,0.140920","0.205347,0.200503,0.199087,0.197617,0.197447","0.553268,0.540218,0.536401,0.532442,0.531983","0.031135,-0.028689,0.018944,-0.039331,-0.024461",300,40,21,16,16,False,-0.01502761614668413,-0.018187685546115495
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,0.0,-0.014301499669584935,0.0008,-0.015101499669584935,0.8,0.9948420256979834,0.804147773551,0.9895358858679302,0.9842768576228075,"002493,600104,600803,601838,600690","0.189693,0.160210,0.199020,0.186455,0.167432","0.207236,0.199230,0.198788,0.197545,0.197200","0.563026,0.541273,0.540074,0.536696,0.535760","-0.016649,-0.006502,0.007425,-0.035088,-0.030083",300,40,22,16,16,False,-0.029114198368912603,-0.03301452388843529
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0,-0.005994876698574802,0.0008,-0.006794876698574802,0.8,1.6124119670128718,0.49615111793176964,0.983603740243337,0.9775888177379998,"601298,000651,601066,601838,600027","0.100435,0.102953,0.099067,0.192673,0.098665","0.202429,0.200050,0.199672,0.198989,0.198861","0.538652,0.532322,0.531316,0.529498,0.529159","-0.003472,-0.003914,0.014615,-0.028909,-0.011364",300,40,31,20,20,False,-0.03493453903808785,-0.03958507096792607
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,0.0,-0.007658360935007141,0.0008,-0.008458360935007141,0.8,1.5932238765002147,0.5021265446745219,0.9760709477835304,0.9693200186715448,"601298,600741,000651,601816,601618","0.151171,0.100604,0.151608,0.100145,0.099860","0.201476,0.200356,0.199852,0.199442,0.198874","0.540265,0.537261,0.535909,0.534810,0.533287","0.012821,0.008101,0.004666,-0.015326,-0.095975",300,40,31,20,20,False,-0.0423253586640433,-0.04770860708504865
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.0,0.008335382970685866,0.0008,0.007535382970685865,0.8,1.1967068659318578,0.6685012201188066,0.9842068729398664,0.9766242162333874,"600741,000538,601298,601816,600027","0.167817,0.134317,0.184215,0.166125,0.149173","0.201147,0.200623,0.200601,0.198843,0.198786","0.538359,0.536956,0.536897,0.532194,0.532041","0.018936,0.003956,0.019837,-0.009690,0.017308",300,40,36,20,20,False,-0.03434277376719397,-0.040532726739746505
