label,primary_candidate_size,max_volatility_20d_pct,max_volatility_5d_pct,secondary_screen_mode,secondary_candidate_size,score_self_case_slice,cumulative_return_after_cost,sharpe_after_cost,max_drawdown_after_cost,delta_case_slice_score,delta_cumulative_return_after_cost,delta_sharpe_after_cost,delta_max_drawdown_after_cost,avg_turnover
baseline,40,0.86,0.95,none,0,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.0,0.0,0.0,0.0,
cs38_v2085_v595_alpha15,38,0.85,0.95,alpha_combo,15,-0.020249779953845127,0.9116280262873172,3.660635828983174,-0.0386537086584146,0.0,-0.023943593145146824,0.031110544173676757,0.0042399194289112,0.7577930782539326
cs38_v2085_v595_alpha20,38,0.85,0.95,alpha_combo,20,-0.020249779953845127,0.9116280262873172,3.660635828983174,-0.0386537086584146,0.0,-0.023943593145146824,0.031110544173676757,0.0042399194289112,0.7577930782539326
cs38_v2085_v595_base0,38,0.85,0.95,none,0,-0.020249779953845127,0.9116280262873172,3.660635828983174,-0.0386537086584146,0.0,-0.023943593145146824,0.031110544173676757,0.0042399194289112,0.7577930782539326
cs38_v2085_v595_quality15,38,0.85,0.95,quality_layer,15,-0.02285973782041192,0.1694904759759745,1.8488214715817872,-0.0424437913545531,-0.0026099578665667936,-0.7660811434564896,-1.7807038132277102,0.0004498367327727057,0.7866985670642364
cs38_v2085_v595_quality20,38,0.85,0.95,quality_layer,20,-0.03887707456510207,0.3649051677085255,3.3483109711907866,-0.0454067658548225,-0.01862729461125694,-0.5706664517239386,-0.28121431361871085,-0.0025131377674966968,0.7946717605235057
cs38_v2085_v596_alpha15,38,0.85,0.96,alpha_combo,15,-0.020249779953845127,0.9116280262873172,3.660635828983174,-0.0386537086584146,0.0,-0.023943593145146824,0.031110544173676757,0.0042399194289112,0.7577930782539326
cs38_v2085_v596_alpha20,38,0.85,0.96,alpha_combo,20,-0.020249779953845127,0.9116280262873172,3.660635828983174,-0.0386537086584146,0.0,-0.023943593145146824,0.031110544173676757,0.0042399194289112,0.7577930782539326
cs38_v2085_v596_base0,38,0.85,0.96,none,0,-0.020249779953845127,0.9116280262873172,3.660635828983174,-0.0386537086584146,0.0,-0.023943593145146824,0.031110544173676757,0.0042399194289112,0.7577930782539326
cs38_v2085_v596_quality15,38,0.85,0.96,quality_layer,15,-0.02285973782041192,0.1694904759759745,1.8488214715817872,-0.0424437913545531,-0.0026099578665667936,-0.7660811434564896,-1.7807038132277102,0.0004498367327727057,0.7866985670642364
cs38_v2085_v596_quality20,38,0.85,0.96,quality_layer,20,-0.03887707456510207,0.3649051677085255,3.3483109711907866,-0.0454067658548225,-0.01862729461125694,-0.5706664517239386,-0.28121431361871085,-0.0025131377674966968,0.7946717605235057
cs38_v2086_v595_alpha15,38,0.86,0.95,alpha_combo,15,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.0,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16,0.7559678331683515
cs38_v2086_v595_alpha20,38,0.86,0.95,alpha_combo,20,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.0,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16,0.7559678331683515
cs38_v2086_v595_base0,38,0.86,0.95,none,0,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.0,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16,0.7559678331683515
cs38_v2086_v595_quality15,38,0.86,0.95,quality_layer,15,-0.02285973782041192,0.1687648410839777,1.8359785839156115,-0.0430049666120565,-0.0026099578665667936,-0.7668067783484863,-1.793546700893886,-0.00011133852473069888,0.7867057292101044
cs38_v2086_v595_quality20,38,0.86,0.95,quality_layer,20,-0.03887707456510207,0.3711197889283077,3.3313092080148143,-0.0498089539114691,-0.01862729461125694,-0.5644518305041564,-0.2982160767946831,-0.006915325824143295,0.7946905767046112
cs38_v2086_v596_alpha15,38,0.86,0.96,alpha_combo,15,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.0,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16,0.7559678331683515
cs38_v2086_v596_alpha20,38,0.86,0.96,alpha_combo,20,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.0,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16,0.7559678331683515
cs38_v2086_v596_base0,38,0.86,0.96,none,0,-0.020249779953845127,0.9112894438526014,3.5703726544436947,-0.0428936280873257,0.0,-0.024282175579862675,-0.05915263036580276,1.0408340855860843e-16,0.7559678331683515
cs38_v2086_v596_quality15,38,0.86,0.96,quality_layer,15,-0.02285973782041192,0.1687648410839777,1.8359785839156115,-0.0430049666120565,-0.0026099578665667936,-0.7668067783484863,-1.793546700893886,-0.00011133852473069888,0.7867057292101044
cs38_v2086_v596_quality20,38,0.86,0.96,quality_layer,20,-0.03887707456510207,0.3824432549233281,3.4207544192995782,-0.0498089539114691,-0.01862729461125694,-0.5531283645091359,-0.2087708655099192,-0.006915325824143295,0.7946905767045876
cs38_v2087_v595_alpha15,38,0.87,0.95,alpha_combo,15,-0.020249779953845127,0.863892371783815,3.3818946582410394,-0.0428936280873256,0.0,-0.07167924764864908,-0.24763062656845802,2.0122792321330962e-16,0.7560126832738452
cs38_v2087_v595_alpha20,38,0.87,0.95,alpha_combo,20,-0.020249779953845127,0.863892371783815,3.3818946582410394,-0.0428936280873256,0.0,-0.07167924764864908,-0.24763062656845802,2.0122792321330962e-16,0.7560126832738452
cs38_v2087_v595_base0,38,0.87,0.95,none,0,-0.020249779953845127,0.863892371783815,3.3818946582410394,-0.0428936280873256,0.0,-0.07167924764864908,-0.24763062656845802,2.0122792321330962e-16,0.7560126832738452
cs38_v2087_v595_quality15,38,0.87,0.95,quality_layer,15,-0.02285973782041192,0.1687648410839777,1.8359785839156115,-0.0430049666120565,-0.0026099578665667936,-0.7668067783484863,-1.793546700893886,-0.00011133852473069888,0.7867057292101044
cs38_v2087_v595_quality20,38,0.87,0.95,quality_layer,20,-0.03887707456510207,0.3741217453037477,3.2741623025357662,-0.0504044356980266,-0.01862729461125694,-0.5614498741287164,-0.3553629822737312,-0.007510807610700797,0.794689128217976
cs38_v2087_v596_alpha15,38,0.87,0.96,alpha_combo,15,-0.020249779953845127,0.863892371783815,3.3818946582410394,-0.0428936280873256,0.0,-0.07167924764864908,-0.24763062656845802,2.0122792321330962e-16,0.7560126832738452
cs38_v2087_v596_alpha20,38,0.87,0.96,alpha_combo,20,-0.020249779953845127,0.863892371783815,3.3818946582410394,-0.0428936280873256,0.0,-0.07167924764864908,-0.24763062656845802,2.0122792321330962e-16,0.7560126832738452
cs38_v2087_v596_base0,38,0.87,0.96,none,0,-0.020249779953845127,0.863892371783815,3.3818946582410394,-0.0428936280873256,0.0,-0.07167924764864908,-0.24763062656845802,2.0122792321330962e-16,0.7560126832738452
cs38_v2087_v596_quality15,38,0.87,0.96,quality_layer,15,-0.02285973782041192,0.1687648410839777,1.8359785839156115,-0.0430049666120565,-0.0026099578665667936,-0.7668067783484863,-1.793546700893886,-0.00011133852473069888,0.7867057292101044
cs38_v2087_v596_quality20,38,0.87,0.96,quality_layer,20,-0.03887707456510207,0.3854700031168052,3.361408948608935,-0.0504044356980266,-0.01862729461125694,-0.5501016163156589,-0.2681163362005625,-0.007510807610700797,0.7946891282179298
cs40_v2085_v595_alpha15,40,0.85,0.95,alpha_combo,15,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,0.0,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v595_alpha20,40,0.85,0.95,alpha_combo,20,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,0.0,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v595_base0,40,0.85,0.95,none,0,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,0.0,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v595_quality15,40,0.85,0.95,quality_layer,15,-0.005252132062485627,0.1115306221406271,1.312364396892779,-0.0451137225728253,0.0149976478913595,-0.8240409972918369,-2.3171608879167183,-0.0022200944854995006,0.7866158479665956
cs40_v2085_v595_quality20,40,0.85,0.95,quality_layer,20,-0.03887707456510207,0.2616824456608633,2.6944311388020874,-0.0477086070850486,-0.01862729461125694,-0.6738891737716007,-0.93509414600741,-0.004814978997722798,0.7888255725466334
cs40_v2085_v596_alpha15,40,0.85,0.96,alpha_combo,15,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,0.0,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v596_alpha20,40,0.85,0.96,alpha_combo,20,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,0.0,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v596_base0,40,0.85,0.96,none,0,-0.020249779953845127,0.8979354197260259,3.7319062213767658,-0.0386537086584145,0.0,-0.03763619970643817,0.10238093656726832,0.004239919428911304,0.7629177373793592
cs40_v2085_v596_quality15,40,0.85,0.96,quality_layer,15,-0.005252132062485627,0.1115306221406271,1.312364396892779,-0.0451137225728253,0.0149976478913595,-0.8240409972918369,-2.3171608879167183,-0.0022200944854995006,0.7866158479665956
cs40_v2085_v596_quality20,40,0.85,0.96,quality_layer,20,-0.03887707456510207,0.2616824456608633,2.6944311388020874,-0.0477086070850486,-0.01862729461125694,-0.6738891737716007,-0.93509414600741,-0.004814978997722798,0.7888255725466334
cs40_v2086_v595_alpha15,40,0.86,0.95,alpha_combo,15,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.0,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v595_alpha20,40,0.86,0.95,alpha_combo,20,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.0,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v595_base0,40,0.86,0.95,none,0,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.0,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v595_quality15,40,0.86,0.95,quality_layer,15,-0.012763800859503314,0.1069317745111264,1.255698868523232,-0.0490647501811585,0.007485979094341812,-0.8286398449213377,-2.3738264162862652,-0.0061711220938327,0.7866157867194702
cs40_v2086_v595_quality20,40,0.86,0.95,quality_layer,20,-0.03887707456510207,0.2755994483477784,2.792364181733149,-0.045831508148843,-0.01862729461125694,-0.6599721710846856,-0.8371611030763484,-0.002937880061517198,0.7889274527846767
cs40_v2086_v596_alpha15,40,0.86,0.96,alpha_combo,15,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.0,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v596_alpha20,40,0.86,0.96,alpha_combo,20,-0.020249779953845127,0.935571619432464,3.6295252848094974,-0.0428936280873258,0.0,0.0,0.0,0.0,0.7612811507926904
cs40_v2086_v596_quality15,40,0.86,0.96,quality_layer,15,-0.012763800859503314,0.1069317745111264,1.255698868523232,-0.0490647501811585,0.007485979094341812,-0.8286398449213377,-2.3738264162862652,-0.0061711220938327,0.7866157867194702
cs40_v2086_v596_quality20,40,0.86,0.96,quality_layer,20,-0.03887707456510207,0.2851972175871973,2.887821362492414,-0.045831508148843,-0.01862729461125694,-0.6503744018452667,-0.7417039223170834,-0.002937880061517198,0.7889274527846877
