profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-26,5,5,0.30000000000000004,0.009665950345892783,0.0007,0.008965950345892783,0.7,1.0,0.7,1.0096659503458927,1.0089659503458928,"601059,000651,601127,601111,601995","0.140629,0.140251,0.139847,0.140615,0.138658","0.200899,0.200359,0.199782,0.200878,0.198083","0.546097,0.544629,0.543061,0.546040,0.538442","0.000000,0.014907,0.026859,0.027160,0.000000",300,55,28,False,0.0,0.0
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-27,5,5,0.15198152226023343,-0.006105037125065136,0.0007,-0.006805037125065136,0.7,1.418741789583893,0.4933949257992218,1.0035019022351168,1.0020998995958623,"601059,600941,300347,002179,601728","0.170641,0.098824,0.098921,0.098335,0.097917","0.201456,0.200294,0.200491,0.199303,0.198456","0.549388,0.546221,0.546757,0.543518,0.541207","0.000000,-0.012588,-0.053474,-0.019174,0.023634",300,55,28,False,-0.00610503712506516,-0.006805037125065194
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-28,5,5,0.0562448033930919,-0.011804158514354688,0.0007,-0.012504158514354687,0.7,1.1112462056465702,0.6299234107105097,0.9916564067116771,0.9895694836040967,"601059,002074,300347,300803,600941","0.191194,0.127536,0.161524,0.125595,0.160404","0.203270,0.202463,0.198303,0.199382,0.196582","0.565178,0.562935,0.551369,0.554368,0.546583","0.000000,-0.026443,-0.041569,-0.007689,-0.004686",300,55,29,False,-0.0178371308134595,-0.019224104376512008
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-12-01,5,5,0.013966980494747983,-0.00535613698880759,0.0007,-0.00605613698880759,0.7,0.9312533067237598,0.7516751832674489,0.9863449591515007,0.9835765152514467,"601059,002074,300347,688981,601995","0.203490,0.183670,0.188487,0.147711,0.154032","0.207552,0.202215,0.197395,0.196509,0.196330","0.583153,0.568155,0.554613,0.552123,0.551620","0.000000,-0.011282,-0.018178,0.000964,0.000000",300,55,27,False,-0.023097729686142876,-0.025163817555728274
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-12-02,5,5,0.00566928659176158,-0.007333051398247329,0.0007000000000000001,-0.00803305139824733,0.7000000000000001,1.1782654868486844,0.5940936128683328,0.9791120408696405,0.9756753945503229,"601059,600941,601995,000651,601018","0.206678,0.134173,0.180380,0.120176,0.116625","0.208856,0.198630,0.198382,0.197824,0.196307","0.587044,0.558302,0.557604,0.556035,0.551772","0.000000,-0.026642,0.000000,-0.003182,-0.028947",300,55,30,False,-0.0302614042454189,-0.03299472671417425
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-12-03,5,5,0.00035394174420433355,-0.015371634413017131,0.0007,-0.016071634413017132,0.7,0.7466120690282169,0.9375685567353783,0.9640614885280093,0.9599946963033339,"601059,601995,000651,601018,600690","0.207966,0.202395,0.191728,0.190984,0.183444","0.208052,0.203861,0.196492,0.195935,0.195660","0.588810,0.576949,0.556096,0.554519,0.553739","0.000000,0.000000,-0.011770,-0.026385,-0.044023",300,55,29,False,-0.04516787141555101,-0.048536081941883746
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-12-04,5,5,4.247847060490084e-05,-0.008429619140796693,0.0007,-0.009129619140796692,0.7,0.7954684932184445,0.879984570058606,0.9559348173514087,0.9512303103488997,"601059,601995,000651,600741,600926","0.209572,0.205308,0.195840,0.170794,0.170731","0.209792,0.205705,0.196400,0.194087,0.194016","0.591181,0.579667,0.553446,0.546927,0.546726","0.000000,0.000000,-0.010503,-0.005025,-0.032299",300,55,30,False,-0.05321674260291409,-0.05722258513996448
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-12-05,5,5,1.7128278447575696e-05,-0.005973614733139464,0.0006999999999999999,-0.0066736147331394645,0.6999999999999998,1.1729666283691256,0.5967774215139172,0.9502244310425573,0.9448821657351465,"601995,601059,601816,601668,600023","0.204967,0.209087,0.117685,0.116447,0.115880","0.204737,0.208759,0.197201,0.195127,0.194176","0.586280,0.597797,0.564701,0.558762,0.556039","0.000000,0.000000,-0.022857,-0.026266,-0.001942",300,55,38,False,-0.058872461018391165,-0.06351431838584554
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-12-08,5,5,6.955017729737278e-06,0.007118200822380883,0.0006999999999999999,0.006418200822380883,0.6999999999999998,1.178559681701593,0.5939453138167315,0.9569883193690508,0.950946609228321,"601995,601059,601607,688009,600406","0.203908,0.208161,0.116319,0.116384,0.117303","0.203184,0.207527,0.195841,0.195950,0.197498","0.584083,0.596568,0.562973,0.563287,0.567736","0.000000,0.000000,0.005587,0.030303,0.025077",300,55,39,False,-0.05217332619644699,-0.0575037652139615
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-12-09,5,5,2.8175326087787056e-06,0.009361819490002162,0.0006999999999999999,0.008661819490002163,0.6999999999999998,1.1766839682619261,0.5948921026212045,0.9659474712690245,0.9591835371020863,"601059,601995,601066,601633,600900","0.207914,0.204217,0.119561,0.116039,0.114093","0.207746,0.204427,0.200979,0.195059,0.191788","0.597337,0.587794,0.577880,0.560858,0.551450","0.000000,0.000000,0.025849,0.049468,0.004654",300,55,43,False,-0.04329994396848891,-0.04934003295823819
