profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,risk_penalty,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-26,601059,0.20089872172579082,0.14062910520805355,0.5460969,0.0,0.8944642857142857,0.5276785714285714,0.0137613789488239,0.0,2.6044,0.082244606229846,0.0
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-26,000651,0.20035885622914987,0.1402511993604049,0.5446294,0.0149068322981367,0.8710714285714286,0.28750000000000003,0.0080149495780458,0.0044743964872647,0.5796,-0.1157894736842104,-0.2990654205607477
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-26,601127,0.19978174645115968,0.13984722251581178,0.54306066,0.0268585131894484,0.7978571428571429,0.47500000000000003,0.0192514116171019,0.0166649780095439,0.8327,-0.3421447644930397,-0.4560487380330721
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-26,601111,0.20087793644431878,0.14061455551102314,0.5460404,0.0271604938271603,0.7921428571428571,0.8607142857142858,0.026832142505145,0.0118706545484147,0.7588,0.4139833035181872,-0.0059347181008901
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-26,601995,0.19808273914958094,0.13865791740470665,0.5384423,0.0,0.7112499999999999,0.3723214285714286,0.0107385070951479,1.0157195133282304e-09,0.5192,-0.0088198236035278,0.0
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-27,601059,0.20145568643229922,0.17064063173781058,0.5493878,0.0,0.9094642857142857,0.4526785714285714,0.0116053623989348,0.0,2.6044,0.057774709095709,0.0
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-27,600941,0.20029432397989821,0.09882420311806717,0.54622066,-0.0125879303961495,0.8964285714285715,0.1607142857142857,0.0059264285834298,0.0037909930464205,0.9458,-0.2068696592843546,-0.2457627118644069
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-27,300347,0.20049111982755716,0.09892130119072044,0.54675734,-0.0534738485558156,0.8446428571428571,0.5982142857142857,0.0200785698082803,0.0156845281476603,1.4429,-0.2765968113907551,-0.0783090783090783
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-27,002179,0.1993031355920824,0.09833515579700773,0.5435176,-0.0191740412979351,0.7896428571428572,0.5160714285714285,0.0111816668432154,0.0176075634142345,0.7087,0.0221831189061327,-0.2927794263105838
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-27,601728,0.19845573416816312,0.09791705223433092,0.54120666,0.0236336779911373,0.7725,0.4232142857142857,0.0081572438301347,0.0070088946460592,0.1327,0.0069049245011001,0.0232558139534884
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-28,601059,0.20326960259760604,0.19119438434978678,0.5651777,0.0,0.9060344827586206,0.4698275862068966,0.010804438405129,0.0,2.6044,0.0345512469115203,0.0
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-28,002074,0.20246314574358543,0.12753627530997835,0.5629354,-0.0264429188914314,0.8031034482758621,0.8120689655172414,0.0245117825530542,0.0056345602273338,2.4247,-0.0940814717673387,0.0635155096011816
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-28,300347,0.1983032662818929,0.1615243276040646,0.55136913,-0.0415686274509803,0.7903448275862068,0.5310344827586208,0.0195245099241311,0.0098297474405359,1.2893,-0.3384439347526028,-0.4264448336252188
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-28,300803,0.1993819360419041,0.12559534918558093,0.5543683,-0.0076891615541922,0.7844827586206896,0.7327586206896552,0.023458345540189,0.0101875060064378,2.0902,-0.3090065191806725,-0.2694610778443114
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-11-28,600941,0.19658204933501155,0.16040415903075828,0.5465834,-0.0046860356138706,0.7837931034482759,0.2189655172413793,0.0058670976811083,0.0042577800199718,0.8819,-0.256464517869639,-0.326568265682657
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-12-01,601059,0.20755241793639082,0.20349031224389244,0.5831527,0.0,0.9275925925925926,0.36203703703703705,0.0106145219763618,0.0,2.6044,0.015942860040647,0.0
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-12-01,002074,0.20221452119256264,0.1836700594698615,0.568155,-0.0112820512820512,0.861111111111111,0.5092592592592593,0.0236179196524874,0.0052929438075655,1.9914,-0.2388807564563656,-0.3387096774193548
base_technical_risk__risk_adjusted_sort__pred_weight__balanced_mt70,2025-12-01,300347,0.19739485354745304,0.18848731176646089,0.55461335,-0.0181782256471053,0.8188888888888889,0.5351851851851852,0.0191711189774091,0.0041742182667302,1.8503,-0.0092579206356856,0.0412757973733584
