profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,5,5,0.19999999999999996,0.00880011191387868,0.0008,0.00800011191387868,0.8,1.0,0.8,1.0088001119138787,1.0080001119138786,"600941,600803,600050,601728,601186","0.162213,0.160591,0.159554,0.160025,0.157617","0.202766,0.200739,0.199443,0.200031,0.197021","0.548595,0.543108,0.539602,0.541194,0.533050","-0.011328,0.039656,0.000000,0.019034,0.007762",300,40,32,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,5,5,1.1102230246251565e-16,0.007763054206446916,0.0005152337630934665,0.00724782044335345,0.5152337630934665,0.5152337630934665,1.0,1.016631481866136,1.0153059157319106,"600803,600941,600050,601728,600036","0.203708,0.202382,0.198301,0.198154,0.197455","0.203708,0.202382,0.198301,0.198154,0.197455","0.552016,0.548422,0.537364,0.536965,0.535071","0.034128,-0.012588,-0.005525,0.023634,-0.001160",300,40,33,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,5,5,0.0,-0.004693397407813826,0.0008,-0.005493397407813827,0.8,1.2015891744108638,0.6657849596491564,1.0118600263044435,1.0097284368462909,"600803,300347,600941,000651,688012","0.205090,0.136056,0.197798,0.130019,0.132544","0.205783,0.204354,0.195497,0.195286,0.199080","0.559040,0.555157,0.531097,0.530523,0.540830","-0.011014,-0.041569,-0.004686,0.012865,0.018676",300,40,30,False,-0.004693397407813826,-0.005493397407813849
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-01,5,5,0.0,-0.007468749562261222,0.0008,-0.008268749562261223,0.8,0.8012754444853714,0.9984082321576815,1.0043026971759126,1.0013792452761154,"300347,600803,688012,000651,601012","0.202345,0.200751,0.199953,0.198250,0.198070","0.202451,0.200744,0.200061,0.198359,0.198386","0.551641,0.546989,0.545128,0.540491,0.540563","-0.018178,-0.026661,0.042137,0.000734,-0.035389",300,40,26,False,-0.012127093160239855,-0.013716723442663836
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-02,5,5,1.1102230246251565e-16,0.00555220689007286,0.0007999999999999999,0.004752206890072859,0.7999999999999999,0.8102233061640619,0.9873821129480176,1.0098787935308915,1.0061380066250927,"601012,688012,002074,600803,600515","0.204903,0.202578,0.197568,0.196914,0.192974","0.204991,0.202611,0.200093,0.196865,0.195440","0.555746,0.549296,0.542469,0.533718,0.529853","-0.013115,0.045554,0.007499,-0.010570,-0.002016",300,40,20,False,-0.0066422184003678275,-0.009029701260244383
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-03,5,5,0.0,0.017905151761550435,0.0008,0.017105151761550436,0.8,0.8059041702402341,0.9926738557036204,1.0279608265898337,1.0233481499214787,"002459,688012,002074,002493,601012","0.204194,0.200182,0.199750,0.193625,0.199357","0.205701,0.200164,0.199766,0.195054,0.199316","0.569706,0.554370,0.553268,0.540218,0.552021","0.000000,0.062720,0.031135,-0.028689,0.023503",300,40,22,False,0.0,0.0
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-04,5,5,1.1102230246251565e-16,-0.0031517472501299635,0.0007999999999999999,-0.003951747250129964,0.7999999999999999,1.2164408708309589,0.6576562981261183,1.0247209538813877,1.019304136684101,"002493,000630,600104,601111,002074","0.202101,0.130592,0.130568,0.130364,0.198701","0.206514,0.198571,0.198535,0.198226,0.198155","0.563026,0.541372,0.541273,0.540430,0.540237","-0.016649,-0.012478,-0.006502,-0.013189,0.022199",300,40,22,False,-0.0031517472501301214,-0.003951747250129922
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-05,5,5,0.0,-0.01640064783492219,0.0007999999999999999,-0.01720064783492219,0.7999999999999999,1.3410403423274158,0.5965517775636607,1.0079148663877135,1.0017714451923183,"601877,601111,601298,002493,000651","0.120762,0.172311,0.119349,0.200316,0.117949","0.202434,0.200680,0.200064,0.199109,0.197713","0.545032,0.540310,0.538652,0.536081,0.532322","-0.014804,-0.021713,-0.003472,-0.049898,-0.003914",300,40,32,False,-0.019500704388338175,-0.021084422472270048
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-08,5,5,0.0,0.011668326250174338,0.0008,0.010868326250174337,0.8,1.6559482920410875,0.4831068722646748,1.0196755458811264,1.012659024086777,"600522,601298,600104,600741,601456","0.097263,0.158550,0.123604,0.096321,0.096288","0.201329,0.200493,0.199491,0.199378,0.199309","0.542517,0.540265,0.537564,0.537261,0.537075","0.041617,0.012821,0.025641,0.008101,0.017013",300,40,31,False,-0.008059918719075077,-0.010445248604320945
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-12-09,5,5,0.0,0.013700027925762921,0.0007999999999999999,0.01290002792576292,0.7999999999999999,1.2957311537385636,0.6174120284842777,1.0336451293349154,1.0257223537767723,"600741,000538,601298,600522,601816","0.160835,0.123660,0.184306,0.160770,0.122563","0.200812,0.200288,0.200266,0.200123,0.198512","0.538359,0.536956,0.536897,0.536512,0.532194","0.018936,0.003956,0.019837,0.047876,-0.009690",300,40,36,False,0.0,0.0
